"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18051"	"4"	"17"	"10"	"2"	"380"	"5"	"46"	"7"	"2"	"4"	"0"	"4"	"213"	"5"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"10"	"15"	"0"	"318"	"318"	"1"	"0"
"18052"	"4"	"17"	"10"	"2"	"380"	"6"	"59"	"2"	"0"	"10"	"0"	"2"	"192"	"8"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"9"	"11"	"0"	"301"	"301"	"1"	"0"
"18053"	"4"	"17"	"10"	"2"	"380"	"5"	"58"	"5"	"1"	"2"	"0"	"1"	"207"	"6"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"9"	"0"	"305"	"305"	"1"	"0"
"18054"	"4"	"17"	"10"	"2"	"380"	"7"	"66"	"15"	"1"	"5"	"0"	"0"	"184"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"6"	"7"	"13"	"305"	"305"	"1"	"0"
"18055"	"4"	"17"	"10"	"2"	"261"	"4"	"33"	"2"	"0"	"3"	"0"	"0"	"125"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"6"	"4"	"0"	"187"	"187"	"1"	"0"
"18056"	"4"	"17"	"10"	"2"	"257"	"5"	"48"	"5"	"0"	"1"	"0"	"0"	"134"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"4"	"3"	"0"	"202"	"202"	"1"	"0"
"18057"	"4"	"17"	"10"	"2"	"380"	"29"	"39"	"6"	"0"	"6"	"12"	"1"	"16"	"8"	"0"	"1"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"11"	"16"	"0"	"163"	"163"	"1"	"0"
"18058"	"4"	"17"	"10"	"2"	"380"	"20"	"63"	"0"	"0"	"4"	"19"	"1"	"26"	"18"	"0"	"0"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"170"	"12"	"7"	"0"	"195"	"189"	"0"	"0"
"18059"	"4"	"17"	"10"	"2"	"380"	"28"	"52"	"3"	"1"	"4"	"15"	"1"	"17"	"12"	"1"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"14"	"6"	"0"	"170"	"170"	"1"	"0"
"18060"	"4"	"17"	"10"	"2"	"316"	"27"	"36"	"4"	"0"	"2"	"10"	"1"	"18"	"17"	"0"	"3"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"18"	"7"	"0"	"152"	"152"	"1"	"0"
"18061"	"4"	"17"	"10"	"2"	"315"	"25"	"64"	"6"	"0"	"3"	"9"	"0"	"13"	"10"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"10"	"5"	"0"	"155"	"155"	"1"	"0"
"18062"	"4"	"17"	"10"	"2"	"380"	"74"	"50"	"4"	"0"	"30"	"0"	"0"	"65"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"27"	"7"	"0"	"259"	"259"	"1"	"0"
"18063"	"4"	"17"	"10"	"2"	"382"	"73"	"43"	"3"	"1"	"25"	"2"	"3"	"82"	"3"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"29"	"7"	"0"	"276"	"276"	"1"	"1"
"18064"	"4"	"17"	"10"	"2"	"380"	"85"	"45"	"7"	"0"	"24"	"2"	"2"	"71"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"18"	"5"	"0"	"264"	"264"	"1"	"0"
"18065"	"4"	"17"	"10"	"2"	"380"	"69"	"36"	"5"	"1"	"38"	"0"	"0"	"54"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"31"	"10"	"0"	"248"	"248"	"1"	"0"
"18066"	"4"	"17"	"10"	"2"	"381"	"65"	"38"	"1"	"1"	"29"	"0"	"1"	"71"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"23"	"5"	"0"	"236"	"236"	"1"	"0"
"18067"	"4"	"17"	"10"	"2"	"338"	"57"	"31"	"6"	"1"	"21"	"2"	"2"	"64"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"21"	"13"	"0"	"222"	"222"	"1"	"0"
"18068"	"4"	"17"	"10"	"2"	"350"	"78"	"51"	"4"	"0"	"37"	"2"	"2"	"51"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"2"	"0"	"247"	"247"	"1"	"0"
"18069"	"4"	"17"	"10"	"2"	"380"	"50"	"29"	"5"	"0"	"2"	"6"	"2"	"45"	"33"	"1"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"17"	"9"	"0"	"206"	"206"	"1"	"0"
"18070"	"4"	"17"	"10"	"2"	"349"	"43"	"37"	"7"	"1"	"2"	"11"	"2"	"31"	"28"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"12"	"2"	"0"	"179"	"179"	"1"	"0"
"18071"	"4"	"17"	"10"	"2"	"348"	"41"	"32"	"10"	"0"	"2"	"6"	"0"	"24"	"21"	"1"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"12"	"6"	"0"	"166"	"166"	"1"	"0"
"18072"	"4"	"17"	"10"	"2"	"600"	"36"	"20"	"5"	"0"	"3"	"9"	"1"	"30"	"6"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"15"	"1"	"0"	"132"	"132"	"1"	"0"
"18073"	"4"	"17"	"10"	"2"	"546"	"28"	"11"	"1"	"0"	"5"	"3"	"1"	"23"	"7"	"1"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"4"	"3"	"0"	"94"	"94"	"1"	"0"
"18074"	"4"	"17"	"10"	"2"	"549"	"21"	"17"	"2"	"0"	"3"	"2"	"0"	"6"	"4"	"0"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"4"	"3"	"1"	"68"	"68"	"1"	"0"
