"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18002"	"4"	"17"	"10"	"2"	"394"	"59"	"48"	"8"	"1"	"11"	"15"	"1"	"35"	"9"	"0"	"5"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"13"	"11"	"0"	"226"	"226"	"1"	"0"
"18003"	"4"	"17"	"10"	"2"	"400"	"52"	"49"	"4"	"2"	"5"	"12"	"1"	"26"	"20"	"0"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"17"	"4"	"0"	"202"	"202"	"1"	"0"
"18004"	"4"	"17"	"10"	"2"	"400"	"57"	"47"	"4"	"1"	"7"	"8"	"1"	"31"	"7"	"1"	"6"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"4"	"0"	"195"	"195"	"1"	"0"
"18005"	"4"	"17"	"10"	"2"	"400"	"61"	"72"	"8"	"0"	"10"	"15"	"1"	"43"	"15"	"1"	"4"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"1"	"0"	"247"	"247"	"1"	"0"
"18006"	"4"	"17"	"10"	"2"	"345"	"71"	"53"	"5"	"1"	"9"	"14"	"3"	"29"	"17"	"6"	"4"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"3"	"0"	"0"	"224"	"224"	"1"	"0"
"18007"	"4"	"17"	"10"	"2"	"345"	"53"	"36"	"5"	"1"	"8"	"9"	"0"	"27"	"4"	"2"	"5"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"5"	"5"	"0"	"168"	"168"	"1"	"0"
"18008"	"4"	"17"	"10"	"2"	"381"	"80"	"30"	"3"	"0"	"12"	"2"	"1"	"69"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"16"	"6"	"0"	"223"	"223"	"1"	"0"
"18009"	"4"	"17"	"10"	"2"	"380"	"90"	"25"	"3"	"0"	"18"	"5"	"0"	"68"	"6"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"5"	"0"	"236"	"236"	"1"	"0"
"18010"	"4"	"17"	"10"	"2"	"380"	"65"	"12"	"3"	"2"	"7"	"4"	"0"	"74"	"4"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"30"	"12"	"42"	"216"	"216"	"1"	"0"
"18011"	"4"	"17"	"10"	"2"	"364"	"72"	"12"	"2"	"0"	"16"	"1"	"0"	"76"	"2"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"19"	"6"	"0"	"211"	"211"	"1"	"0"
"18012"	"4"	"17"	"10"	"2"	"292"	"60"	"11"	"0"	"0"	"16"	"2"	"0"	"53"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"9"	"3"	"0"	"157"	"157"	"1"	"0"
"18013"	"4"	"17"	"10"	"2"	"291"	"49"	"13"	"2"	"0"	"9"	"5"	"0"	"51"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"14"	"5"	"0"	"153"	"153"	"1"	"0"
"18014"	"4"	"17"	"10"	"2"	"380"	"10"	"56"	"4"	"0"	"3"	"3"	"0"	"64"	"3"	"5"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"25"	"10"	"0"	"189"	"189"	"1"	"0"
"18015"	"4"	"17"	"10"	"2"	"380"	"10"	"61"	"5"	"2"	"4"	"2"	"2"	"87"	"6"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"17"	"6"	"0"	"209"	"209"	"1"	"0"
"18016"	"4"	"17"	"10"	"2"	"380"	"10"	"62"	"6"	"0"	"3"	"9"	"0"	"81"	"6"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"15"	"9"	"0"	"208"	"208"	"1"	"0"
"18017"	"4"	"17"	"10"	"2"	"385"	"7"	"62"	"5"	"0"	"3"	"2"	"1"	"57"	"8"	"3"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"15"	"14"	"0"	"183"	"183"	"1"	"0"
"18018"	"4"	"17"	"10"	"2"	"380"	"5"	"61"	"5"	"1"	"3"	"3"	"3"	"76"	"8"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"12"	"9"	"0"	"197"	"197"	"1"	"0"
"18019"	"4"	"17"	"10"	"2"	"380"	"7"	"73"	"3"	"2"	"6"	"7"	"1"	"59"	"8"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"25"	"10"	"0"	"208"	"208"	"1"	"0"
"18020"	"4"	"17"	"10"	"2"	"310"	"9"	"51"	"5"	"0"	"4"	"4"	"1"	"42"	"4"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"20"	"8"	"0"	"157"	"157"	"1"	"0"
