"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VIVA"	"MLP"	"PHG"	"SEMILLA"	"PODEMOS"	"FCN_NACION"	"VALOR"	"FUERZA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9889"	"4"	"9"	"19"	"2"	"264"	"8"	"32"	"26"	"2"	"8"	"4"	"0"	"19"	"28"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"15"	"4"	"0"	"152"	"152"	"1"	"0"
"9890"	"4"	"9"	"19"	"2"	"264"	"6"	"49"	"26"	"1"	"8"	"0"	"1"	"24"	"23"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"2"	"5"	"0"	"148"	"148"	"1"	"0"
"9891"	"4"	"9"	"19"	"2"	"376"	"12"	"85"	"27"	"5"	"26"	"1"	"1"	"6"	"88"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"3"	"0"	"296"	"296"	"1"	"0"
"9892"	"4"	"9"	"19"	"2"	"380"	"12"	"90"	"34"	"3"	"15"	"0"	"2"	"9"	"78"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"3"	"24"	"0"	"308"	"308"	"1"	"0"
"9893"	"4"	"9"	"19"	"2"	"381"	"15"	"75"	"24"	"3"	"20"	"0"	"1"	"6"	"75"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"22"	"6"	"0"	"292"	"292"	"1"	"0"
"9894"	"4"	"9"	"19"	"2"	"376"	"6"	"82"	"34"	"5"	"19"	"0"	"2"	"5"	"79"	"40"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"15"	"6"	"0"	"294"	"294"	"1"	"1"
"9895"	"4"	"9"	"19"	"2"	"376"	"4"	"83"	"33"	"5"	"12"	"1"	"1"	"2"	"84"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"4"	"0"	"279"	"279"	"1"	"0"
"9896"	"4"	"9"	"19"	"2"	"376"	"10"	"89"	"33"	"3"	"18"	"0"	"3"	"2"	"66"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"14"	"2"	"0"	"267"	"267"	"1"	"0"
"9897"	"4"	"9"	"19"	"2"	"380"	"12"	"78"	"31"	"10"	"17"	"0"	"1"	"4"	"84"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"23"	"5"	"0"	"292"	"292"	"1"	"0"
"9898"	"4"	"9"	"19"	"2"	"297"	"9"	"72"	"21"	"3"	"13"	"1"	"0"	"3"	"62"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"5"	"3"	"0"	"216"	"216"	"1"	"0"
"9899"	"4"	"9"	"19"	"2"	"291"	"4"	"74"	"19"	"6"	"17"	"0"	"0"	"0"	"56"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"3"	"0"	"0"	"202"	"202"	"1"	"0"
"9900"	"4"	"9"	"19"	"2"	"376"	"21"	"26"	"91"	"13"	"8"	"0"	"0"	"7"	"36"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"14"	"10"	"0"	"233"	"233"	"1"	"0"
"9901"	"4"	"9"	"19"	"2"	"376"	"24"	"36"	"97"	"6"	"12"	"0"	"1"	"9"	"40"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"18"	"6"	"0"	"254"	"254"	"1"	"0"
"9902"	"4"	"9"	"19"	"2"	"380"	"13"	"39"	"92"	"7"	"11"	"0"	"1"	"13"	"34"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"18"	"5"	"0"	"241"	"241"	"1"	"0"
"9903"	"4"	"9"	"19"	"2"	"380"	"22"	"24"	"99"	"1"	"8"	"0"	"1"	"14"	"26"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"15"	"3"	"0"	"220"	"220"	"1"	"0"
"9904"	"4"	"9"	"19"	"2"	"380"	"11"	"30"	"95"	"3"	"4"	"1"	"0"	"8"	"22"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"18"	"2"	"0"	"200"	"200"	"1"	"2"
"9905"	"4"	"9"	"19"	"2"	"376"	"22"	"23"	"91"	"7"	"10"	"0"	"0"	"11"	"26"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"17"	"8"	"0"	"222"	"222"	"1"	"0"
"9906"	"4"	"9"	"19"	"2"	"380"	"20"	"32"	"86"	"15"	"10"	"0"	"0"	"6"	"29"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"6"	"5"	"2"	"214"	"214"	"1"	"0"
"9907"	"4"	"9"	"19"	"2"	"338"	"14"	"27"	"66"	"12"	"11"	"1"	"3"	"7"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"16"	"3"	"0"	"195"	"195"	"1"	"0"
"9908"	"4"	"9"	"19"	"2"	"339"	"10"	"28"	"80"	"4"	"5"	"0"	"1"	"9"	"21"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"7"	"1"	"0"	"175"	"175"	"1"	"0"
"9909"	"4"	"9"	"19"	"2"	"463"	"7"	"25"	"21"	"2"	"7"	"1"	"0"	"4"	"29"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"9"	"1"	"0"	"111"	"111"	"1"	"0"
"9910"	"4"	"9"	"19"	"2"	"462"	"7"	"25"	"23"	"2"	"3"	"1"	"0"	"0"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"4"	"5"	"0"	"99"	"99"	"1"	"0"
