"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"FCN_NACION"	"LIBRE"	"FUERZA"	"SEMILLA"	"VICTORIA"	"UCN"	"UNE"	"VAMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11754"	"4"	"12"	"5"	"2"	"380"	"117"	"138"	"18"	"5"	"0"	"2"	"1"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"15"	"11"	"0"	"318"	"318"	"1"	"0"
"11755"	"4"	"12"	"5"	"2"	"380"	"106"	"155"	"5"	"0"	"0"	"1"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"10"	"6"	"0"	"293"	"293"	"1"	"0"
"11756"	"4"	"12"	"5"	"2"	"224"	"67"	"90"	"8"	"0"	"0"	"1"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"10"	"3"	"0"	"187"	"187"	"1"	"0"
"11757"	"4"	"12"	"5"	"2"	"224"	"73"	"73"	"12"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"5"	"1"	"0"	"168"	"168"	"1"	"0"
"11758"	"4"	"12"	"5"	"2"	"377"	"156"	"101"	"7"	"1"	"0"	"0"	"0"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"17"	"7"	"0"	"301"	"301"	"1"	"0"
"11759"	"4"	"12"	"5"	"2"	"380"	"143"	"115"	"5"	"1"	"0"	"4"	"1"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"27"	"6"	"0"	"316"	"316"	"1"	"0"
"11760"	"4"	"12"	"5"	"2"	"380"	"138"	"92"	"11"	"4"	"0"	"1"	"3"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"33"	"8"	"0"	"313"	"313"	"1"	"0"
"11761"	"4"	"12"	"5"	"2"	"380"	"143"	"80"	"10"	"1"	"1"	"0"	"2"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"20"	"7"	"0"	"282"	"282"	"1"	"0"
"11762"	"4"	"12"	"5"	"2"	"380"	"128"	"101"	"6"	"0"	"1"	"0"	"0"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"22"	"2"	"0"	"273"	"273"	"1"	"0"
"11763"	"4"	"12"	"5"	"2"	"380"	"158"	"99"	"7"	"3"	"1"	"1"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"16"	"7"	"0"	"305"	"305"	"1"	"0"
"11764"	"4"	"12"	"5"	"2"	"380"	"120"	"89"	"11"	"1"	"1"	"0"	"1"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"18"	"5"	"0"	"260"	"260"	"1"	"0"
"11765"	"4"	"12"	"5"	"2"	"195"	"72"	"42"	"5"	"1"	"0"	"0"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"2"	"1"	"0"	"130"	"130"	"1"	"0"
"11766"	"4"	"12"	"5"	"2"	"194"	"65"	"58"	"6"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"2"	"0"	"0"	"135"	"135"	"1"	"0"
"11767"	"4"	"12"	"5"	"2"	"380"	"114"	"99"	"16"	"2"	"0"	"0"	"1"	"5"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"28"	"12"	"0"	"304"	"304"	"1"	"0"
"11768"	"4"	"12"	"5"	"2"	"380"	"139"	"107"	"6"	"1"	"0"	"2"	"1"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"36"	"9"	"0"	"317"	"317"	"1"	"0"
"11769"	"4"	"12"	"5"	"2"	"0"	"149"	"86"	"19"	"2"	"2"	"1"	"0"	"11"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"22"	"9"	"0"	"316"	"316"	"1"	"0"
"11770"	"4"	"12"	"5"	"2"	"380"	"140"	"82"	"19"	"3"	"1"	"1"	"0"	"11"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"21"	"5"	"0"	"323"	"323"	"1"	"0"
"11771"	"4"	"12"	"5"	"2"	"0"	"105"	"73"	"14"	"1"	"0"	"0"	"0"	"8"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"18"	"8"	"133"	"247"	"247"	"1"	"0"
"11772"	"4"	"12"	"5"	"2"	"380"	"118"	"81"	"12"	"5"	"0"	"1"	"0"	"6"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"7"	"3"	"1"	"256"	"255"	"0"	"0"
"11773"	"4"	"12"	"5"	"2"	"194"	"67"	"48"	"6"	"1"	"1"	"0"	"0"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"3"	"2"	"0"	"146"	"146"	"1"	"0"
"11774"	"4"	"12"	"5"	"2"	"193"	"65"	"46"	"4"	"1"	"0"	"0"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"5"	"0"	"0"	"136"	"136"	"1"	"0"
"11775"	"4"	"12"	"5"	"2"	"0"	"122"	"78"	"12"	"2"	"0"	"3"	"1"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"25"	"2"	"0"	"262"	"262"	"1"	"0"
"11776"	"4"	"12"	"5"	"2"	"520"	"80"	"62"	"7"	"0"	"0"	"0"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"9"	"11"	"0"	"178"	"178"	"1"	"0"
