"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UNE"	"SEMILLA"	"CREO"	"PODEMOS"	"PC"	"LIBRE"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8073"	"4"	"7"	"5"	"2"	"400"	"133"	"1"	"42"	"1"	"11"	"1"	"2"	"135"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"12"	"5"	"0"	"351"	"351"	"1"	"0"
"8074"	"4"	"7"	"5"	"2"	"400"	"119"	"3"	"35"	"5"	"7"	"0"	"1"	"134"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"13"	"11"	"0"	"349"	"349"	"1"	"0"
"8075"	"4"	"7"	"5"	"2"	"396"	"111"	"1"	"19"	"0"	"11"	"2"	"2"	"148"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"16"	"11"	"0"	"330"	"330"	"1"	"0"
"8076"	"4"	"7"	"5"	"2"	"400"	"87"	"5"	"25"	"1"	"11"	"0"	"2"	"163"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"8"	"15"	"0"	"320"	"320"	"1"	"0"
"8077"	"4"	"7"	"5"	"2"	"396"	"103"	"1"	"30"	"0"	"16"	"0"	"0"	"119"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"2"	"3"	"0"	"279"	"279"	"1"	"0"
"8078"	"4"	"7"	"5"	"2"	"396"	"123"	"4"	"17"	"2"	"17"	"0"	"1"	"108"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"8"	"0"	"292"	"292"	"1"	"0"
"8079"	"4"	"7"	"5"	"2"	"394"	"117"	"1"	"27"	"2"	"13"	"0"	"3"	"125"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"9"	"3"	"0"	"306"	"306"	"1"	"0"
"8080"	"4"	"7"	"5"	"2"	"394"	"121"	"3"	"25"	"0"	"17"	"0"	"0"	"113"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"6"	"0"	"302"	"302"	"1"	"0"
"8081"	"4"	"7"	"5"	"2"	"396"	"145"	"1"	"22"	"5"	"20"	"2"	"2"	"111"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"2"	"4"	"0"	"319"	"319"	"1"	"0"
"8082"	"4"	"7"	"5"	"2"	"298"	"119"	"2"	"14"	"0"	"5"	"0"	"3"	"76"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"0"	"3"	"0"	"224"	"224"	"1"	"0"
"8083"	"4"	"7"	"5"	"2"	"295"	"95"	"3"	"25"	"0"	"13"	"0"	"0"	"83"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"4"	"0"	"230"	"230"	"1"	"0"
"8084"	"4"	"7"	"5"	"2"	"400"	"110"	"2"	"39"	"1"	"18"	"1"	"3"	"130"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"14"	"9"	"0"	"337"	"337"	"1"	"0"
"8085"	"4"	"7"	"5"	"2"	"397"	"125"	"2"	"45"	"2"	"21"	"1"	"2"	"114"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"18"	"9"	"0"	"351"	"351"	"1"	"0"
"8086"	"4"	"7"	"5"	"2"	"394"	"120"	"1"	"38"	"4"	"25"	"0"	"3"	"98"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"20"	"8"	"0"	"331"	"331"	"1"	"0"
"8087"	"4"	"7"	"5"	"2"	"399"	"135"	"1"	"26"	"0"	"17"	"0"	"1"	"144"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"8"	"7"	"0"	"345"	"345"	"1"	"0"
"8088"	"4"	"7"	"5"	"2"	"396"	"124"	"1"	"46"	"0"	"21"	"1"	"1"	"123"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"15"	"11"	"0"	"358"	"358"	"1"	"0"
"8089"	"4"	"7"	"5"	"2"	"400"	"126"	"1"	"52"	"2"	"28"	"1"	"0"	"128"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"350"	"350"	"12"	"6"	"0"	"368"	"368"	"1"	"0"
"8090"	"4"	"7"	"5"	"2"	"393"	"97"	"2"	"19"	"4"	"22"	"0"	"4"	"179"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"344"	"9"	"2"	"0"	"355"	"355"	"1"	"0"
"8091"	"4"	"7"	"5"	"2"	"394"	"98"	"1"	"30"	"3"	"33"	"1"	"4"	"166"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"10"	"10"	"0"	"359"	"359"	"1"	"0"
"8092"	"4"	"7"	"5"	"2"	"401"	"111"	"3"	"21"	"1"	"29"	"0"	"1"	"152"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"5"	"8"	"0"	"335"	"335"	"1"	"0"
"8093"	"4"	"7"	"5"	"2"	"400"	"108"	"1"	"34"	"3"	"19"	"1"	"1"	"119"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"5"	"1"	"0"	"297"	"297"	"1"	"0"
"8094"	"4"	"7"	"5"	"2"	"404"	"113"	"1"	"27"	"4"	"12"	"0"	"0"	"132"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"12"	"0"	"318"	"318"	"1"	"0"
"8095"	"4"	"7"	"5"	"2"	"396"	"90"	"2"	"29"	"2"	"16"	"0"	"2"	"143"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"12"	"22"	"0"	"328"	"328"	"1"	"0"
"8096"	"4"	"7"	"5"	"2"	"400"	"104"	"1"	"30"	"1"	"24"	"1"	"2"	"140"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"8"	"3"	"0"	"319"	"319"	"1"	"0"
"8097"	"4"	"7"	"5"	"2"	"339"	"101"	"0"	"30"	"2"	"15"	"1"	"0"	"100"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"1"	"1"	"0"	"256"	"256"	"1"	"0"
"8098"	"4"	"7"	"5"	"2"	"341"	"106"	"0"	"21"	"0"	"13"	"0"	"0"	"119"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"1"	"4"	"0"	"267"	"267"	"1"	"0"
"8099"	"4"	"7"	"5"	"2"	"376"	"110"	"30"	"44"	"0"	"39"	"2"	"5"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"21"	"6"	"0"	"276"	"276"	"1"	"0"
"8100"	"4"	"7"	"5"	"2"	"380"	"95"	"29"	"59"	"1"	"34"	"1"	"8"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"15"	"10"	"0"	"276"	"276"	"1"	"0"
"8101"	"4"	"7"	"5"	"2"	"376"	"120"	"23"	"64"	"1"	"38"	"1"	"2"	"26"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"14"	"15"	"0"	"307"	"307"	"1"	"0"
"8102"	"4"	"7"	"5"	"2"	"376"	"105"	"17"	"65"	"2"	"49"	"0"	"6"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"17"	"11"	"2"	"287"	"287"	"1"	"0"
