"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"LIBRE"	"UNE"	"UNIONISTA"	"MLP"	"FCN_NACION"	"BIEN"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6903"	"4"	"5"	"8"	"2"	"400"	"57"	"10"	"12"	"96"	"2"	"4"	"4"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"2"	"0"	"240"	"240"	"1"	"0"
"6904"	"4"	"5"	"8"	"2"	"400"	"77"	"10"	"9"	"92"	"1"	"2"	"1"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"6"	"6"	"0"	"241"	"241"	"1"	"0"
"6905"	"4"	"5"	"8"	"2"	"400"	"69"	"7"	"14"	"81"	"3"	"3"	"5"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"5"	"4"	"0"	"224"	"224"	"1"	"0"
"6906"	"4"	"5"	"8"	"2"	"399"	"88"	"21"	"15"	"97"	"3"	"5"	"3"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"2"	"5"	"0"	"279"	"279"	"1"	"0"
"6907"	"4"	"5"	"8"	"2"	"315"	"77"	"16"	"15"	"113"	"0"	"3"	"3"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"2"	"0"	"0"	"267"	"267"	"1"	"0"
"6908"	"4"	"5"	"8"	"2"	"314"	"67"	"11"	"12"	"72"	"4"	"1"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"3"	"1"	"0"	"205"	"205"	"1"	"0"
"6909"	"4"	"5"	"8"	"2"	"400"	"57"	"7"	"21"	"78"	"2"	"11"	"1"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"15"	"11"	"0"	"230"	"230"	"1"	"0"
"6910"	"4"	"5"	"8"	"2"	"400"	"56"	"12"	"24"	"95"	"2"	"9"	"3"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"10"	"5"	"0"	"252"	"252"	"1"	"0"
"6911"	"4"	"5"	"8"	"2"	"400"	"63"	"9"	"23"	"106"	"3"	"10"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"3"	"0"	"259"	"259"	"1"	"0"
"6912"	"4"	"5"	"8"	"2"	"400"	"54"	"6"	"30"	"87"	"1"	"6"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"10"	"4"	"0"	"248"	"248"	"1"	"0"
"6913"	"4"	"5"	"8"	"2"	"396"	"61"	"5"	"19"	"101"	"0"	"1"	"2"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"2"	"0"	"252"	"252"	"1"	"0"
"6914"	"4"	"5"	"8"	"2"	"401"	"48"	"6"	"28"	"89"	"1"	"6"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"4"	"0"	"227"	"227"	"1"	"1"
"6915"	"4"	"5"	"8"	"2"	"402"	"61"	"8"	"23"	"89"	"2"	"4"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"8"	"10"	"0"	"229"	"229"	"1"	"1"
"6916"	"4"	"5"	"8"	"2"	"400"	"52"	"6"	"22"	"79"	"4"	"6"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"19"	"10"	"0"	"228"	"228"	"1"	"0"
"6917"	"4"	"5"	"8"	"2"	"400"	"46"	"8"	"30"	"76"	"2"	"6"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"16"	"2"	"0"	"216"	"216"	"1"	"0"
"6918"	"4"	"5"	"8"	"2"	"400"	"58"	"6"	"18"	"79"	"1"	"6"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"6"	"0"	"221"	"221"	"1"	"0"
"6919"	"4"	"5"	"8"	"2"	"400"	"33"	"3"	"22"	"103"	"3"	"9"	"3"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"11"	"3"	"0"	"218"	"218"	"1"	"0"
"6920"	"4"	"5"	"8"	"2"	"394"	"50"	"8"	"21"	"110"	"0"	"3"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"2"	"0"	"241"	"241"	"1"	"0"
"6921"	"4"	"5"	"8"	"2"	"391"	"69"	"5"	"23"	"109"	"1"	"4"	"1"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"6"	"0"	"258"	"258"	"1"	"0"
"6922"	"4"	"5"	"8"	"2"	"468"	"30"	"5"	"6"	"30"	"2"	"4"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"2"	"5"	"0"	"100"	"100"	"1"	"0"
