"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MANOS"	"VAMOS"	"VALOR"	"VICTORIA"	"EG"	"FCN_NACION"	"UCN"	"UNE"	"PHG"	"PC"	"CREO"	"MLP"	"TODOS"	"PAN"	"LIBRE"	"BIEN"	"AVANZA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18634"	"4"	"18"	"4"	"2"	"396"	"9"	"5"	"49"	"6"	"30"	"8"	"2"	"47"	"12"	"1"	"0"	"2"	"21"	"46"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"2"	"0"	"253"	"253"	"1"	"0"
"18635"	"4"	"18"	"4"	"2"	"396"	"10"	"16"	"60"	"4"	"25"	"7"	"5"	"43"	"28"	"2"	"1"	"0"	"17"	"46"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"0"	"0"	"277"	"277"	"1"	"0"
"18636"	"4"	"18"	"4"	"2"	"393"	"9"	"13"	"78"	"13"	"34"	"7"	"3"	"41"	"35"	"1"	"0"	"1"	"11"	"46"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"1"	"3"	"0"	"309"	"309"	"1"	"0"
"18637"	"4"	"18"	"4"	"2"	"396"	"6"	"10"	"65"	"5"	"25"	"9"	"8"	"57"	"22"	"5"	"0"	"2"	"15"	"60"	"4"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"2"	"2"	"0"	"307"	"307"	"1"	"0"
"18638"	"4"	"18"	"4"	"2"	"396"	"13"	"7"	"55"	"15"	"30"	"6"	"5"	"47"	"26"	"2"	"0"	"2"	"13"	"31"	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"6"	"3"	"0"	"273"	"273"	"1"	"0"
"18639"	"4"	"18"	"4"	"2"	"261"	"4"	"3"	"28"	"5"	"11"	"2"	"7"	"27"	"6"	"0"	"1"	"4"	"8"	"20"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"4"	"1"	"0"	"141"	"141"	"1"	"0"
"18640"	"4"	"18"	"4"	"2"	"261"	"4"	"3"	"29"	"2"	"10"	"3"	"5"	"22"	"7"	"0"	"2"	"2"	"4"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"8"	"3"	"0"	"117"	"117"	"1"	"0"
"18641"	"4"	"18"	"4"	"2"	"380"	"3"	"8"	"72"	"10"	"8"	"2"	"5"	"67"	"2"	"4"	"1"	"13"	"8"	"22"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"19"	"7"	"0"	"255"	"255"	"1"	"0"
"18642"	"4"	"18"	"4"	"2"	"376"	"6"	"11"	"55"	"13"	"12"	"2"	"2"	"88"	"3"	"4"	"3"	"8"	"8"	"25"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"13"	"7"	"0"	"267"	"267"	"1"	"0"
"18643"	"4"	"18"	"4"	"2"	"376"	"2"	"4"	"80"	"16"	"20"	"1"	"1"	"72"	"6"	"1"	"1"	"11"	"3"	"14"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"12"	"6"	"0"	"257"	"257"	"1"	"0"
"18644"	"4"	"18"	"4"	"2"	"376"	"3"	"1"	"61"	"14"	"9"	"3"	"4"	"78"	"3"	"3"	"3"	"18"	"6"	"15"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"11"	"5"	"0"	"243"	"243"	"1"	"0"
"18645"	"4"	"18"	"4"	"2"	"346"	"2"	"3"	"53"	"8"	"12"	"1"	"2"	"67"	"3"	"2"	"5"	"12"	"4"	"19"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"17"	"14"	"0"	"232"	"232"	"1"	"0"
"18646"	"4"	"18"	"4"	"2"	"345"	"2"	"4"	"59"	"14"	"19"	"0"	"2"	"63"	"5"	"2"	"1"	"9"	"3"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"10"	"9"	"0"	"222"	"222"	"1"	"0"
"18647"	"4"	"18"	"4"	"2"	"376"	"1"	"6"	"31"	"17"	"8"	"3"	"6"	"46"	"3"	"3"	"3"	"16"	"6"	"13"	"3"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"12"	"5"	"0"	"204"	"204"	"1"	"0"
"18648"	"4"	"18"	"4"	"2"	"380"	"4"	"9"	"32"	"15"	"13"	"5"	"6"	"39"	"5"	"7"	"8"	"22"	"7"	"18"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"19"	"7"	"0"	"229"	"229"	"1"	"0"
"18649"	"4"	"18"	"4"	"2"	"380"	"1"	"9"	"34"	"5"	"10"	"1"	"2"	"37"	"10"	"8"	"2"	"14"	"8"	"23"	"3"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"13"	"8"	"0"	"200"	"200"	"1"	"0"
"18650"	"4"	"18"	"4"	"2"	"380"	"0"	"9"	"39"	"10"	"16"	"1"	"4"	"29"	"7"	"2"	"2"	"11"	"14"	"15"	"5"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"12"	"16"	"0"	"210"	"210"	"1"	"0"
