"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"UCN"	"TODOS"	"VAMOS"	"VALOR"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18998"	"4"	"19"	"4"	"2"	"296"	"14"	"81"	"74"	"12"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"13"	"2"	"0"	"204"	"204"	"1"	"0"
"18999"	"4"	"19"	"4"	"2"	"383"	"17"	"81"	"142"	"23"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"13"	"5"	"0"	"284"	"284"	"1"	"0"
"19000"	"4"	"19"	"4"	"2"	"380"	"17"	"90"	"126"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"1"	"0"	"260"	"260"	"1"	"0"
"19001"	"4"	"19"	"4"	"2"	"380"	"12"	"92"	"112"	"15"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"8"	"7"	"0"	"252"	"252"	"1"	"0"
"19002"	"4"	"19"	"4"	"2"	"252"	"12"	"51"	"84"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"5"	"2"	"0"	"168"	"168"	"1"	"0"
"19003"	"4"	"19"	"4"	"2"	"251"	"12"	"61"	"75"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"5"	"4"	"0"	"171"	"171"	"1"	"0"
"19004"	"4"	"19"	"4"	"2"	"383"	"4"	"179"	"49"	"28"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"9"	"5"	"0"	"284"	"284"	"1"	"0"
"19005"	"4"	"19"	"4"	"2"	"382"	"10"	"155"	"75"	"32"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"17"	"4"	"0"	"308"	"308"	"1"	"0"
"19006"	"4"	"19"	"4"	"2"	"380"	"6"	"178"	"86"	"20"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"10"	"3"	"0"	"309"	"309"	"1"	"0"
"19007"	"4"	"19"	"4"	"2"	"384"	"6"	"175"	"69"	"33"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"4"	"0"	"298"	"298"	"1"	"0"
"19008"	"4"	"19"	"4"	"2"	"392"	"8"	"151"	"65"	"29"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"3"	"0"	"264"	"264"	"1"	"0"
"19009"	"4"	"19"	"4"	"2"	"265"	"6"	"110"	"57"	"7"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"1"	"0"	"0"	"185"	"185"	"1"	"0"
