"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EL_MAGUEY"	"UCN"	"PC"	"LIBRE"	"UNE"	"SEMILLA"	"BIEN"	"EG"	"CONVERGENCIA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19453"	"4"	"20"	"4"	"2"	"400"	"10"	"39"	"59"	"72"	"2"	"68"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"15"	"10"	"0"	"283"	"283"	"1"	"0"
"19454"	"4"	"20"	"4"	"2"	"400"	"1"	"23"	"52"	"99"	"0"	"53"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"23"	"8"	"0"	"269"	"269"	"1"	"0"
"19455"	"4"	"20"	"4"	"2"	"400"	"10"	"22"	"65"	"65"	"1"	"53"	"0"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"16"	"2"	"0"	"243"	"243"	"1"	"0"
"19456"	"4"	"20"	"4"	"2"	"265"	"9"	"21"	"72"	"63"	"0"	"68"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"15"	"5"	"0"	"265"	"265"	"1"	"0"
"19457"	"4"	"20"	"4"	"2"	"393"	"7"	"27"	"64"	"78"	"4"	"64"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"6"	"0"	"269"	"269"	"1"	"0"
"19458"	"4"	"20"	"4"	"2"	"395"	"18"	"57"	"5"	"92"	"3"	"76"	"9"	"16"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"35"	"8"	"0"	"324"	"324"	"1"	"0"
"19459"	"4"	"20"	"4"	"2"	"396"	"37"	"81"	"15"	"67"	"2"	"42"	"2"	"19"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"36"	"15"	"8"	"329"	"321"	"0"	"0"
"19460"	"4"	"20"	"4"	"2"	"400"	"22"	"83"	"6"	"75"	"2"	"65"	"2"	"17"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"31"	"15"	"0"	"324"	"324"	"1"	"0"
"19461"	"4"	"20"	"4"	"2"	"396"	"20"	"64"	"10"	"75"	"0"	"54"	"8"	"29"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"22"	"16"	"0"	"300"	"300"	"1"	"0"
"19462"	"4"	"20"	"4"	"2"	"223"	"11"	"23"	"6"	"46"	"1"	"40"	"4"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"15"	"4"	"0"	"157"	"157"	"1"	"0"
"19463"	"4"	"20"	"4"	"2"	"223"	"12"	"33"	"3"	"53"	"2"	"34"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"11"	"5"	"0"	"172"	"172"	"1"	"0"
"19464"	"4"	"20"	"4"	"2"	"380"	"7"	"67"	"25"	"59"	"3"	"18"	"0"	"14"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"34"	"2"	"0"	"234"	"234"	"1"	"0"
"19465"	"4"	"20"	"4"	"2"	"380"	"13"	"86"	"6"	"41"	"1"	"34"	"1"	"57"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"56"	"3"	"0"	"300"	"300"	"1"	"0"
"19466"	"4"	"20"	"4"	"2"	"380"	"12"	"96"	"11"	"83"	"3"	"50"	"4"	"16"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"21"	"6"	"0"	"316"	"316"	"1"	"0"
"19467"	"4"	"20"	"4"	"2"	"376"	"16"	"93"	"12"	"49"	"3"	"25"	"5"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"29"	"8"	"0"	"260"	"260"	"1"	"0"
"19468"	"4"	"20"	"4"	"2"	"379"	"26"	"55"	"13"	"44"	"3"	"19"	"3"	"32"	"6"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"32"	"5"	"0"	"245"	"245"	"1"	"0"
"19469"	"4"	"20"	"4"	"2"	"333"	"17"	"64"	"8"	"45"	"1"	"26"	"1"	"26"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"21"	"10"	"0"	"226"	"226"	"1"	"0"
"19470"	"4"	"20"	"4"	"2"	"333"	"12"	"64"	"12"	"55"	"0"	"18"	"2"	"47"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"15"	"5"	"0"	"235"	"235"	"1"	"0"
"19471"	"4"	"20"	"4"	"2"	"386"	"5"	"11"	"4"	"6"	"0"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"37"	"4"	"2"	"0"	"43"	"43"	"1"	"0"
