"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VICTORIA"	"WINAQ"	"PC"	"PODEMOS"	"VAMOS"	"VALOR"	"FUERZA"	"LIBRE"	"CREO"	"TODOS"	"SEMILLA"	"PPT"	"FCN_NACION"	"UCN"	"UNIONISTA"	"URNG_MAIZ"	"CONVERGENCIA"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16908"	"4"	"16"	"9"	"2"	"380"	"24"	"62"	"99"	"16"	"5"	"3"	"3"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"7"	"0"	"252"	"252"	"1"	"0"
"16909"	"4"	"16"	"9"	"2"	"378"	"26"	"64"	"83"	"12"	"6"	"5"	"2"	"2"	"1"	"2"	"2"	"5"	"1"	"1"	"12"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"15"	"20"	"0"	"263"	"263"	"1"	"0"
"16910"	"4"	"16"	"9"	"2"	"380"	"21"	"71"	"86"	"9"	"3"	"8"	"1"	"0"	"3"	"0"	"1"	"4"	"0"	"0"	"13"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"24"	"18"	"0"	"265"	"265"	"1"	"0"
"16911"	"4"	"16"	"9"	"2"	"383"	"21"	"69"	"76"	"15"	"1"	"9"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"19"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"23"	"14"	"0"	"255"	"255"	"1"	"0"
"16912"	"4"	"16"	"9"	"2"	"380"	"32"	"40"	"87"	"16"	"3"	"7"	"2"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"18"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"213"	"44"	"5"	"0"	"263"	"262"	"0"	"0"
"16913"	"4"	"16"	"9"	"2"	"380"	"22"	"62"	"79"	"11"	"7"	"5"	"4"	"2"	"4"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"26"	"14"	"0"	"245"	"245"	"1"	"0"
"16914"	"4"	"16"	"9"	"2"	"380"	"11"	"72"	"72"	"14"	"2"	"10"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"7"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"31"	"15"	"0"	"245"	"245"	"1"	"0"
"16915"	"4"	"16"	"9"	"2"	"316"	"14"	"32"	"67"	"3"	"8"	"3"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"19"	"5"	"0"	"166"	"166"	"1"	"0"
"16916"	"4"	"16"	"9"	"2"	"316"	"8"	"78"	"75"	"13"	"7"	"5"	"3"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"6"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"7"	"4"	"0"	"218"	"218"	"1"	"0"
"16917"	"4"	"16"	"9"	"2"	"380"	"48"	"17"	"85"	"3"	"13"	"63"	"7"	"1"	"3"	"3"	"1"	"1"	"0"	"2"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"26"	"12"	"0"	"292"	"292"	"1"	"0"
