"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNE"	"TODOS"	"CONVERGENCIA"	"WINAQ"	"PC"	"UCN"	"VIVA"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIDOS"	"PPT"	"UNIONISTA"	"VICTORIA"	"MLP"	"PODEMOS"	"PHG"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16468"	"4"	"16"	"3"	"2"	"380"	"2"	"14"	"18"	"47"	"23"	"1"	"3"	"1"	"1"	"0"	"2"	"2"	"2"	"0"	"0"	"1"	"2"	"61"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"30"	"9"	"0"	"230"	"230"	"1"	"0"
"16469"	"4"	"16"	"3"	"2"	"376"	"4"	"13"	"13"	"46"	"14"	"1"	"1"	"2"	"1"	"0"	"6"	"0"	"1"	"2"	"0"	"0"	"1"	"58"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"36"	"12"	"0"	"222"	"222"	"1"	"0"
"16470"	"4"	"16"	"3"	"2"	"380"	"3"	"25"	"14"	"32"	"34"	"1"	"2"	"1"	"0"	"3"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"130"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"36"	"6"	"0"	"301"	"301"	"1"	"0"
"16471"	"4"	"16"	"3"	"2"	"373"	"4"	"49"	"2"	"34"	"35"	"0"	"1"	"2"	"0"	"2"	"0"	"3"	"2"	"0"	"0"	"0"	"3"	"104"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"39"	"10"	"0"	"299"	"299"	"1"	"0"
"16472"	"4"	"16"	"3"	"2"	"376"	"3"	"43"	"9"	"39"	"29"	"1"	"1"	"2"	"2"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"3"	"86"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"34"	"14"	"0"	"288"	"288"	"1"	"0"
"16473"	"4"	"16"	"3"	"2"	"376"	"3"	"28"	"8"	"30"	"18"	"1"	"2"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"85"	"8"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"21"	"8"	"0"	"230"	"230"	"1"	"0"
"16474"	"4"	"16"	"3"	"2"	"328"	"4"	"11"	"26"	"29"	"20"	"0"	"0"	"0"	"2"	"3"	"5"	"7"	"1"	"1"	"1"	"1"	"2"	"59"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"20"	"8"	"0"	"205"	"205"	"1"	"0"
"16475"	"4"	"16"	"3"	"2"	"327"	"0"	"19"	"16"	"25"	"17"	"1"	"0"	"0"	"2"	"3"	"2"	"1"	"1"	"1"	"0"	"1"	"0"	"96"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"13"	"6"	"0"	"214"	"214"	"1"	"0"
"16476"	"4"	"16"	"3"	"2"	"600"	"6"	"15"	"6"	"52"	"19"	"6"	"4"	"1"	"9"	"10"	"4"	"12"	"5"	"4"	"0"	"5"	"9"	"4"	"3"	"27"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"21"	"17"	"0"	"247"	"247"	"1"	"0"
"16477"	"4"	"16"	"3"	"2"	"591"	"13"	"22"	"13"	"48"	"19"	"2"	"2"	"0"	"11"	"6"	"6"	"15"	"3"	"6"	"2"	"1"	"6"	"12"	"8"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"30"	"5"	"0"	"249"	"249"	"1"	"0"
"16478"	"4"	"16"	"3"	"2"	"591"	"9"	"11"	"3"	"21"	"18"	"0"	"1"	"1"	"16"	"12"	"7"	"8"	"4"	"11"	"0"	"1"	"2"	"4"	"6"	"35"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"13"	"5"	"0"	"196"	"196"	"1"	"0"
