"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNE"	"TODOS"	"CONVERGENCIA"	"WINAQ"	"PC"	"UCN"	"VIVA"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIDOS"	"PPT"	"UNIONISTA"	"VICTORIA"	"MLP"	"PODEMOS"	"PHG"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16413"	"4"	"16"	"3"	"2"	"396"	"13"	"19"	"3"	"63"	"46"	"3"	"7"	"3"	"19"	"8"	"3"	"7"	"14"	"6"	"0"	"1"	"6"	"1"	"5"	"35"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"2"	"0"	"287"	"287"	"1"	"0"
"16414"	"4"	"16"	"3"	"2"	"400"	"16"	"17"	"7"	"55"	"24"	"2"	"6"	"0"	"16"	"5"	"4"	"5"	"6"	"11"	"0"	"4"	"6"	"5"	"4"	"44"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"8"	"2"	"0"	"256"	"256"	"1"	"0"
"16415"	"4"	"16"	"3"	"2"	"400"	"14"	"9"	"5"	"58"	"27"	"4"	"10"	"2"	"14"	"16"	"13"	"8"	"5"	"6"	"1"	"8"	"3"	"1"	"4"	"31"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"6"	"0"	"267"	"267"	"1"	"0"
"16416"	"4"	"16"	"3"	"2"	"396"	"13"	"8"	"5"	"63"	"24"	"2"	"3"	"3"	"22"	"14"	"4"	"7"	"10"	"10"	"2"	"5"	"15"	"4"	"5"	"38"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"13"	"8"	"0"	"287"	"287"	"1"	"0"
"16417"	"4"	"16"	"3"	"2"	"400"	"11"	"9"	"8"	"52"	"27"	"5"	"10"	"4"	"14"	"11"	"3"	"8"	"6"	"8"	"1"	"0"	"5"	"1"	"4"	"62"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"16"	"2"	"0"	"276"	"276"	"1"	"0"
"16418"	"4"	"16"	"3"	"2"	"400"	"14"	"8"	"9"	"59"	"26"	"5"	"7"	"0"	"20"	"5"	"4"	"6"	"7"	"9"	"1"	"7"	"4"	"3"	"7"	"36"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"5"	"0"	"262"	"262"	"1"	"0"
"16419"	"4"	"16"	"3"	"2"	"396"	"11"	"12"	"5"	"55"	"38"	"7"	"6"	"6"	"17"	"12"	"6"	"6"	"3"	"8"	"1"	"5"	"8"	"3"	"9"	"37"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"2"	"0"	"276"	"276"	"1"	"0"
"16420"	"4"	"16"	"3"	"2"	"400"	"14"	"14"	"3"	"49"	"27"	"2"	"8"	"4"	"29"	"12"	"15"	"13"	"2"	"11"	"1"	"2"	"4"	"2"	"3"	"54"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"4"	"0"	"297"	"297"	"1"	"0"
"16421"	"4"	"16"	"3"	"2"	"400"	"11"	"11"	"3"	"51"	"22"	"5"	"1"	"1"	"23"	"8"	"9"	"5"	"3"	"18"	"0"	"6"	"8"	"2"	"2"	"49"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"9"	"1"	"0"	"254"	"254"	"1"	"0"
"16422"	"4"	"16"	"3"	"2"	"396"	"15"	"8"	"4"	"40"	"25"	"8"	"4"	"2"	"36"	"9"	"5"	"6"	"3"	"10"	"0"	"2"	"5"	"1"	"7"	"36"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"2"	"0"	"244"	"244"	"1"	"0"
"16423"	"4"	"16"	"3"	"2"	"396"	"14"	"10"	"4"	"56"	"26"	"4"	"7"	"2"	"21"	"6"	"6"	"7"	"2"	"11"	"0"	"3"	"8"	"2"	"6"	"39"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"0"	"0"	"249"	"249"	"1"	"0"
"16424"	"4"	"16"	"3"	"2"	"378"	"14"	"16"	"5"	"55"	"27"	"6"	"10"	"2"	"27"	"6"	"13"	"7"	"2"	"11"	"2"	"3"	"3"	"2"	"4"	"37"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"3"	"2"	"0"	"264"	"264"	"1"	"0"
"16425"	"4"	"16"	"3"	"2"	"388"	"15"	"8"	"7"	"57"	"27"	"2"	"5"	"2"	"24"	"4"	"9"	"5"	"3"	"8"	"2"	"3"	"1"	"2"	"8"	"39"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"4"	"1"	"0"	"241"	"241"	"1"	"0"
