"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"CCC"	"UNE"	"VAMOS"	"UCN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12480"	"4"	"12"	"17"	"2"	"0"	"10"	"98"	"18"	"79"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"11"	"2"	"0"	"221"	"221"	"1"	"0"
"12481"	"4"	"12"	"17"	"2"	"483"	"12"	"125"	"21"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"11"	"3"	"0"	"249"	"249"	"1"	"0"
"12482"	"4"	"12"	"17"	"2"	"380"	"7"	"116"	"20"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"18"	"7"	"0"	"237"	"237"	"1"	"0"
"12483"	"4"	"12"	"17"	"2"	"380"	"12"	"114"	"26"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"5"	"2"	"0"	"212"	"212"	"1"	"0"
"12484"	"4"	"12"	"17"	"2"	"380"	"5"	"119"	"19"	"54"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"9"	"3"	"0"	"211"	"211"	"1"	"0"
"12485"	"4"	"12"	"17"	"2"	"383"	"12"	"106"	"12"	"86"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"6"	"0"	"239"	"239"	"1"	"0"
"12486"	"4"	"12"	"17"	"2"	"380"	"5"	"88"	"28"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"16"	"6"	"0"	"207"	"207"	"1"	"0"
"12487"	"4"	"12"	"17"	"2"	"314"	"5"	"70"	"6"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"19"	"9"	"0"	"157"	"157"	"1"	"0"
"12488"	"4"	"12"	"17"	"2"	"312"	"7"	"115"	"11"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"11"	"1"	"0"	"190"	"190"	"1"	"0"
"12489"	"4"	"12"	"17"	"2"	"406"	"30"	"143"	"18"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"25"	"2"	"0"	"239"	"239"	"1"	"0"
"12490"	"4"	"12"	"17"	"2"	"400"	"34"	"182"	"4"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"15"	"2"	"0"	"269"	"269"	"1"	"0"
"12491"	"4"	"12"	"17"	"2"	"400"	"33"	"165"	"15"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"0"	"0"	"246"	"246"	"1"	"0"
"12492"	"4"	"12"	"17"	"2"	"395"	"24"	"146"	"13"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"16"	"0"	"0"	"222"	"222"	"1"	"0"
"12493"	"4"	"12"	"17"	"2"	"232"	"20"	"81"	"9"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"9"	"1"	"0"	"137"	"137"	"1"	"0"
"12494"	"4"	"12"	"17"	"2"	"230"	"12"	"94"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"1"	"0"	"0"	"123"	"123"	"1"	"0"
"12495"	"4"	"12"	"17"	"2"	"600"	"18"	"105"	"9"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"14"	"6"	"0"	"193"	"193"	"1"	"0"
"12496"	"4"	"12"	"17"	"2"	"0"	"12"	"96"	"12"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"10"	"2"	"0"	"172"	"172"	"1"	"0"
"12497"	"4"	"12"	"17"	"2"	"367"	"4"	"68"	"6"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"6"	"3"	"0"	"112"	"112"	"1"	"0"
"12498"	"4"	"12"	"17"	"2"	"363"	"1"	"21"	"3"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"40"	"40"	"1"	"2"	"0"	"43"	"43"	"1"	"0"
