"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VALOR"	"MLP"	"PHG"	"BIEN"	"COCIYAC"	"PODEMOS"	"WINAQ_URNG"	"PC"	"FCN_NACION"	"AVANZA"	"FUERZA"	"UNIONISTA"	"LIBRE"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15942"	"4"	"15"	"4"	"2"	"260"	"9"	"49"	"26"	"1"	"3"	"15"	"26"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"7"	"3"	"0"	"141"	"141"	"1"	"0"
"15943"	"4"	"15"	"4"	"2"	"380"	"6"	"38"	"29"	"0"	"9"	"3"	"54"	"1"	"1"	"0"	"4"	"3"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"22"	"6"	"0"	"181"	"181"	"1"	"0"
"15944"	"4"	"15"	"4"	"2"	"380"	"5"	"28"	"49"	"2"	"3"	"3"	"40"	"2"	"3"	"1"	"7"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"29"	"13"	"0"	"190"	"190"	"1"	"0"
"15945"	"4"	"15"	"4"	"2"	"381"	"13"	"16"	"54"	"2"	"3"	"8"	"37"	"5"	"0"	"2"	"24"	"3"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"14"	"15"	"0"	"205"	"205"	"1"	"0"
"15946"	"4"	"15"	"4"	"2"	"365"	"4"	"31"	"25"	"0"	"6"	"10"	"36"	"0"	"2"	"3"	"9"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"14"	"1"	"1"	"143"	"143"	"1"	"0"
"15947"	"4"	"15"	"4"	"2"	"332"	"9"	"31"	"36"	"2"	"9"	"4"	"53"	"0"	"4"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"7"	"13"	"0"	"176"	"176"	"1"	"0"
"15948"	"4"	"15"	"4"	"2"	"380"	"42"	"76"	"34"	"2"	"14"	"8"	"9"	"0"	"2"	"1"	"4"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"31"	"15"	"0"	"243"	"243"	"1"	"0"
"15949"	"4"	"15"	"4"	"2"	"400"	"27"	"108"	"37"	"2"	"12"	"14"	"10"	"2"	"2"	"2"	"2"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"35"	"17"	"1"	"278"	"278"	"1"	"0"
"15950"	"4"	"15"	"4"	"2"	"360"	"25"	"85"	"18"	"1"	"10"	"5"	"22"	"3"	"2"	"2"	"3"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"27"	"14"	"0"	"222"	"222"	"1"	"0"
"15951"	"4"	"15"	"4"	"2"	"359"	"18"	"89"	"34"	"0"	"14"	"9"	"11"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"17"	"11"	"2"	"210"	"210"	"1"	"0"
