"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VENADO"	"TODOS"	"UNE"	"VALOR"	"UCN"	"FUERZA"	"VAMOS"	"SEMILLA"	"CCML"	"UNIONISTA"	"LIBRE"	"EG"	"PODEMOS"	"URNG_MAIZ"	"VIVA"	"CREO"	"PC"	"CC_PER_DO_MO"	"BIEN"	"C_C_C_"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10276"	"4"	"10"	"1"	"2"	"400"	"49"	"24"	"16"	"4"	"8"	"17"	"11"	"13"	"7"	"5"	"3"	"0"	"3"	"5"	"11"	"7"	"8"	"12"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"1"	"0"	"246"	"246"	"1"	"0"
"10277"	"4"	"10"	"1"	"2"	"226"	"24"	"12"	"10"	"3"	"3"	"12"	"5"	"7"	"10"	"3"	"2"	"1"	"0"	"7"	"11"	"11"	"6"	"5"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"2"	"0"	"0"	"148"	"148"	"1"	"0"
"10278"	"4"	"10"	"1"	"2"	"226"	"27"	"16"	"5"	"2"	"4"	"5"	"5"	"11"	"6"	"1"	"1"	"6"	"5"	"2"	"6"	"6"	"7"	"14"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"3"	"1"	"0"	"145"	"145"	"1"	"0"
"10279"	"4"	"10"	"1"	"2"	"383"	"26"	"35"	"57"	"2"	"4"	"2"	"11"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"3"	"0"	"3"	"7"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"29"	"11"	"0"	"218"	"218"	"1"	"0"
"10280"	"4"	"10"	"1"	"2"	"380"	"33"	"41"	"66"	"1"	"5"	"3"	"6"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"6"	"6"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"22"	"11"	"0"	"226"	"226"	"1"	"0"
"10281"	"4"	"10"	"1"	"2"	"380"	"44"	"37"	"70"	"1"	"4"	"1"	"5"	"2"	"1"	"5"	"0"	"2"	"2"	"4"	"2"	"0"	"3"	"5"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"18"	"11"	"0"	"237"	"237"	"1"	"0"
"10282"	"4"	"10"	"1"	"2"	"379"	"35"	"41"	"69"	"3"	"5"	"1"	"1"	"4"	"2"	"2"	"1"	"1"	"0"	"6"	"2"	"1"	"8"	"2"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"18"	"13"	"0"	"229"	"229"	"1"	"0"
"10283"	"4"	"10"	"1"	"2"	"384"	"22"	"42"	"71"	"0"	"2"	"0"	"6"	"3"	"1"	"3"	"0"	"1"	"2"	"3"	"5"	"2"	"5"	"5"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"31"	"9"	"0"	"235"	"235"	"1"	"0"
"10284"	"4"	"10"	"1"	"2"	"382"	"36"	"35"	"78"	"0"	"2"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"3"	"6"	"3"	"2"	"7"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"18"	"9"	"0"	"230"	"230"	"1"	"0"
"10285"	"4"	"10"	"1"	"2"	"0"	"39"	"40"	"55"	"2"	"2"	"3"	"4"	"6"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"2"	"2"	"5"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"16"	"5"	"0"	"198"	"198"	"1"	"0"
"10286"	"4"	"10"	"1"	"2"	"377"	"32"	"38"	"57"	"1"	"5"	"0"	"5"	"5"	"0"	"5"	"1"	"2"	"1"	"1"	"2"	"3"	"1"	"7"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"20"	"9"	"0"	"209"	"209"	"1"	"0"
"10287"	"4"	"10"	"1"	"2"	"254"	"18"	"25"	"37"	"2"	"3"	"2"	"5"	"2"	"0"	"2"	"0"	"2"	"0"	"3"	"2"	"0"	"4"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"12"	"3"	"0"	"132"	"132"	"1"	"0"
"10288"	"4"	"10"	"1"	"2"	"254"	"23"	"43"	"30"	"0"	"0"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"0"	"1"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"8"	"3"	"0"	"137"	"137"	"1"	"0"
"10289"	"4"	"10"	"1"	"2"	"380"	"15"	"8"	"42"	"2"	"4"	"0"	"2"	"11"	"5"	"2"	"4"	"3"	"6"	"20"	"18"	"3"	"7"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"25"	"10"	"0"	"198"	"198"	"1"	"0"
"10290"	"4"	"10"	"1"	"2"	"380"	"21"	"6"	"44"	"0"	"4"	"3"	"4"	"7"	"2"	"3"	"1"	"5"	"11"	"12"	"24"	"1"	"9"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"171"	"15"	"4"	"0"	"195"	"190"	"0"	"0"
"10291"	"4"	"10"	"1"	"2"	"289"	"18"	"6"	"34"	"2"	"0"	"0"	"3"	"7"	"2"	"3"	"1"	"1"	"7"	"14"	"24"	"0"	"7"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"16"	"4"	"0"	"159"	"159"	"1"	"1"
"10292"	"4"	"10"	"1"	"2"	"288"	"11"	"9"	"24"	"2"	"2"	"2"	"3"	"9"	"1"	"5"	"1"	"4"	"1"	"20"	"16"	"0"	"2"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"8"	"6"	"0"	"135"	"135"	"1"	"0"
"10293"	"4"	"10"	"1"	"2"	"380"	"17"	"8"	"34"	"7"	"6"	"4"	"6"	"2"	"8"	"1"	"0"	"3"	"8"	"7"	"8"	"1"	"5"	"1"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"27"	"9"	"0"	"206"	"206"	"1"	"0"
"10294"	"4"	"10"	"1"	"2"	"379"	"19"	"11"	"34"	"7"	"3"	"2"	"5"	"2"	"11"	"1"	"0"	"4"	"4"	"8"	"9"	"3"	"6"	"0"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"0"	"0"	"0"	"0"	"179"	"0"	"0"
"10295"	"4"	"10"	"1"	"2"	"237"	"12"	"4"	"43"	"8"	"2"	"2"	"5"	"7"	"6"	"1"	"1"	"2"	"6"	"2"	"8"	"1"	"1"	"2"	"0"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"16"	"8"	"0"	"177"	"177"	"1"	"0"
"10296"	"4"	"10"	"1"	"2"	"338"	"10"	"3"	"29"	"7"	"4"	"1"	"1"	"0"	"5"	"0"	"1"	"1"	"3"	"3"	"10"	"3"	"9"	"0"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"11"	"6"	"0"	"136"	"136"	"1"	"0"
"10297"	"4"	"10"	"1"	"2"	"380"	"6"	"15"	"36"	"0"	"6"	"7"	"4"	"10"	"22"	"1"	"2"	"3"	"6"	"5"	"34"	"5"	"10"	"1"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"20"	"8"	"0"	"227"	"227"	"1"	"0"
"10298"	"4"	"10"	"1"	"2"	"380"	"6"	"10"	"30"	"2"	"3"	"7"	"4"	"11"	"12"	"1"	"7"	"12"	"5"	"14"	"29"	"1"	"3"	"2"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"15"	"8"	"0"	"204"	"204"	"1"	"0"
"10299"	"4"	"10"	"1"	"2"	"201"	"6"	"2"	"11"	"1"	"1"	"8"	"0"	"1"	"4"	"0"	"2"	"1"	"3"	"8"	"5"	"1"	"7"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"73"	"11"	"6"	"0"	"90"	"90"	"1"	"0"
"10300"	"4"	"10"	"1"	"2"	"201"	"13"	"3"	"11"	"1"	"0"	"7"	"2"	"5"	"8"	"1"	"1"	"6"	"1"	"3"	"18"	"0"	"3"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"7"	"1"	"0"	"105"	"105"	"1"	"0"
"10301"	"4"	"10"	"1"	"2"	"401"	"60"	"31"	"52"	"2"	"4"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"4"	"2"	"21"	"4"	"2"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"22"	"9"	"0"	"244"	"244"	"1"	"2"
"10302"	"4"	"10"	"1"	"2"	"400"	"68"	"24"	"56"	"4"	"7"	"2"	"2"	"1"	"5"	"0"	"2"	"1"	"1"	"1"	"0"	"16"	"5"	"1"	"0"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"18"	"9"	"0"	"255"	"255"	"1"	"0"
"10303"	"4"	"10"	"1"	"2"	"398"	"68"	"21"	"46"	"3"	"1"	"6"	"3"	"3"	"5"	"0"	"1"	"1"	"1"	"5"	"4"	"23"	"3"	"2"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"4"	"0"	"239"	"239"	"1"	"2"
"10304"	"4"	"10"	"1"	"2"	"217"	"41"	"6"	"35"	"2"	"1"	"4"	"2"	"4"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"8"	"2"	"0"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"9"	"3"	"0"	"141"	"141"	"1"	"2"
"10305"	"4"	"10"	"1"	"2"	"218"	"38"	"15"	"22"	"2"	"1"	"4"	"2"	"4"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"16"	"8"	"2"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"2"	"1"	"0"	"138"	"138"	"1"	"1"
"10306"	"4"	"10"	"1"	"2"	"600"	"19"	"26"	"16"	"7"	"8"	"3"	"10"	"17"	"11"	"2"	"7"	"2"	"0"	"1"	"3"	"5"	"5"	"6"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"9"	"6"	"0"	"203"	"203"	"1"	"0"
"10307"	"4"	"10"	"1"	"2"	"600"	"30"	"28"	"15"	"3"	"13"	"4"	"9"	"19"	"19"	"2"	"1"	"1"	"5"	"6"	"7"	"8"	"14"	"10"	"4"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"13"	"5"	"0"	"241"	"241"	"1"	"0"
"10308"	"4"	"10"	"1"	"2"	"601"	"27"	"13"	"27"	"4"	"9"	"2"	"9"	"16"	"14"	"3"	"2"	"4"	"4"	"4"	"10"	"6"	"8"	"9"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"16"	"5"	"0"	"232"	"232"	"1"	"0"
"10309"	"4"	"10"	"1"	"2"	"600"	"13"	"20"	"26"	"5"	"9"	"3"	"7"	"14"	"10"	"1"	"0"	"2"	"4"	"4"	"2"	"4"	"14"	"5"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"5"	"0"	"189"	"189"	"1"	"0"
"10310"	"4"	"10"	"1"	"2"	"600"	"15"	"21"	"27"	"6"	"8"	"0"	"7"	"17"	"20"	"3"	"2"	"1"	"4"	"5"	"10"	"9"	"9"	"6"	"2"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"9"	"3"	"0"	"218"	"218"	"1"	"0"
"10311"	"4"	"10"	"1"	"2"	"0"	"17"	"29"	"20"	"4"	"12"	"6"	"8"	"13"	"18"	"0"	"0"	"0"	"5"	"4"	"6"	"6"	"11"	"5"	"5"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"5"	"0"	"224"	"224"	"1"	"0"
"10312"	"4"	"10"	"1"	"2"	"0"	"16"	"13"	"15"	"3"	"17"	"4"	"6"	"10"	"7"	"1"	"4"	"0"	"4"	"5"	"4"	"4"	"8"	"5"	"2"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"6"	"6"	"0"	"161"	"161"	"1"	"0"
"10313"	"4"	"10"	"1"	"2"	"419"	"3"	"7"	"7"	"0"	"2"	"3"	"2"	"4"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"1"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"48"	"3"	"0"	"0"	"51"	"51"	"1"	"0"
"10314"	"4"	"10"	"1"	"2"	"418"	"3"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"28"	"28"	"5"	"0"	"385"	"33"	"33"	"1"	"0"
