"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"UCN"	"SEMILLA"	"EG"	"CREO"	"UNIONISTA"	"PAN"	"PC"	"FCN_NACION"	"VALOR"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13650"	"4"	"13"	"12"	"2"	"396"	"63"	"62"	"12"	"10"	"1"	"13"	"1"	"0"	"8"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"27"	"3"	"0"	"213"	"213"	"1"	"0"
"13651"	"4"	"13"	"12"	"2"	"396"	"72"	"49"	"23"	"5"	"3"	"4"	"2"	"5"	"3"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"16"	"7"	"0"	"207"	"207"	"1"	"0"
"13652"	"4"	"13"	"12"	"2"	"396"	"78"	"53"	"22"	"12"	"3"	"2"	"0"	"1"	"3"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"21"	"2"	"0"	"215"	"215"	"1"	"0"
"13653"	"4"	"13"	"12"	"2"	"396"	"49"	"44"	"11"	"2"	"2"	"16"	"3"	"2"	"1"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"18"	"5"	"0"	"171"	"171"	"1"	"0"
"13654"	"4"	"13"	"12"	"2"	"396"	"44"	"54"	"15"	"2"	"0"	"9"	"1"	"2"	"1"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"25"	"10"	"0"	"174"	"174"	"1"	"0"
"13655"	"4"	"13"	"12"	"2"	"400"	"42"	"43"	"29"	"2"	"0"	"8"	"1"	"0"	"2"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"35"	"9"	"0"	"188"	"188"	"1"	"0"
"13656"	"4"	"13"	"12"	"2"	"396"	"73"	"42"	"17"	"8"	"2"	"16"	"6"	"4"	"8"	"43"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"15"	"0"	"253"	"253"	"1"	"0"
"13657"	"4"	"13"	"12"	"2"	"396"	"53"	"27"	"17"	"7"	"4"	"9"	"4"	"3"	"0"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"13"	"5"	"0"	"159"	"159"	"1"	"0"
"13658"	"4"	"13"	"12"	"2"	"396"	"55"	"33"	"8"	"3"	"1"	"7"	"1"	"4"	"1"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"4"	"3"	"0"	"140"	"140"	"1"	"0"
"13659"	"4"	"13"	"12"	"2"	"393"	"47"	"32"	"18"	"6"	"1"	"4"	"0"	"4"	"2"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"2"	"9"	"20"	"138"	"138"	"1"	"0"
"13660"	"4"	"13"	"12"	"2"	"396"	"74"	"29"	"9"	"5"	"1"	"12"	"3"	"1"	"0"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"20"	"8"	"0"	"179"	"179"	"1"	"0"
"13661"	"4"	"13"	"12"	"2"	"396"	"69"	"32"	"17"	"9"	"1"	"9"	"2"	"3"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"15"	"3"	"0"	"177"	"177"	"1"	"0"
"13662"	"4"	"13"	"12"	"2"	"396"	"48"	"39"	"21"	"7"	"2"	"9"	"1"	"2"	"0"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"13"	"8"	"0"	"162"	"162"	"1"	"0"
"13663"	"4"	"13"	"12"	"2"	"389"	"62"	"32"	"12"	"3"	"0"	"8"	"2"	"4"	"8"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"17"	"8"	"0"	"172"	"172"	"1"	"0"
"13664"	"4"	"13"	"12"	"2"	"396"	"73"	"29"	"18"	"12"	"0"	"6"	"3"	"3"	"2"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"7"	"4"	"0"	"172"	"172"	"1"	"0"
"13665"	"4"	"13"	"12"	"2"	"268"	"49"	"31"	"17"	"5"	"0"	"6"	"2"	"2"	"1"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"10"	"8"	"0"	"143"	"143"	"1"	"0"
"13666"	"4"	"13"	"12"	"2"	"267"	"32"	"17"	"8"	"5"	"2"	"2"	"3"	"2"	"0"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"84"	"9"	"1"	"0"	"94"	"94"	"1"	"0"
"13667"	"4"	"13"	"12"	"2"	"380"	"40"	"33"	"10"	"2"	"1"	"13"	"1"	"3"	"4"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"24"	"13"	"0"	"163"	"163"	"1"	"0"
"13668"	"4"	"13"	"12"	"2"	"380"	"40"	"46"	"14"	"6"	"1"	"15"	"2"	"3"	"4"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"13"	"12"	"0"	"170"	"170"	"1"	"0"
"13669"	"4"	"13"	"12"	"2"	"375"	"50"	"34"	"13"	"5"	"2"	"15"	"6"	"6"	"3"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"31"	"10"	"0"	"192"	"192"	"1"	"0"
"13670"	"4"	"13"	"12"	"2"	"376"	"28"	"48"	"11"	"4"	"0"	"14"	"4"	"0"	"0"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"131"	"23"	"10"	"0"	"165"	"164"	"0"	"0"
"13671"	"4"	"13"	"12"	"2"	"376"	"29"	"40"	"12"	"2"	"3"	"9"	"6"	"2"	"4"	"14"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"14"	"9"	"0"	"154"	"154"	"1"	"0"
"13672"	"4"	"13"	"12"	"2"	"376"	"52"	"38"	"5"	"3"	"2"	"15"	"4"	"1"	"0"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"8"	"12"	"0"	"161"	"161"	"1"	"0"
"13673"	"4"	"13"	"12"	"2"	"376"	"27"	"28"	"7"	"1"	"0"	"15"	"0"	"1"	"0"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"10"	"1"	"0"	"101"	"101"	"1"	"0"
"13674"	"4"	"13"	"12"	"2"	"373"	"33"	"22"	"10"	"3"	"1"	"16"	"3"	"1"	"1"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"18"	"2"	"0"	"132"	"132"	"1"	"0"
"13675"	"4"	"13"	"12"	"2"	"380"	"36"	"40"	"8"	"5"	"2"	"17"	"5"	"4"	"1"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"14"	"2"	"0"	"145"	"145"	"1"	"0"
"13676"	"4"	"13"	"12"	"2"	"380"	"31"	"31"	"15"	"6"	"1"	"19"	"3"	"7"	"3"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"11"	"6"	"0"	"147"	"147"	"1"	"0"
"13677"	"4"	"13"	"12"	"2"	"380"	"31"	"22"	"7"	"2"	"3"	"17"	"4"	"2"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"14"	"8"	"0"	"121"	"121"	"1"	"0"
"13678"	"4"	"13"	"12"	"1"	"208"	"22"	"20"	"2"	"2"	"0"	"19"	"2"	"0"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"3"	"4"	"0"	"83"	"83"	"1"	"0"
"13679"	"4"	"13"	"12"	"2"	"208"	"15"	"11"	"2"	"1"	"2"	"9"	"3"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"51"	"51"	"3"	"4"	"0"	"58"	"58"	"1"	"0"
"13680"	"4"	"13"	"12"	"2"	"376"	"14"	"56"	"7"	"5"	"7"	"5"	"1"	"0"	"4"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"16"	"2"	"0"	"126"	"126"	"1"	"0"
"13681"	"4"	"13"	"12"	"1"	"376"	"29"	"44"	"13"	"3"	"2"	"8"	"6"	"3"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"24"	"7"	"0"	"150"	"150"	"1"	"0"
"13682"	"4"	"13"	"12"	"1"	"376"	"22"	"56"	"10"	"6"	"1"	"15"	"5"	"3"	"1"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"7"	"11"	"0"	"151"	"151"	"1"	"0"
"13683"	"4"	"13"	"12"	"2"	"376"	"27"	"59"	"14"	"2"	"1"	"10"	"3"	"5"	"3"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"11"	"5"	"0"	"152"	"152"	"1"	"0"
"13684"	"4"	"13"	"12"	"1"	"380"	"23"	"50"	"10"	"3"	"2"	"17"	"2"	"1"	"4"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"10"	"6"	"0"	"144"	"144"	"1"	"0"
"13685"	"4"	"13"	"12"	"1"	"376"	"16"	"39"	"10"	"3"	"1"	"16"	"1"	"2"	"7"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"7"	"3"	"0"	"115"	"115"	"1"	"0"
"13686"	"4"	"13"	"12"	"2"	"376"	"21"	"47"	"7"	"3"	"0"	"11"	"1"	"2"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"8"	"3"	"0"	"113"	"113"	"1"	"0"
"13687"	"4"	"13"	"12"	"2"	"380"	"18"	"53"	"7"	"3"	"1"	"11"	"6"	"0"	"1"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"10"	"6"	"0"	"128"	"128"	"1"	"0"
"13688"	"4"	"13"	"12"	"2"	"351"	"14"	"29"	"9"	"2"	"1"	"12"	"1"	"2"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"18"	"5"	"0"	"99"	"99"	"1"	"0"
"13689"	"4"	"13"	"12"	"2"	"350"	"18"	"39"	"7"	"2"	"0"	"12"	"0"	"1"	"2"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"91"	"10"	"9"	"0"	"110"	"110"	"1"	"0"
"13690"	"4"	"13"	"12"	"1"	"376"	"31"	"48"	"12"	"11"	"0"	"1"	"2"	"2"	"2"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"16"	"4"	"0"	"143"	"143"	"1"	"0"
"13691"	"4"	"13"	"12"	"2"	"376"	"21"	"48"	"8"	"15"	"6"	"4"	"3"	"2"	"3"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"12"	"4"	"0"	"153"	"153"	"1"	"0"
"13692"	"4"	"13"	"12"	"2"	"375"	"27"	"37"	"7"	"10"	"0"	"4"	"1"	"1"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"12"	"0"	"0"	"110"	"110"	"1"	"0"
"13693"	"4"	"13"	"12"	"2"	"283"	"15"	"23"	"10"	"5"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"62"	"11"	"8"	"0"	"81"	"81"	"1"	"0"
"13694"	"4"	"13"	"12"	"2"	"282"	"21"	"22"	"7"	"6"	"1"	"1"	"0"	"2"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"3"	"6"	"2"	"77"	"77"	"1"	"0"
"13695"	"4"	"13"	"12"	"1"	"376"	"30"	"37"	"23"	"2"	"2"	"16"	"3"	"4"	"2"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"9"	"4"	"0"	"149"	"149"	"1"	"0"
"13696"	"4"	"13"	"12"	"1"	"380"	"36"	"26"	"20"	"1"	"0"	"4"	"4"	"3"	"0"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"12"	"7"	"0"	"131"	"131"	"1"	"0"
