"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"UCN"	"SEMILLA"	"EG"	"CREO"	"UNIONISTA"	"PAN"	"PC"	"FCN_NACION"	"VALOR"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13697"	"4"	"13"	"12"	"2"	"380"	"33"	"51"	"20"	"1"	"2"	"20"	"7"	"4"	"2"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"16"	"8"	"0"	"178"	"178"	"1"	"0"
"13698"	"4"	"13"	"12"	"1"	"376"	"29"	"62"	"35"	"2"	"0"	"17"	"5"	"7"	"2"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"18"	"14"	"0"	"210"	"210"	"1"	"0"
"13699"	"4"	"13"	"12"	"2"	"380"	"29"	"50"	"21"	"2"	"0"	"30"	"2"	"1"	"3"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"17"	"10"	"0"	"187"	"187"	"1"	"0"
"13700"	"4"	"13"	"12"	"2"	"376"	"36"	"40"	"10"	"4"	"2"	"26"	"0"	"4"	"4"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"10"	"6"	"1"	"164"	"164"	"1"	"0"
"13701"	"4"	"13"	"12"	"2"	"380"	"24"	"43"	"19"	"1"	"0"	"11"	"3"	"4"	"2"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"10"	"3"	"0"	"136"	"136"	"1"	"0"
"13702"	"4"	"13"	"12"	"1"	"376"	"27"	"30"	"14"	"4"	"0"	"10"	"3"	"3"	"5"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"10"	"3"	"0"	"125"	"125"	"1"	"0"
"13703"	"4"	"13"	"12"	"2"	"376"	"26"	"33"	"19"	"1"	"1"	"13"	"3"	"2"	"1"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"14"	"8"	"0"	"134"	"134"	"1"	"0"
"13704"	"4"	"13"	"12"	"2"	"289"	"22"	"39"	"11"	"0"	"0"	"9"	"0"	"0"	"3"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"4"	"7"	"0"	"110"	"110"	"1"	"0"
"13705"	"4"	"13"	"12"	"2"	"286"	"29"	"23"	"14"	"3"	"0"	"13"	"5"	"5"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"7"	"3"	"0"	"116"	"116"	"1"	"0"
"13706"	"4"	"13"	"12"	"1"	"598"	"38"	"36"	"20"	"4"	"1"	"8"	"2"	"3"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"6"	"12"	"0"	"142"	"142"	"1"	"0"
"13707"	"4"	"13"	"12"	"1"	"600"	"52"	"34"	"8"	"3"	"1"	"5"	"8"	"7"	"2"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"8"	"2"	"0"	"142"	"142"	"1"	"0"
"13708"	"4"	"13"	"12"	"1"	"431"	"32"	"20"	"9"	"1"	"1"	"3"	"3"	"2"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"6"	"7"	"0"	"95"	"95"	"1"	"0"
"13709"	"4"	"13"	"12"	"1"	"431"	"12"	"17"	"4"	"3"	"1"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"43"	"43"	"7"	"8"	"0"	"58"	"58"	"1"	"0"
