"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"UCN"	"VAMOS"	"VALOR"	"MLP"	"VIVA"	"WINAQ"	"SEMILLA"	"UNIDOS"	"FCN_NACION"	"UNIONISTA"	"AVANZA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20115"	"4"	"21"	"5"	"2"	"400"	"92"	"43"	"92"	"3"	"8"	"3"	"1"	"1"	"23"	"36"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"2"	"2"	"10"	"310"	"310"	"1"	"1"
"20116"	"4"	"21"	"5"	"2"	"0"	"60"	"70"	"97"	"3"	"12"	"2"	"4"	"0"	"3"	"35"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"22"	"10"	"0"	"329"	"328"	"0"	"1"
"20117"	"4"	"21"	"5"	"2"	"400"	"83"	"39"	"65"	"1"	"10"	"6"	"0"	"2"	"7"	"50"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"22"	"12"	"0"	"318"	"316"	"0"	"2"
"20118"	"4"	"21"	"5"	"2"	"400"	"90"	"61"	"83"	"1"	"11"	"4"	"0"	"1"	"6"	"34"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"8"	"4"	"0"	"309"	"309"	"1"	"0"
"20119"	"4"	"21"	"5"	"2"	"396"	"76"	"59"	"97"	"2"	"7"	"4"	"1"	"0"	"9"	"27"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"8"	"4"	"0"	"302"	"302"	"1"	"0"
"20120"	"4"	"21"	"5"	"2"	"0"	"41"	"28"	"47"	"1"	"4"	"3"	"1"	"0"	"4"	"23"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"4"	"2"	"0"	"165"	"165"	"1"	"0"
"20121"	"4"	"21"	"5"	"2"	"210"	"35"	"37"	"52"	"0"	"5"	"2"	"1"	"0"	"5"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"6"	"4"	"0"	"169"	"169"	"1"	"0"
"20122"	"4"	"21"	"5"	"2"	"0"	"88"	"93"	"111"	"2"	"1"	"11"	"7"	"0"	"1"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"320"	"10"	"3"	"0"	"334"	"333"	"0"	"0"
"20123"	"4"	"21"	"5"	"2"	"400"	"89"	"106"	"118"	"0"	"4"	"10"	"7"	"0"	"0"	"10"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"350"	"350"	"13"	"5"	"0"	"368"	"368"	"1"	"0"
"20124"	"4"	"21"	"5"	"2"	"400"	"99"	"94"	"122"	"1"	"2"	"15"	"2"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"6"	"3"	"0"	"350"	"350"	"1"	"0"
"20125"	"4"	"21"	"5"	"2"	"400"	"92"	"82"	"133"	"1"	"4"	"2"	"17"	"0"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"344"	"12"	"3"	"0"	"359"	"359"	"1"	"0"
"20126"	"4"	"21"	"5"	"2"	"0"	"79"	"85"	"145"	"3"	"1"	"6"	"4"	"0"	"3"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"5"	"0"	"0"	"346"	"346"	"1"	"1"
"20127"	"4"	"21"	"5"	"2"	"400"	"72"	"84"	"127"	"2"	"3"	"6"	"2"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"3"	"5"	"0"	"311"	"311"	"1"	"0"
"20128"	"4"	"21"	"5"	"2"	"354"	"67"	"69"	"123"	"2"	"1"	"13"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"0"	"2"	"0"	"288"	"288"	"1"	"0"
"20129"	"4"	"21"	"5"	"2"	"0"	"86"	"75"	"124"	"2"	"2"	"1"	"4"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"2"	"0"	"310"	"310"	"1"	"0"
"20130"	"4"	"21"	"5"	"2"	"253"	"25"	"24"	"35"	"2"	"9"	"2"	"2"	"2"	"5"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"7"	"4"	"0"	"131"	"131"	"1"	"0"
