"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"CREO"	"PHG"	"FUERZA"	"AVANZA"	"UCN"	"MLP"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7819"	"4"	"6"	"13"	"2"	"380"	"103"	"4"	"8"	"1"	"11"	"1"	"94"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"6"	"8"	"0"	"237"	"237"	"1"	"0"
"7820"	"4"	"6"	"13"	"2"	"380"	"87"	"6"	"14"	"3"	"10"	"1"	"90"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"16"	"9"	"0"	"237"	"237"	"1"	"0"
"7821"	"4"	"6"	"13"	"2"	"318"	"63"	"5"	"9"	"1"	"9"	"0"	"84"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"9"	"0"	"187"	"187"	"1"	"0"
"7822"	"4"	"6"	"13"	"2"	"317"	"78"	"12"	"14"	"0"	"14"	"0"	"105"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"0"	"4"	"0"	"229"	"229"	"1"	"0"
"7823"	"4"	"6"	"13"	"2"	"400"	"100"	"17"	"4"	"1"	"27"	"2"	"90"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"29"	"6"	"0"	"296"	"296"	"1"	"1"
"7824"	"4"	"6"	"13"	"2"	"376"	"98"	"12"	"7"	"2"	"19"	"0"	"115"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"23"	"3"	"0"	"298"	"298"	"1"	"0"
"7825"	"4"	"6"	"13"	"2"	"400"	"95"	"15"	"7"	"1"	"14"	"0"	"120"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"29"	"4"	"0"	"303"	"303"	"1"	"0"
"7826"	"4"	"6"	"13"	"2"	"376"	"97"	"20"	"6"	"1"	"18"	"1"	"110"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"24"	"14"	"0"	"317"	"317"	"1"	"0"
"7827"	"4"	"6"	"13"	"2"	"399"	"88"	"13"	"5"	"1"	"24"	"3"	"99"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"3"	"4"	"258"	"258"	"1"	"0"
"7828"	"4"	"6"	"13"	"2"	"376"	"87"	"16"	"1"	"0"	"27"	"0"	"86"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"10"	"6"	"0"	"253"	"253"	"1"	"0"
"7829"	"4"	"6"	"13"	"2"	"251"	"36"	"13"	"3"	"0"	"12"	"0"	"61"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"7"	"4"	"1"	"144"	"144"	"1"	"0"
"7830"	"4"	"6"	"13"	"2"	"251"	"56"	"21"	"3"	"0"	"14"	"1"	"80"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"4"	"0"	"0"	"191"	"191"	"1"	"0"
"7831"	"4"	"6"	"13"	"2"	"600"	"49"	"14"	"3"	"2"	"7"	"1"	"63"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"18"	"8"	"0"	"175"	"175"	"1"	"0"
"7832"	"4"	"6"	"13"	"2"	"308"	"22"	"5"	"3"	"3"	"3"	"1"	"25"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"71"	"2"	"4"	"0"	"77"	"77"	"1"	"0"
"7833"	"4"	"6"	"13"	"2"	"306"	"15"	"8"	"3"	"1"	"0"	"0"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"42"	"42"	"5"	"1"	"0"	"48"	"48"	"1"	"0"
