"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"TODOS"	"FCN_NACION"	"BIEN"	"AVANZA"	"EG"	"PAN"	"UNIDOS"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19504"	"4"	"20"	"5"	"2"	"374"	"0"	"17"	"37"	"141"	"71"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"13"	"11"	"0"	"301"	"301"	"1"	"0"
"19505"	"4"	"20"	"5"	"2"	"375"	"2"	"14"	"27"	"128"	"72"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"8"	"0"	"266"	"266"	"1"	"0"
"19506"	"4"	"20"	"5"	"2"	"375"	"4"	"15"	"22"	"140"	"60"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"10"	"0"	"267"	"267"	"1"	"0"
"19507"	"4"	"20"	"5"	"2"	"376"	"2"	"18"	"32"	"96"	"69"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"17"	"4"	"0"	"247"	"247"	"1"	"0"
"19508"	"4"	"20"	"5"	"2"	"374"	"4"	"33"	"35"	"76"	"81"	"9"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"18"	"12"	"0"	"271"	"271"	"1"	"0"
"19509"	"4"	"20"	"5"	"2"	"376"	"2"	"18"	"52"	"115"	"31"	"8"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"20"	"5"	"0"	"258"	"258"	"1"	"0"
"19510"	"4"	"20"	"5"	"2"	"376"	"0"	"21"	"52"	"136"	"41"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"26"	"8"	"0"	"291"	"291"	"1"	"0"
"19511"	"4"	"20"	"5"	"2"	"376"	"2"	"20"	"56"	"122"	"55"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"11"	"12"	"0"	"282"	"282"	"1"	"0"
"19512"	"4"	"20"	"5"	"2"	"376"	"3"	"25"	"47"	"106"	"66"	"6"	"4"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"20"	"8"	"0"	"291"	"291"	"1"	"0"
"19513"	"4"	"20"	"5"	"2"	"376"	"6"	"22"	"42"	"91"	"103"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"25"	"6"	"0"	"299"	"299"	"1"	"0"
"19514"	"4"	"20"	"5"	"1"	"375"	"2"	"21"	"30"	"109"	"50"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"10"	"3"	"0"	"232"	"232"	"1"	"0"
"19515"	"4"	"20"	"5"	"2"	"374"	"7"	"21"	"32"	"115"	"59"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"1"	"0"	"252"	"252"	"1"	"0"
"19516"	"4"	"20"	"5"	"2"	"376"	"1"	"20"	"38"	"99"	"50"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"10"	"0"	"239"	"239"	"1"	"0"
"19517"	"4"	"20"	"5"	"2"	"376"	"0"	"26"	"28"	"107"	"50"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"11"	"7"	"0"	"235"	"235"	"1"	"0"
"19518"	"4"	"20"	"5"	"2"	"380"	"0"	"23"	"33"	"126"	"57"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"6"	"0"	"257"	"257"	"1"	"0"
"19519"	"4"	"20"	"5"	"2"	"274"	"3"	"26"	"22"	"71"	"63"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"3"	"2"	"0"	"196"	"196"	"1"	"0"
"19520"	"4"	"20"	"5"	"2"	"274"	"1"	"19"	"25"	"92"	"28"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"7"	"2"	"0"	"178"	"178"	"1"	"0"
"19521"	"4"	"20"	"5"	"2"	"374"	"0"	"7"	"56"	"106"	"59"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"18"	"6"	"0"	"261"	"261"	"1"	"0"
"19522"	"4"	"20"	"5"	"2"	"376"	"0"	"11"	"69"	"110"	"79"	"6"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"1"	"2"	"296"	"294"	"0"	"0"
"19523"	"4"	"20"	"5"	"2"	"380"	"1"	"5"	"111"	"115"	"4"	"2"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"243"	"25"	"4"	"0"	"312"	"272"	"0"	"0"
"19524"	"4"	"20"	"5"	"2"	"380"	"3"	"11"	"77"	"104"	"56"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"19"	"8"	"0"	"284"	"284"	"1"	"0"
"19525"	"4"	"20"	"5"	"2"	"376"	"1"	"10"	"85"	"108"	"40"	"8"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"26"	"6"	"0"	"287"	"287"	"1"	"0"
"19526"	"4"	"20"	"5"	"2"	"376"	"0"	"7"	"76"	"97"	"62"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"41"	"7"	"0"	"300"	"300"	"1"	"0"
"19527"	"4"	"20"	"5"	"2"	"373"	"1"	"10"	"76"	"100"	"62"	"14"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"16"	"7"	"0"	"288"	"288"	"1"	"0"
"19528"	"4"	"20"	"5"	"2"	"375"	"0"	"10"	"80"	"114"	"66"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"6"	"0"	"0"	"281"	"281"	"1"	"2"
"19529"	"4"	"20"	"5"	"1"	"377"	"0"	"5"	"55"	"98"	"33"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"7"	"6"	"0"	"218"	"218"	"1"	"0"
"19530"	"4"	"20"	"5"	"1"	"376"	"4"	"10"	"68"	"94"	"51"	"9"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"19"	"4"	"0"	"260"	"260"	"1"	"0"
"19531"	"4"	"20"	"5"	"1"	"376"	"0"	"11"	"63"	"99"	"36"	"6"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"14"	"6"	"0"	"238"	"238"	"1"	"0"
"19532"	"4"	"20"	"5"	"1"	"376"	"0"	"12"	"65"	"105"	"44"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"12"	"5"	"0"	"246"	"246"	"1"	"0"
"19533"	"4"	"20"	"5"	"2"	"373"	"0"	"9"	"67"	"95"	"48"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"4"	"7"	"0"	"235"	"235"	"1"	"0"
"19534"	"4"	"20"	"5"	"2"	"370"	"0"	"4"	"85"	"92"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"7"	"3"	"0"	"216"	"216"	"1"	"0"
