"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VAMOS"	"PHG"	"CREO"	"BIEN"	"ELCA"	"VALOR"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6231"	"4"	"4"	"8"	"2"	"380"	"11"	"134"	"48"	"3"	"6"	"9"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"4"	"0"	"260"	"260"	"1"	"1"
"6232"	"4"	"4"	"8"	"2"	"376"	"8"	"149"	"64"	"2"	"4"	"14"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"15"	"6"	"0"	"293"	"293"	"1"	"0"
"6233"	"4"	"4"	"8"	"2"	"380"	"9"	"145"	"48"	"3"	"6"	"8"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"2"	"0"	"257"	"257"	"1"	"0"
"6234"	"4"	"4"	"8"	"2"	"376"	"5"	"122"	"56"	"7"	"3"	"15"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"5"	"3"	"0"	"243"	"243"	"1"	"0"
"6235"	"4"	"4"	"8"	"2"	"382"	"9"	"123"	"46"	"6"	"2"	"10"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"0"	"0"	"237"	"237"	"1"	"0"
"6236"	"4"	"4"	"8"	"2"	"380"	"7"	"126"	"49"	"2"	"4"	"6"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"12"	"5"	"0"	"236"	"236"	"1"	"0"
"6237"	"4"	"4"	"8"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6238"	"4"	"4"	"8"	"2"	"246"	"4"	"80"	"28"	"2"	"5"	"10"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"4"	"2"	"0"	"160"	"160"	"1"	"0"
"6239"	"4"	"4"	"8"	"2"	"246"	"8"	"98"	"25"	"1"	"0"	"2"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"2"	"0"	"0"	"171"	"171"	"1"	"0"
"6240"	"4"	"4"	"8"	"2"	"376"	"4"	"37"	"99"	"6"	"4"	"32"	"72"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"1"	"0"	"271"	"271"	"1"	"0"
"6241"	"4"	"4"	"8"	"2"	"380"	"2"	"31"	"100"	"8"	"11"	"27"	"73"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"15"	"0"	"0"	"270"	"270"	"1"	"0"
"6242"	"4"	"4"	"8"	"2"	"380"	"18"	"43"	"98"	"6"	"2"	"10"	"96"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"10"	"6"	"0"	"294"	"294"	"1"	"0"
"6243"	"4"	"4"	"8"	"2"	"380"	"12"	"47"	"88"	"9"	"4"	"4"	"115"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"14"	"3"	"1"	"300"	"300"	"1"	"0"
"6244"	"4"	"4"	"8"	"2"	"376"	"8"	"31"	"96"	"7"	"2"	"12"	"74"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"0"	"0"	"243"	"243"	"1"	"0"
"6245"	"4"	"4"	"8"	"2"	"380"	"8"	"38"	"85"	"14"	"4"	"16"	"62"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"14"	"4"	"0"	"248"	"248"	"1"	"0"
"6246"	"4"	"4"	"8"	"2"	"380"	"6"	"38"	"86"	"10"	"4"	"19"	"67"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"12"	"2"	"0"	"248"	"248"	"1"	"0"
"6247"	"4"	"4"	"8"	"2"	"210"	"6"	"16"	"60"	"7"	"2"	"11"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"3"	"2"	"0"	"141"	"141"	"1"	"0"
"6248"	"4"	"4"	"8"	"2"	"209"	"3"	"17"	"54"	"5"	"2"	"5"	"60"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"0"	"3"	"0"	"151"	"151"	"1"	"0"
"6249"	"4"	"4"	"8"	"2"	"331"	"6"	"14"	"30"	"2"	"7"	"22"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"6"	"5"	"1"	"98"	"98"	"1"	"0"
"6250"	"4"	"4"	"8"	"2"	"331"	"2"	"9"	"19"	"2"	"2"	"16"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"54"	"1"	"0"	"0"	"55"	"55"	"1"	"0"
