"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"UNE"	"PHG"	"UCN"	"SEMILLA"	"UNIONISTA"	"LIBRE"	"CREO"	"FCN_NACION"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10940"	"4"	"10"	"21"	"2"	"398"	"17"	"17"	"22"	"65"	"54"	"72"	"1"	"1"	"14"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"19"	"5"	"0"	"293"	"293"	"1"	"0"
"10941"	"4"	"10"	"21"	"2"	"400"	"16"	"21"	"28"	"47"	"59"	"69"	"1"	"2"	"8"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"27"	"5"	"0"	"298"	"298"	"1"	"0"
"10942"	"4"	"10"	"21"	"2"	"400"	"10"	"4"	"20"	"54"	"69"	"94"	"1"	"9"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"21"	"6"	"0"	"304"	"304"	"1"	"0"
"10943"	"4"	"10"	"21"	"2"	"400"	"7"	"6"	"22"	"51"	"82"	"79"	"1"	"3"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"25"	"10"	"0"	"295"	"295"	"1"	"0"
"10944"	"4"	"10"	"21"	"2"	"400"	"12"	"8"	"28"	"33"	"76"	"68"	"1"	"2"	"4"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"21"	"4"	"0"	"271"	"271"	"1"	"0"
"10945"	"4"	"10"	"21"	"2"	"398"	"10"	"10"	"18"	"44"	"44"	"63"	"0"	"3"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"7"	"1"	"0"	"211"	"211"	"1"	"0"
"10946"	"4"	"10"	"21"	"2"	"398"	"12"	"16"	"27"	"48"	"47"	"62"	"0"	"0"	"10"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"27"	"3"	"0"	"257"	"257"	"1"	"0"
"10947"	"4"	"10"	"21"	"2"	"400"	"12"	"11"	"23"	"55"	"48"	"75"	"3"	"1"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"24"	"3"	"0"	"268"	"268"	"1"	"0"
"10948"	"4"	"10"	"21"	"2"	"400"	"16"	"10"	"21"	"71"	"50"	"61"	"1"	"2"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"24"	"6"	"0"	"271"	"271"	"1"	"0"
"10949"	"4"	"10"	"21"	"2"	"400"	"7"	"6"	"17"	"38"	"63"	"68"	"1"	"1"	"2"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"19"	"3"	"0"	"237"	"237"	"1"	"0"
