"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VALOR"	"UCN"	"CREO"	"FCN_NACION"	"LIBRE"	"MLP"	"SEMILLA"	"BIEN"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18457"	"4"	"18"	"2"	"2"	"400"	"10"	"46"	"0"	"82"	"25"	"1"	"6"	"10"	"0"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"20"	"6"	"0"	"270"	"270"	"1"	"0"
"18458"	"4"	"18"	"2"	"2"	"400"	"12"	"46"	"1"	"66"	"14"	"0"	"5"	"8"	"1"	"61"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"25"	"2"	"0"	"251"	"251"	"1"	"0"
"18459"	"4"	"18"	"2"	"2"	"394"	"9"	"45"	"1"	"74"	"27"	"0"	"4"	"5"	"5"	"70"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"2"	"0"	"251"	"251"	"1"	"0"
"18460"	"4"	"18"	"2"	"2"	"397"	"7"	"43"	"1"	"70"	"21"	"0"	"11"	"10"	"1"	"69"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"15"	"4"	"0"	"258"	"258"	"1"	"0"
"18461"	"4"	"18"	"2"	"2"	"400"	"5"	"47"	"3"	"62"	"27"	"0"	"7"	"8"	"2"	"65"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"23"	"6"	"0"	"260"	"260"	"1"	"0"
"18462"	"4"	"18"	"2"	"2"	"396"	"5"	"40"	"2"	"60"	"18"	"2"	"8"	"5"	"1"	"74"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"19"	"5"	"0"	"245"	"245"	"1"	"0"
"18463"	"4"	"18"	"2"	"2"	"394"	"3"	"40"	"4"	"69"	"24"	"1"	"3"	"9"	"0"	"50"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"22"	"1"	"0"	"234"	"234"	"1"	"0"
"18464"	"4"	"18"	"2"	"2"	"396"	"6"	"34"	"0"	"65"	"22"	"2"	"9"	"5"	"0"	"73"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"0"	"9"	"10"	"228"	"228"	"1"	"0"
"18465"	"4"	"18"	"2"	"2"	"400"	"6"	"46"	"2"	"80"	"19"	"0"	"4"	"5"	"1"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"5"	"5"	"0"	"220"	"220"	"1"	"0"
"18466"	"4"	"18"	"2"	"2"	"234"	"3"	"19"	"0"	"42"	"15"	"0"	"6"	"3"	"0"	"61"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"4"	"0"	"0"	"156"	"156"	"1"	"1"
"18467"	"4"	"18"	"2"	"2"	"236"	"5"	"29"	"0"	"43"	"10"	"0"	"2"	"3"	"3"	"27"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"7"	"2"	"0"	"134"	"134"	"1"	"0"
"18468"	"4"	"18"	"2"	"2"	"373"	"6"	"38"	"1"	"59"	"15"	"1"	"7"	"9"	"0"	"77"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"18"	"8"	"1"	"244"	"244"	"1"	"0"
"18469"	"4"	"18"	"2"	"2"	"373"	"7"	"36"	"0"	"37"	"18"	"3"	"5"	"11"	"0"	"95"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"26"	"5"	"0"	"245"	"245"	"1"	"0"
"18470"	"4"	"18"	"2"	"2"	"245"	"6"	"33"	"4"	"61"	"16"	"1"	"3"	"5"	"2"	"74"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"17"	"8"	"0"	"239"	"239"	"1"	"0"
"18471"	"4"	"18"	"2"	"2"	"376"	"8"	"39"	"0"	"72"	"24"	"0"	"5"	"8"	"0"	"76"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"19"	"5"	"0"	"263"	"263"	"1"	"0"
"18472"	"4"	"18"	"2"	"2"	"380"	"7"	"54"	"2"	"76"	"19"	"1"	"3"	"5"	"1"	"73"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"20"	"2"	"0"	"267"	"267"	"1"	"0"
"18473"	"4"	"18"	"2"	"2"	"376"	"6"	"35"	"1"	"53"	"17"	"1"	"7"	"8"	"1"	"78"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"10"	"156"	"0"	"376"	"376"	"1"	"0"
"18474"	"4"	"18"	"2"	"2"	"380"	"8"	"35"	"6"	"67"	"5"	"1"	"10"	"11"	"1"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"4"	"0"	"228"	"228"	"1"	"1"
"18475"	"4"	"18"	"2"	"2"	"234"	"3"	"34"	"4"	"52"	"27"	"0"	"8"	"4"	"3"	"74"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"14"	"2"	"0"	"234"	"234"	"1"	"0"
"18476"	"4"	"18"	"2"	"2"	"380"	"4"	"25"	"1"	"52"	"14"	"3"	"5"	"11"	"0"	"89"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"19"	"7"	"0"	"240"	"240"	"1"	"0"
"18477"	"4"	"18"	"2"	"2"	"380"	"3"	"27"	"0"	"42"	"16"	"0"	"6"	"8"	"0"	"97"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"14"	"3"	"0"	"219"	"219"	"1"	"0"
"18478"	"4"	"18"	"2"	"2"	"380"	"9"	"30"	"2"	"60"	"11"	"0"	"3"	"7"	"0"	"70"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"8"	"7"	"0"	"213"	"213"	"1"	"2"
"18479"	"4"	"18"	"2"	"2"	"376"	"8"	"32"	"1"	"50"	"19"	"0"	"4"	"8"	"1"	"88"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"8"	"1"	"0"	"227"	"227"	"1"	"0"
"18480"	"4"	"18"	"2"	"2"	"261"	"7"	"23"	"1"	"49"	"16"	"0"	"2"	"2"	"1"	"71"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"2"	"0"	"180"	"180"	"1"	"0"
"18481"	"4"	"18"	"2"	"2"	"261"	"2"	"24"	"3"	"29"	"16"	"0"	"3"	"4"	"3"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"4"	"3"	"0"	"139"	"139"	"1"	"0"
"18482"	"4"	"18"	"2"	"2"	"376"	"4"	"42"	"0"	"93"	"14"	"0"	"3"	"19"	"0"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"0"	"4"	"13"	"214"	"214"	"1"	"0"
"18483"	"4"	"18"	"2"	"2"	"380"	"0"	"39"	"0"	"85"	"12"	"2"	"3"	"26"	"1"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"14"	"13"	"0"	"239"	"239"	"1"	"0"
"18484"	"4"	"18"	"2"	"2"	"380"	"5"	"62"	"1"	"80"	"10"	"1"	"2"	"22"	"0"	"40"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"7"	"5"	"0"	"238"	"238"	"1"	"0"
"18485"	"4"	"18"	"2"	"2"	"380"	"4"	"54"	"0"	"91"	"14"	"1"	"3"	"20"	"0"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"20"	"4"	"0"	"251"	"251"	"1"	"0"
