"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UCN"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"UNE"	"LIBRE"	"VIVA"	"VICTORIA"	"PPT"	"EG"	"TODOS"	"SEMILLA"	"MLP"	"PC"	"PHG"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6810"	"4"	"5"	"6"	"2"	"376"	"2"	"141"	"2"	"7"	"6"	"16"	"0"	"3"	"2"	"9"	"7"	"3"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"9"	"4"	"13"	"229"	"229"	"1"	"0"
"6811"	"4"	"5"	"6"	"2"	"381"	"5"	"154"	"4"	"8"	"4"	"21"	"4"	"3"	"5"	"8"	"2"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"22"	"6"	"0"	"253"	"253"	"1"	"0"
"6812"	"4"	"5"	"6"	"2"	"376"	"1"	"148"	"3"	"8"	"2"	"41"	"1"	"3"	"5"	"2"	"4"	"3"	"5"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"12"	"1"	"130"	"246"	"246"	"1"	"0"
"6813"	"4"	"5"	"6"	"2"	"380"	"4"	"149"	"4"	"5"	"3"	"25"	"0"	"3"	"5"	"5"	"5"	"1"	"6"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"10"	"4"	"0"	"236"	"236"	"1"	"0"
"6814"	"4"	"5"	"6"	"2"	"376"	"3"	"137"	"3"	"6"	"2"	"21"	"0"	"1"	"7"	"2"	"1"	"1"	"2"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"24"	"10"	"0"	"227"	"227"	"1"	"0"
"6815"	"4"	"5"	"6"	"2"	"274"	"1"	"124"	"2"	"5"	"2"	"14"	"3"	"4"	"2"	"4"	"5"	"1"	"10"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"8"	"3"	"0"	"194"	"194"	"1"	"0"
"6816"	"4"	"5"	"6"	"2"	"274"	"1"	"117"	"2"	"4"	"3"	"23"	"0"	"2"	"1"	"3"	"5"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"3"	"4"	"0"	"174"	"174"	"1"	"0"
"6817"	"4"	"5"	"6"	"2"	"395"	"5"	"40"	"15"	"3"	"17"	"39"	"1"	"12"	"26"	"0"	"14"	"6"	"9"	"15"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"18"	"2"	"0"	"255"	"255"	"1"	"0"
"6818"	"4"	"5"	"6"	"2"	"396"	"10"	"36"	"11"	"2"	"26"	"39"	"2"	"23"	"34"	"1"	"10"	"4"	"10"	"13"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"17"	"2"	"0"	"275"	"275"	"1"	"0"
"6819"	"4"	"5"	"6"	"2"	"396"	"13"	"36"	"6"	"3"	"27"	"32"	"1"	"18"	"31"	"0"	"9"	"8"	"13"	"5"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"8"	"0"	"252"	"252"	"1"	"0"
"6820"	"4"	"5"	"6"	"2"	"249"	"6"	"17"	"8"	"1"	"16"	"25"	"0"	"10"	"17"	"5"	"9"	"1"	"4"	"3"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"10"	"2"	"0"	"156"	"156"	"1"	"0"
"6821"	"4"	"5"	"6"	"2"	"250"	"8"	"15"	"12"	"2"	"11"	"23"	"1"	"4"	"25"	"1"	"3"	"2"	"19"	"1"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"13"	"1"	"0"	"173"	"173"	"1"	"0"
"6822"	"4"	"5"	"6"	"2"	"600"	"25"	"55"	"9"	"1"	"13"	"20"	"2"	"8"	"9"	"3"	"22"	"4"	"10"	"3"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"10"	"6"	"0"	"216"	"216"	"1"	"0"
"6823"	"4"	"5"	"6"	"2"	"600"	"31"	"54"	"9"	"4"	"12"	"23"	"3"	"13"	"32"	"2"	"17"	"5"	"14"	"8"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"14"	"7"	"0"	"266"	"266"	"1"	"0"
"6824"	"4"	"5"	"6"	"2"	"600"	"22"	"39"	"10"	"2"	"13"	"18"	"1"	"16"	"16"	"1"	"20"	"4"	"9"	"7"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"21"	"7"	"0"	"231"	"231"	"1"	"0"
"6825"	"4"	"5"	"6"	"2"	"593"	"31"	"43"	"14"	"2"	"8"	"22"	"1"	"18"	"18"	"3"	"24"	"7"	"15"	"3"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"8"	"3"	"0"	"242"	"242"	"1"	"0"
"6826"	"4"	"5"	"6"	"2"	"593"	"29"	"47"	"12"	"3"	"7"	"24"	"3"	"12"	"20"	"3"	"23"	"10"	"14"	"5"	"23"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"9"	"3"	"0"	"254"	"254"	"1"	"0"
"6827"	"4"	"5"	"6"	"2"	"599"	"20"	"42"	"14"	"3"	"10"	"26"	"2"	"9"	"16"	"1"	"15"	"4"	"9"	"4"	"22"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"2"	"0"	"211"	"211"	"1"	"0"
"6828"	"4"	"5"	"6"	"2"	"600"	"13"	"23"	"8"	"2"	"7"	"20"	"1"	"7"	"8"	"0"	"11"	"5"	"6"	"2"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"7"	"2"	"0"	"136"	"136"	"1"	"0"
"6829"	"4"	"5"	"6"	"2"	"366"	"5"	"14"	"1"	"0"	"2"	"2"	"2"	"2"	"1"	"0"	"4"	"1"	"4"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"4"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"45"	"45"	"1"	"1"	"0"	"47"	"47"	"1"	"0"
"6830"	"4"	"5"	"6"	"2"	"368"	"2"	"5"	"3"	"0"	"3"	"2"	"1"	"2"	"3"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"30"	"30"	"4"	"0"	"0"	"34"	"34"	"1"	"0"
