"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UCN"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"UNE"	"LIBRE"	"VIVA"	"VICTORIA"	"PPT"	"EG"	"TODOS"	"SEMILLA"	"MLP"	"PC"	"PHG"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6787"	"4"	"5"	"6"	"2"	"385"	"45"	"51"	"13"	"0"	"9"	"28"	"0"	"18"	"26"	"1"	"27"	"9"	"23"	"1"	"36"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"6"	"1"	"0"	"301"	"301"	"1"	"0"
"6788"	"4"	"5"	"6"	"2"	"400"	"42"	"42"	"19"	"5"	"11"	"24"	"1"	"28"	"24"	"0"	"27"	"6"	"18"	"0"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"1"	"0"	"0"	"290"	"285"	"0"	"0"
"6789"	"4"	"5"	"6"	"2"	"338"	"23"	"39"	"10"	"2"	"10"	"36"	"0"	"21"	"18"	"2"	"14"	"8"	"12"	"3"	"25"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"3"	"0"	"234"	"234"	"1"	"1"
"6790"	"4"	"5"	"6"	"2"	"337"	"15"	"25"	"8"	"3"	"9"	"41"	"2"	"9"	"11"	"0"	"9"	"2"	"12"	"1"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"6"	"1"	"0"	"177"	"177"	"1"	"0"
"6791"	"4"	"5"	"6"	"2"	"380"	"7"	"45"	"7"	"10"	"9"	"27"	"2"	"8"	"40"	"1"	"18"	"3"	"2"	"2"	"15"	"1"	"0"	"0"	"0"	"0"	"18"	"3"	"2"	"2"	"15"	"1"	"0"	"0"	"0"	"0"	"197"	"197"	"24"	"6"	"0"	"227"	"227"	"1"	"0"
"6792"	"4"	"5"	"6"	"2"	"376"	"14"	"37"	"20"	"0"	"7"	"32"	"2"	"9"	"53"	"0"	"26"	"4"	"7"	"4"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"3"	"0"	"245"	"245"	"1"	"0"
"6793"	"4"	"5"	"6"	"2"	"376"	"19"	"52"	"14"	"0"	"5"	"22"	"0"	"9"	"50"	"0"	"12"	"2"	"6"	"9"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"13"	"5"	"0"	"231"	"231"	"1"	"0"
"6794"	"4"	"5"	"6"	"2"	"380"	"16"	"53"	"10"	"0"	"14"	"25"	"4"	"14"	"54"	"1"	"13"	"1"	"6"	"10"	"12"	"3"	"0"	"0"	"0"	"0"	"13"	"1"	"6"	"10"	"12"	"3"	"0"	"0"	"0"	"0"	"236"	"236"	"23"	"4"	"0"	"263"	"263"	"1"	"0"
"6795"	"4"	"5"	"6"	"2"	"213"	"6"	"29"	"6"	"1"	"4"	"21"	"1"	"5"	"21"	"1"	"5"	"0"	"0"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"111"	"111"	"8"	"4"	"0"	"123"	"123"	"1"	"0"
"6796"	"4"	"5"	"6"	"2"	"313"	"19"	"23"	"8"	"0"	"7"	"20"	"1"	"3"	"35"	"0"	"10"	"2"	"2"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"4"	"0"	"0"	"142"	"142"	"1"	"0"
