"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"COCERNA"	"COCIECH"	"URNG_MAIZ"	"PHG"	"BIEN"	"COCIEAR"	"PODEMOS"	"UNIDOS"	"VAMOS"	"MLP"	"FCN_NACION"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15870"	"4"	"15"	"3"	"1"	"379"	"23"	"7"	"83"	"1"	"4"	"4"	"27"	"9"	"0"	"16"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"48"	"6"	"0"	"235"	"235"	"1"	"0"
"15871"	"4"	"15"	"3"	"2"	"216"	"8"	"5"	"27"	"0"	"2"	"2"	"20"	"0"	"0"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"8"	"0"	"0"	"80"	"80"	"1"	"0"
"15872"	"4"	"15"	"3"	"1"	"215"	"8"	"2"	"39"	"0"	"0"	"1"	"20"	"1"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	"80"	"5"	"1"	"0"	"86"	"86"	"1"	"0"
"15873"	"4"	"15"	"3"	"2"	"380"	"5"	"9"	"93"	"3"	"4"	"2"	"32"	"0"	"0"	"23"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"32"	"2"	"0"	"209"	"209"	"1"	"0"
"15874"	"4"	"15"	"3"	"2"	"376"	"20"	"10"	"94"	"2"	"1"	"1"	"63"	"2"	"3"	"32"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"35"	"3"	"0"	"272"	"272"	"1"	"0"
"15875"	"4"	"15"	"3"	"2"	"377"	"11"	"10"	"90"	"0"	"5"	"5"	"57"	"5"	"1"	"46"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"34"	"4"	"0"	"279"	"279"	"1"	"0"
"15876"	"4"	"15"	"3"	"2"	"374"	"14"	"10"	"66"	"2"	"4"	"10"	"47"	"1"	"1"	"43"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"32"	"7"	"0"	"247"	"247"	"1"	"0"
"15877"	"4"	"15"	"3"	"2"	"263"	"5"	"12"	"33"	"1"	"3"	"2"	"27"	"2"	"0"	"27"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"8"	"1"	"0"	"126"	"126"	"1"	"0"
"15878"	"4"	"15"	"3"	"2"	"263"	"10"	"7"	"48"	"5"	"2"	"2"	"23"	"0"	"1"	"24"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"1"	"2"	"0"	"130"	"130"	"1"	"0"
"15879"	"4"	"15"	"3"	"1"	"380"	"13"	"11"	"22"	"7"	"4"	"0"	"70"	"2"	"12"	"48"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"29"	"1"	"0"	"224"	"224"	"1"	"0"
