"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"VAMOS"	"PC"	"FUERZA"	"CREO"	"VALOR"	"PPT"	"VICTORIA"	"PODEMOS"	"MLP"	"UCN"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16492"	"4"	"16"	"4"	"2"	"400"	"105"	"45"	"7"	"111"	"2"	"1"	"8"	"0"	"0"	"3"	"4"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"3"	"0"	"0"	"303"	"303"	"1"	"0"
"16493"	"4"	"16"	"4"	"2"	"400"	"120"	"24"	"13"	"95"	"3"	"2"	"11"	"0"	"3"	"1"	"1"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"10"	"1"	"0"	"298"	"298"	"1"	"0"
"16494"	"4"	"16"	"4"	"2"	"400"	"109"	"34"	"11"	"96"	"3"	"1"	"9"	"0"	"2"	"4"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"8"	"0"	"297"	"297"	"1"	"1"
"16495"	"4"	"16"	"4"	"2"	"400"	"134"	"23"	"13"	"77"	"4"	"2"	"7"	"3"	"3"	"4"	"5"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"2"	"0"	"295"	"295"	"1"	"2"
"16496"	"4"	"16"	"4"	"2"	"403"	"133"	"28"	"12"	"98"	"0"	"2"	"11"	"0"	"0"	"10"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"13"	"5"	"0"	"319"	"319"	"1"	"0"
"16497"	"4"	"16"	"4"	"2"	"400"	"121"	"36"	"16"	"84"	"5"	"1"	"10"	"1"	"3"	"9"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"8"	"1"	"0"	"301"	"301"	"1"	"0"
"16498"	"4"	"16"	"4"	"2"	"400"	"120"	"13"	"11"	"80"	"5"	"1"	"13"	"1"	"3"	"1"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"8"	"1"	"1"	"274"	"274"	"1"	"1"
"16499"	"4"	"16"	"4"	"2"	"400"	"105"	"35"	"8"	"100"	"1"	"0"	"6"	"0"	"0"	"5"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"4"	"0"	"287"	"287"	"1"	"0"
"16500"	"4"	"16"	"4"	"2"	"400"	"124"	"33"	"4"	"88"	"1"	"1"	"11"	"0"	"1"	"4"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"1"	"0"	"290"	"290"	"1"	"0"
"16501"	"4"	"16"	"4"	"2"	"392"	"125"	"30"	"6"	"113"	"2"	"1"	"11"	"0"	"2"	"4"	"4"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"4"	"0"	"0"	"319"	"319"	"1"	"0"
