"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"PAN"	"UNE"	"FUERZA"	"UNIONISTA"	"CREO"	"ALUX_SOMOS_SAN_LUCAS"	"AVANZA"	"VICTORIA"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4942"	"4"	"2"	"8"	"2"	"396"	"25"	"15"	"37"	"12"	"63"	"19"	"7"	"59"	"48"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"18"	"1"	"0"	"308"	"308"	"1"	"0"
"4943"	"4"	"2"	"8"	"2"	"0"	"34"	"20"	"32"	"10"	"70"	"13"	"3"	"64"	"41"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"9"	"2"	"0"	"302"	"302"	"1"	"0"
"4944"	"4"	"2"	"8"	"2"	"400"	"26"	"22"	"38"	"7"	"50"	"20"	"3"	"59"	"49"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"16"	"5"	"2"	"297"	"297"	"1"	"0"
"4945"	"4"	"2"	"8"	"2"	"396"	"33"	"23"	"32"	"9"	"55"	"17"	"4"	"57"	"32"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"3"	"107"	"289"	"289"	"1"	"0"
"4946"	"4"	"2"	"8"	"2"	"401"	"30"	"19"	"32"	"11"	"60"	"15"	"6"	"77"	"39"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"13"	"0"	"0"	"303"	"303"	"1"	"0"
"4947"	"4"	"2"	"8"	"2"	"400"	"30"	"30"	"22"	"9"	"51"	"13"	"6"	"75"	"33"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"8"	"5"	"0"	"286"	"286"	"1"	"0"
"4948"	"4"	"2"	"8"	"2"	"400"	"22"	"13"	"31"	"5"	"73"	"17"	"8"	"55"	"36"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"0"	"0"	"274"	"274"	"1"	"0"
"4949"	"4"	"2"	"8"	"2"	"398"	"21"	"16"	"29"	"10"	"55"	"24"	"10"	"54"	"33"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"1"	"0"	"264"	"264"	"1"	"0"
"4950"	"4"	"2"	"8"	"2"	"396"	"33"	"15"	"26"	"10"	"85"	"14"	"12"	"60"	"41"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"9"	"1"	"0"	"315"	"315"	"1"	"0"
"4951"	"4"	"2"	"8"	"2"	"398"	"26"	"32"	"31"	"12"	"63"	"21"	"14"	"60"	"41"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"4"	"3"	"0"	"312"	"312"	"1"	"0"
"4952"	"4"	"2"	"8"	"2"	"400"	"36"	"19"	"24"	"14"	"63"	"11"	"5"	"64"	"68"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"13"	"2"	"0"	"326"	"326"	"1"	"1"
"4953"	"4"	"2"	"8"	"2"	"339"	"35"	"12"	"23"	"12"	"59"	"12"	"6"	"69"	"30"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"4"	"0"	"0"	"267"	"267"	"1"	"1"
"4954"	"4"	"2"	"8"	"2"	"338"	"24"	"4"	"16"	"13"	"32"	"12"	"12"	"43"	"23"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"5"	"0"	"0"	"187"	"187"	"1"	"0"
"4955"	"4"	"2"	"8"	"2"	"376"	"21"	"42"	"13"	"4"	"68"	"14"	"3"	"56"	"36"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"9"	"7"	"0"	"276"	"276"	"1"	"0"
"4956"	"4"	"2"	"8"	"2"	"376"	"14"	"34"	"10"	"7"	"110"	"10"	"2"	"50"	"30"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"11"	"4"	"0"	"286"	"286"	"1"	"0"
"4957"	"4"	"2"	"8"	"2"	"380"	"32"	"31"	"18"	"10"	"62"	"7"	"3"	"43"	"46"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"1"	"0"	"264"	"264"	"1"	"1"
"4958"	"4"	"2"	"8"	"2"	"218"	"9"	"24"	"8"	"6"	"34"	"8"	"4"	"36"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"6"	"2"	"0"	"155"	"155"	"1"	"0"
"4959"	"4"	"2"	"8"	"2"	"218"	"19"	"21"	"11"	"7"	"40"	"8"	"1"	"36"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"3"	"0"	"0"	"168"	"168"	"1"	"0"
"4960"	"4"	"2"	"8"	"2"	"600"	"22"	"23"	"36"	"12"	"98"	"23"	"12"	"39"	"34"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"13"	"0"	"0"	"320"	"320"	"1"	"0"
"4961"	"4"	"2"	"8"	"2"	"435"	"15"	"14"	"32"	"2"	"72"	"19"	"10"	"45"	"22"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"3"	"0"	"250"	"250"	"1"	"0"
"4962"	"4"	"2"	"8"	"2"	"436"	"19"	"20"	"21"	"5"	"61"	"12"	"6"	"33"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"6"	"4"	"0"	"205"	"205"	"1"	"0"
