"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UCN"	"TODOS"	"UNE"	"EG"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19561"	"4"	"20"	"6"	"2"	"398"	"59"	"51"	"67"	"55"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"1"	"0"	"254"	"254"	"1"	"0"
"19562"	"4"	"20"	"6"	"2"	"398"	"67"	"62"	"61"	"48"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"5"	"3"	"0"	"258"	"258"	"1"	"0"
"19563"	"4"	"20"	"6"	"2"	"400"	"68"	"63"	"70"	"50"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"6"	"1"	"1"	"269"	"269"	"1"	"0"
"19564"	"4"	"20"	"6"	"2"	"400"	"83"	"69"	"72"	"49"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"3"	"2"	"0"	"295"	"295"	"1"	"0"
"19565"	"4"	"20"	"6"	"2"	"400"	"69"	"93"	"75"	"60"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"2"	"3"	"0"	"318"	"318"	"1"	"0"
"19566"	"4"	"20"	"6"	"2"	"246"	"61"	"48"	"44"	"29"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"5"	"2"	"0"	"197"	"197"	"1"	"0"
"19567"	"4"	"20"	"6"	"2"	"245"	"39"	"38"	"41"	"29"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"4"	"3"	"0"	"163"	"163"	"1"	"0"
"19568"	"4"	"20"	"6"	"2"	"380"	"29"	"38"	"48"	"131"	"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"1"	"0"	"286"	"286"	"1"	"0"
"19569"	"4"	"20"	"6"	"2"	"378"	"67"	"44"	"56"	"25"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"21"	"7"	"0"	"236"	"236"	"1"	"0"
"19570"	"4"	"20"	"6"	"2"	"379"	"65"	"42"	"56"	"42"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"19"	"3"	"0"	"248"	"248"	"1"	"0"
"19571"	"4"	"20"	"6"	"2"	"380"	"36"	"49"	"73"	"47"	"44"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"7"	"1"	"271"	"271"	"1"	"1"
"19572"	"4"	"20"	"6"	"2"	"378"	"67"	"44"	"57"	"42"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"22"	"2"	"0"	"293"	"293"	"1"	"0"
"19573"	"4"	"20"	"6"	"2"	"380"	"48"	"49"	"51"	"28"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"17"	"3"	"0"	"228"	"228"	"1"	"0"
"19574"	"4"	"20"	"6"	"2"	"380"	"48"	"50"	"58"	"46"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"11"	"5"	"0"	"242"	"242"	"1"	"0"
"19575"	"4"	"20"	"6"	"2"	"223"	"26"	"38"	"37"	"12"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"4"	"1"	"0"	"138"	"138"	"1"	"0"
"19576"	"4"	"20"	"6"	"2"	"222"	"27"	"29"	"45"	"30"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"5"	"0"	"0"	"147"	"147"	"1"	"0"
"19577"	"4"	"20"	"6"	"2"	"380"	"96"	"75"	"49"	"47"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"20"	"5"	"0"	"312"	"312"	"1"	"0"
"19578"	"4"	"20"	"6"	"2"	"380"	"83"	"63"	"46"	"74"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"14"	"4"	"0"	"309"	"309"	"1"	"0"
"19579"	"4"	"20"	"6"	"2"	"376"	"100"	"73"	"51"	"30"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"10"	"8"	"0"	"298"	"298"	"1"	"0"
"19580"	"4"	"20"	"6"	"2"	"376"	"81"	"84"	"54"	"18"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"6"	"0"	"273"	"273"	"1"	"0"
"19581"	"4"	"20"	"6"	"2"	"335"	"87"	"53"	"48"	"37"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"5"	"4"	"0"	"246"	"246"	"1"	"0"
"19582"	"4"	"20"	"6"	"2"	"335"	"89"	"76"	"63"	"41"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"6"	"5"	"0"	"284"	"284"	"1"	"0"
