"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"FCN_NACION"	"VAMOS"	"TODOS"	"FUERZA"	"UNE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12782"	"4"	"12"	"26"	"2"	"310"	"132"	"64"	"53"	"20"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"287"	"19"	"7"	"0"	"306"	"313"	"0"	"3"
"12783"	"4"	"12"	"26"	"2"	"380"	"148"	"41"	"33"	"10"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"255"	"23"	"6"	"0"	"276"	"284"	"0"	"1"
"12784"	"4"	"12"	"26"	"2"	"380"	"199"	"78"	"35"	"7"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"339"	"26"	"8"	"0"	"293"	"373"	"0"	"0"
"12785"	"4"	"12"	"26"	"2"	"0"	"198"	"52"	"26"	"7"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"296"	"1"	"4"	"0"	"211"	"301"	"0"	"0"
"12786"	"4"	"12"	"26"	"2"	"380"	"88"	"47"	"26"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"7"	"3"	"10"	"183"	"183"	"1"	"0"
"12787"	"4"	"12"	"26"	"2"	"239"	"88"	"34"	"16"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"153"	"2"	"2"	"0"	"124"	"157"	"0"	"0"
"12788"	"4"	"12"	"26"	"2"	"239"	"59"	"42"	"18"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"127"	"2"	"3"	"0"	"127"	"132"	"0"	"0"
"12789"	"4"	"12"	"26"	"1"	"268"	"94"	"36"	"7"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"4"	"1"	"0"	"160"	"160"	"1"	"0"
"12790"	"4"	"12"	"26"	"2"	"380"	"103"	"135"	"9"	"6"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"19"	"9"	"28"	"299"	"299"	"1"	"0"
"12791"	"4"	"12"	"26"	"2"	"380"	"111"	"132"	"4"	"6"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"21"	"10"	"1"	"305"	"305"	"1"	"0"
"12792"	"4"	"12"	"26"	"2"	"245"	"65"	"76"	"4"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"2"	"5"	"0"	"163"	"163"	"1"	"0"
"12793"	"4"	"12"	"26"	"2"	"241"	"50"	"70"	"7"	"5"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"2"	"1"	"0"	"143"	"143"	"1"	"1"
"12794"	"4"	"12"	"26"	"1"	"208"	"41"	"33"	"12"	"6"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"9"	"3"	"0"	"122"	"122"	"1"	"0"
"12795"	"4"	"12"	"26"	"2"	"207"	"45"	"29"	"13"	"13"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"4"	"3"	"0"	"124"	"124"	"1"	"1"
"12796"	"4"	"12"	"26"	"1"	"403"	"45"	"46"	"14"	"6"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"8"	"5"	"0"	"137"	"137"	"1"	"0"
