"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FUERZA"	"NUEVO_AMANECER_SUMPANGO"	"CCSS"	"PC"	"VAMOS"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4825"	"4"	"2"	"4"	"2"	"400"	"7"	"22"	"24"	"53"	"59"	"56"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"3"	"0"	"240"	"240"	"1"	"0"
"4826"	"4"	"2"	"4"	"2"	"400"	"8"	"22"	"24"	"44"	"69"	"45"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"13"	"6"	"0"	"253"	"253"	"1"	"0"
"4827"	"4"	"2"	"4"	"2"	"256"	"6"	"23"	"12"	"59"	"79"	"52"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"5"	"3"	"0"	"256"	"256"	"1"	"0"
"4828"	"4"	"2"	"4"	"2"	"400"	"2"	"20"	"19"	"79"	"69"	"50"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"8"	"0"	"0"	"261"	"261"	"1"	"0"
"4829"	"4"	"2"	"4"	"2"	"400"	"4"	"12"	"11"	"66"	"86"	"57"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"5"	"4"	"0"	"254"	"254"	"1"	"0"
"4830"	"4"	"2"	"4"	"2"	"400"	"5"	"18"	"14"	"74"	"73"	"59"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"5"	"2"	"0"	"261"	"261"	"1"	"0"
"4831"	"4"	"2"	"4"	"2"	"400"	"10"	"20"	"7"	"75"	"60"	"62"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"7"	"5"	"0"	"265"	"265"	"1"	"0"
"4832"	"4"	"2"	"4"	"2"	"400"	"4"	"6"	"19"	"61"	"74"	"32"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"14"	"8"	"0"	"233"	"233"	"1"	"0"
"4833"	"4"	"2"	"4"	"2"	"400"	"4"	"19"	"16"	"55"	"80"	"56"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"7"	"0"	"252"	"252"	"1"	"0"
"4834"	"4"	"2"	"4"	"2"	"400"	"12"	"10"	"13"	"61"	"52"	"56"	"13"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"3"	"2"	"0"	"232"	"232"	"1"	"0"
