"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"TODOS"	"UNE"	"UNIDOS"	"FCN_NACION"	"VAMOS"	"VALOR"	"EG"	"SEMILLA"	"PHG"	"UNIONISTA"	"BIEN"	"PC"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19140"	"4"	"19"	"9"	"2"	"400"	"44"	"21"	"35"	"3"	"78"	"51"	"1"	"4"	"8"	"22"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"35"	"3"	"0"	"329"	"329"	"1"	"0"
"19141"	"4"	"19"	"9"	"2"	"380"	"84"	"9"	"29"	"0"	"81"	"45"	"0"	"4"	"5"	"26"	"25"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"26"	"7"	"0"	"344"	"344"	"1"	"0"
"19142"	"4"	"19"	"9"	"2"	"400"	"38"	"18"	"18"	"3"	"50"	"52"	"0"	"6"	"10"	"26"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"6"	"0"	"261"	"261"	"1"	"0"
"19143"	"4"	"19"	"9"	"2"	"380"	"30"	"16"	"23"	"0"	"69"	"53"	"0"	"1"	"6"	"24"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"17"	"4"	"0"	"262"	"262"	"1"	"0"
"19144"	"4"	"19"	"9"	"2"	"380"	"38"	"14"	"17"	"2"	"73"	"48"	"1"	"0"	"4"	"0"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"216"	"18"	"4"	"0"	"259"	"238"	"0"	"0"
"19145"	"4"	"19"	"9"	"2"	"354"	"36"	"27"	"24"	"2"	"67"	"47"	"1"	"4"	"9"	"23"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"7"	"2"	"0"	"266"	"266"	"1"	"0"
"19146"	"4"	"19"	"9"	"2"	"350"	"36"	"27"	"17"	"1"	"65"	"52"	"0"	"2"	"6"	"19"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"13"	"3"	"0"	"250"	"250"	"1"	"0"
"19147"	"4"	"19"	"9"	"2"	"380"	"54"	"11"	"25"	"4"	"38"	"26"	"4"	"1"	"22"	"34"	"21"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"34"	"4"	"0"	"283"	"283"	"1"	"0"
"19148"	"4"	"19"	"9"	"2"	"380"	"68"	"9"	"23"	"2"	"73"	"44"	"2"	"4"	"14"	"21"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"19"	"1"	"0"	"309"	"309"	"1"	"0"
"19149"	"4"	"19"	"9"	"2"	"377"	"82"	"27"	"24"	"4"	"70"	"58"	"0"	"6"	"4"	"22"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"11"	"3"	"0"	"322"	"322"	"1"	"0"
"19150"	"4"	"19"	"9"	"2"	"380"	"70"	"9"	"19"	"2"	"66"	"39"	"0"	"5"	"13"	"19"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"5"	"0"	"274"	"274"	"1"	"0"
"19151"	"4"	"19"	"9"	"2"	"330"	"50"	"7"	"13"	"4"	"70"	"28"	"3"	"3"	"21"	"17"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"21"	"3"	"0"	"249"	"249"	"1"	"0"
"19152"	"4"	"19"	"9"	"2"	"330"	"49"	"5"	"16"	"0"	"71"	"53"	"0"	"6"	"16"	"18"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"6"	"8"	"0"	"267"	"267"	"1"	"0"
"19153"	"4"	"19"	"9"	"2"	"317"	"18"	"10"	"6"	"2"	"8"	"26"	"0"	"1"	"4"	"17"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"8"	"5"	"0"	"111"	"111"	"1"	"0"
"19154"	"4"	"19"	"9"	"2"	"316"	"8"	"4"	"9"	"1"	"6"	"11"	"2"	"2"	"2"	"10"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"3"	"1"	"0"	"65"	"65"	"1"	"0"
