"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CRECER"	"URNG_MAIZ"	"FUERZA"	"VALOR"	"UNE"	"VIVA"	"PPT"	"HUGO"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"CREO"	"VICTORIA"	"PHG"	"MLP"	"SEMILLA"	"PODEMOS"	"AL_CAMBIO"	"AVANZA"	"PC"	"UCN"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9923"	"4"	"9"	"20"	"2"	"400"	"28"	"2"	"9"	"21"	"39"	"46"	"0"	"49"	"3"	"15"	"0"	"3"	"2"	"4"	"0"	"3"	"2"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"3"	"0"	"251"	"251"	"1"	"0"
"9924"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"5"	"22"	"29"	"40"	"1"	"41"	"6"	"14"	"0"	"1"	"1"	"4"	"1"	"7"	"0"	"8"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"9"	"1"	"0"	"219"	"219"	"1"	"0"
"9925"	"4"	"9"	"20"	"2"	"400"	"25"	"2"	"3"	"23"	"26"	"51"	"3"	"49"	"3"	"15"	"1"	"2"	"0"	"4"	"0"	"1"	"0"	"3"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"3"	"0"	"0"	"220"	"220"	"1"	"0"
"9926"	"4"	"9"	"20"	"2"	"346"	"30"	"1"	"4"	"29"	"28"	"59"	"2"	"46"	"5"	"12"	"1"	"1"	"2"	"3"	"2"	"1"	"0"	"5"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"2"	"2"	"0"	"241"	"241"	"1"	"0"
"9927"	"4"	"9"	"20"	"2"	"345"	"26"	"2"	"0"	"28"	"21"	"35"	"0"	"43"	"2"	"9"	"0"	"1"	"1"	"2"	"0"	"4"	"1"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"0"	"0"	"0"	"186"	"186"	"1"	"0"
"9928"	"4"	"9"	"20"	"2"	"400"	"33"	"2"	"10"	"19"	"30"	"45"	"3"	"42"	"1"	"20"	"0"	"3"	"4"	"8"	"0"	"2"	"1"	"6"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"4"	"0"	"251"	"251"	"1"	"0"
"9929"	"4"	"9"	"20"	"2"	"400"	"27"	"2"	"4"	"26"	"35"	"38"	"4"	"48"	"5"	"13"	"3"	"3"	"2"	"6"	"3"	"4"	"2"	"6"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"25"	"134"	"0"	"400"	"400"	"1"	"0"
"9930"	"4"	"9"	"20"	"2"	"400"	"35"	"0"	"4"	"12"	"24"	"68"	"0"	"58"	"2"	"17"	"1"	"5"	"3"	"4"	"2"	"3"	"3"	"7"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"8"	"4"	"0"	"265"	"265"	"1"	"0"
"9931"	"4"	"9"	"20"	"2"	"400"	"32"	"4"	"4"	"17"	"33"	"61"	"2"	"57"	"7"	"9"	"0"	"3"	"2"	"2"	"1"	"4"	"2"	"4"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"9"	"2"	"0"	"263"	"263"	"1"	"0"
"9932"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"8"	"20"	"29"	"62"	"0"	"54"	"2"	"9"	"2"	"5"	"0"	"2"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"2"	"0"	"235"	"235"	"1"	"0"
"9933"	"4"	"9"	"20"	"2"	"400"	"25"	"2"	"3"	"25"	"37"	"62"	"0"	"43"	"4"	"13"	"0"	"1"	"2"	"4"	"2"	"0"	"1"	"5"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"8"	"0"	"256"	"256"	"1"	"0"
"9934"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"6"	"25"	"27"	"77"	"0"	"47"	"3"	"12"	"1"	"2"	"2"	"4"	"1"	"1"	"2"	"3"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"12"	"2"	"0"	"259"	"259"	"1"	"0"
"9935"	"4"	"9"	"20"	"2"	"400"	"17"	"4"	"1"	"29"	"41"	"61"	"0"	"40"	"7"	"13"	"1"	"9"	"3"	"1"	"1"	"2"	"1"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"18"	"6"	"0"	"263"	"263"	"1"	"0"
"9936"	"4"	"9"	"20"	"2"	"400"	"17"	"3"	"6"	"17"	"42"	"33"	"1"	"30"	"4"	"19"	"0"	"3"	"2"	"4"	"1"	"3"	"2"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"9"	"0"	"0"	"211"	"211"	"1"	"0"
"9937"	"4"	"9"	"20"	"2"	"400"	"12"	"0"	"1"	"11"	"24"	"41"	"1"	"28"	"2"	"9"	"0"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"2"	"2"	"0"	"145"	"145"	"1"	"0"
"9938"	"4"	"9"	"20"	"2"	"203"	"15"	"0"	"4"	"10"	"12"	"25"	"1"	"26"	"3"	"9"	"0"	"3"	"3"	"1"	"0"	"3"	"1"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"2"	"0"	"0"	"125"	"125"	"1"	"0"
"9939"	"4"	"9"	"20"	"2"	"400"	"21"	"1"	"5"	"23"	"26"	"38"	"2"	"29"	"13"	"15"	"0"	"6"	"2"	"7"	"2"	"2"	"0"	"7"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"14"	"2"	"0"	"224"	"224"	"1"	"0"
"9940"	"4"	"9"	"20"	"2"	"400"	"20"	"4"	"7"	"28"	"33"	"31"	"3"	"31"	"6"	"18"	"0"	"3"	"0"	"3"	"3"	"9"	"1"	"2"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"17"	"175"	"0"	"400"	"400"	"1"	"0"
"9941"	"4"	"9"	"20"	"2"	"403"	"18"	"4"	"0"	"30"	"56"	"46"	"0"	"51"	"6"	"13"	"0"	"3"	"4"	"6"	"2"	"2"	"4"	"7"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"2"	"0"	"271"	"271"	"1"	"0"
"9942"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"5"	"23"	"35"	"36"	"1"	"39"	"3"	"16"	"0"	"1"	"1"	"3"	"0"	"2"	"2"	"4"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"12"	"3"	"0"	"217"	"217"	"1"	"0"
"9943"	"4"	"9"	"20"	"2"	"400"	"31"	"1"	"3"	"23"	"30"	"43"	"1"	"30"	"4"	"15"	"0"	"3"	"0"	"4"	"0"	"3"	"1"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"7"	"1"	"8"	"207"	"207"	"1"	"0"
"9944"	"4"	"9"	"20"	"2"	"400"	"14"	"2"	"7"	"22"	"46"	"47"	"0"	"22"	"6"	"13"	"0"	"1"	"1"	"4"	"0"	"4"	"3"	"4"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"9"	"4"	"0"	"214"	"214"	"1"	"1"
"9945"	"4"	"9"	"20"	"2"	"400"	"25"	"2"	"5"	"24"	"40"	"37"	"1"	"37"	"5"	"17"	"0"	"1"	"1"	"3"	"4"	"6"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"214"	"9"	"2"	"0"	"231"	"225"	"0"	"0"
"9946"	"4"	"9"	"20"	"2"	"398"	"27"	"2"	"5"	"16"	"59"	"47"	"2"	"37"	"4"	"15"	"2"	"4"	"1"	"3"	"1"	"7"	"1"	"4"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"246"	"7"	"4"	"0"	"240"	"257"	"0"	"0"
"9947"	"4"	"9"	"20"	"2"	"400"	"21"	"4"	"5"	"23"	"39"	"27"	"1"	"22"	"4"	"18"	"0"	"5"	"0"	"2"	"3"	"2"	"1"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"7"	"1"	"0"	"193"	"193"	"1"	"0"
"9948"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"7"	"22"	"33"	"36"	"1"	"29"	"5"	"14"	"0"	"4"	"0"	"4"	"3"	"8"	"1"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"10"	"6"	"0"	"214"	"214"	"1"	"0"
"9949"	"4"	"9"	"20"	"2"	"209"	"11"	"1"	"4"	"11"	"21"	"29"	"0"	"15"	"2"	"13"	"0"	"2"	"0"	"1"	"0"	"2"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"1"	"0"	"0"	"121"	"121"	"1"	"0"
"9950"	"4"	"9"	"20"	"2"	"208"	"14"	"1"	"4"	"10"	"12"	"23"	"0"	"18"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"8"	"1"	"0"	"107"	"107"	"1"	"0"
"9951"	"4"	"9"	"20"	"2"	"400"	"21"	"2"	"7"	"10"	"54"	"46"	"0"	"37"	"2"	"10"	"0"	"4"	"2"	"4"	"1"	"2"	"4"	"4"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"5"	"0"	"233"	"233"	"1"	"0"
"9952"	"4"	"9"	"20"	"2"	"400"	"15"	"0"	"8"	"23"	"65"	"32"	"0"	"43"	"5"	"12"	"1"	"7"	"0"	"3"	"0"	"2"	"2"	"4"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"17"	"5"	"0"	"254"	"254"	"1"	"0"
"9953"	"4"	"9"	"20"	"2"	"400"	"19"	"4"	"8"	"10"	"29"	"50"	"2"	"58"	"6"	"12"	"0"	"4"	"1"	"9"	"0"	"4"	"1"	"0"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"227"	"14"	"6"	"0"	"249"	"247"	"0"	"0"
"9954"	"4"	"9"	"20"	"2"	"400"	"33"	"4"	"7"	"15"	"36"	"52"	"1"	"37"	"8"	"12"	"0"	"4"	"3"	"5"	"0"	"1"	"6"	"6"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"12"	"4"	"0"	"255"	"255"	"1"	"0"
"9955"	"4"	"9"	"20"	"2"	"400"	"23"	"1"	"10"	"21"	"40"	"57"	"5"	"51"	"2"	"22"	"0"	"2"	"3"	"7"	"2"	"2"	"1"	"4"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"13"	"1"	"0"	"277"	"277"	"1"	"0"
"9956"	"4"	"9"	"20"	"2"	"402"	"30"	"3"	"7"	"8"	"48"	"48"	"2"	"46"	"3"	"22"	"0"	"3"	"1"	"3"	"1"	"0"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"5"	"1"	"0"	"240"	"240"	"1"	"0"
"9957"	"4"	"9"	"20"	"2"	"400"	"19"	"2"	"7"	"24"	"43"	"51"	"1"	"38"	"4"	"14"	"0"	"5"	"4"	"7"	"0"	"5"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"227"	"9"	"7"	"0"	"248"	"243"	"0"	"0"
"9958"	"4"	"9"	"20"	"2"	"400"	"22"	"1"	"4"	"18"	"43"	"49"	"0"	"39"	"6"	"19"	"2"	"5"	"0"	"7"	"2"	"3"	"3"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"4"	"0"	"251"	"251"	"1"	"0"
"9959"	"4"	"9"	"20"	"2"	"400"	"25"	"6"	"7"	"11"	"43"	"45"	"1"	"41"	"3"	"11"	"2"	"3"	"0"	"6"	"1"	"4"	"2"	"8"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"9"	"2"	"0"	"236"	"236"	"1"	"0"
"9960"	"4"	"9"	"20"	"2"	"400"	"26"	"2"	"6"	"13"	"50"	"44"	"1"	"39"	"2"	"24"	"0"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"11"	"4"	"0"	"240"	"240"	"1"	"0"
"9961"	"4"	"9"	"20"	"2"	"400"	"19"	"4"	"8"	"16"	"46"	"45"	"2"	"33"	"0"	"23"	"0"	"2"	"3"	"3"	"5"	"4"	"2"	"2"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"15"	"9"	"0"	"248"	"248"	"1"	"0"
"9962"	"4"	"9"	"20"	"2"	"400"	"18"	"2"	"7"	"16"	"46"	"27"	"1"	"27"	"5"	"10"	"0"	"2"	"1"	"5"	"1"	"2"	"2"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"5"	"199"	"201"	"201"	"1"	"0"
"9963"	"4"	"9"	"20"	"2"	"331"	"23"	"2"	"7"	"16"	"27"	"29"	"1"	"29"	"4"	"21"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"9"	"2"	"0"	"185"	"185"	"1"	"0"
"9964"	"4"	"9"	"20"	"2"	"331"	"25"	"2"	"6"	"14"	"38"	"31"	"0"	"38"	"1"	"12"	"1"	"3"	"2"	"4"	"2"	"1"	"1"	"4"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"5"	"2"	"0"	"200"	"200"	"1"	"0"
"9965"	"4"	"9"	"20"	"2"	"400"	"41"	"7"	"4"	"24"	"48"	"26"	"2"	"29"	"4"	"14"	"0"	"7"	"2"	"1"	"2"	"2"	"1"	"3"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"23"	"7"	"0"	"255"	"255"	"1"	"0"
"9966"	"4"	"9"	"20"	"2"	"400"	"39"	"4"	"2"	"19"	"49"	"34"	"2"	"35"	"5"	"16"	"0"	"2"	"1"	"4"	"2"	"3"	"1"	"5"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"20"	"4"	"146"	"254"	"253"	"0"	"0"
"9967"	"4"	"9"	"20"	"2"	"246"	"32"	"4"	"3"	"15"	"37"	"47"	"1"	"37"	"6"	"23"	"0"	"6"	"1"	"0"	"1"	"5"	"0"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"15"	"7"	"0"	"246"	"246"	"1"	"0"
"9968"	"4"	"9"	"20"	"2"	"400"	"30"	"6"	"6"	"22"	"32"	"41"	"1"	"31"	"7"	"10"	"0"	"1"	"3"	"0"	"4"	"3"	"2"	"3"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"3"	"0"	"227"	"227"	"1"	"0"
"9969"	"4"	"9"	"20"	"2"	"400"	"22"	"3"	"0"	"23"	"52"	"38"	"1"	"31"	"1"	"18"	"0"	"4"	"0"	"1"	"0"	"5"	"1"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"15"	"6"	"0"	"233"	"233"	"1"	"0"
"9970"	"4"	"9"	"20"	"2"	"196"	"18"	"3"	"1"	"18"	"29"	"32"	"0"	"24"	"6"	"22"	"1"	"4"	"1"	"3"	"2"	"1"	"0"	"5"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"15"	"6"	"0"	"196"	"196"	"1"	"0"
"9971"	"4"	"9"	"20"	"2"	"314"	"17"	"1"	"2"	"9"	"25"	"11"	"0"	"22"	"2"	"16"	"0"	"3"	"2"	"0"	"1"	"5"	"0"	"6"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"16"	"1"	"0"	"144"	"144"	"1"	"0"
"9972"	"4"	"9"	"20"	"2"	"314"	"19"	"0"	"2"	"22"	"15"	"28"	"0"	"26"	"5"	"15"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"6"	"8"	"0"	"159"	"155"	"0"	"0"
"9973"	"4"	"9"	"20"	"2"	"387"	"33"	"6"	"0"	"26"	"11"	"17"	"14"	"17"	"2"	"25"	"0"	"1"	"0"	"3"	"2"	"2"	"1"	"1"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"11"	"6"	"0"	"194"	"194"	"1"	"0"
"9974"	"4"	"9"	"20"	"2"	"380"	"21"	"9"	"6"	"16"	"20"	"11"	"21"	"25"	"2"	"22"	"0"	"1"	"1"	"4"	"3"	"3"	"0"	"1"	"13"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"26"	"6"	"0"	"213"	"213"	"1"	"0"
"9975"	"4"	"9"	"20"	"2"	"380"	"22"	"4"	"1"	"22"	"17"	"13"	"7"	"27"	"3"	"14"	"1"	"2"	"1"	"7"	"1"	"1"	"1"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"25"	"12"	"0"	"190"	"190"	"1"	"0"
"9976"	"4"	"9"	"20"	"2"	"380"	"15"	"6"	"5"	"23"	"19"	"14"	"16"	"19"	"1"	"23"	"0"	"0"	"1"	"4"	"3"	"3"	"1"	"0"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"18"	"2"	"0"	"183"	"183"	"1"	"0"
"9977"	"4"	"9"	"20"	"2"	"377"	"18"	"13"	"1"	"23"	"19"	"12"	"17"	"12"	"1"	"29"	"0"	"3"	"2"	"6"	"2"	"3"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"26"	"4"	"0"	"200"	"200"	"1"	"0"
"9978"	"4"	"9"	"20"	"2"	"380"	"22"	"10"	"4"	"23"	"21"	"30"	"11"	"28"	"2"	"13"	"1"	"3"	"1"	"3"	"2"	"0"	"0"	"0"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"12"	"6"	"0"	"210"	"208"	"0"	"2"
"9979"	"4"	"9"	"20"	"2"	"380"	"32"	"9"	"5"	"23"	"9"	"19"	"15"	"20"	"1"	"16"	"0"	"2"	"2"	"4"	"0"	"1"	"1"	"0"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"10"	"3"	"0"	"180"	"180"	"1"	"0"
"9980"	"4"	"9"	"20"	"2"	"377"	"28"	"5"	"3"	"25"	"18"	"21"	"7"	"13"	"4"	"12"	"0"	"4"	"0"	"2"	"0"	"1"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"16"	"4"	"0"	"175"	"175"	"1"	"0"
"9981"	"4"	"9"	"20"	"2"	"377"	"21"	"5"	"2"	"23"	"17"	"15"	"15"	"14"	"3"	"9"	"0"	"3"	"2"	"6"	"1"	"1"	"0"	"0"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"150"	"21"	"10"	"0"	"182"	"181"	"0"	"0"
"9982"	"4"	"9"	"20"	"2"	"380"	"23"	"9"	"1"	"15"	"17"	"22"	"11"	"14"	"1"	"24"	"1"	"3"	"2"	"4"	"0"	"2"	"2"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"9"	"4"	"0"	"175"	"175"	"1"	"0"
"9983"	"4"	"9"	"20"	"2"	"380"	"24"	"3"	"1"	"13"	"17"	"24"	"9"	"17"	"1"	"23"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"12"	"2"	"0"	"156"	"156"	"1"	"0"
"9984"	"4"	"9"	"20"	"2"	"198"	"17"	"6"	"0"	"14"	"5"	"9"	"3"	"10"	"0"	"7"	"0"	"7"	"1"	"3"	"0"	"1"	"1"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"3"	"1"	"0"	"96"	"96"	"1"	"0"
"9985"	"4"	"9"	"20"	"2"	"200"	"12"	"3"	"2"	"9"	"10"	"7"	"6"	"12"	"3"	"7"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"1"	"3"	"0"	"91"	"91"	"1"	"0"
"9986"	"4"	"9"	"20"	"2"	"380"	"6"	"8"	"4"	"38"	"33"	"8"	"2"	"19"	"18"	"9"	"0"	"2"	"0"	"3"	"3"	"1"	"1"	"3"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"18"	"8"	"0"	"191"	"191"	"1"	"0"
"9987"	"4"	"9"	"20"	"2"	"380"	"16"	"21"	"9"	"35"	"37"	"3"	"1"	"14"	"7"	"14"	"0"	"0"	"1"	"4"	"1"	"2"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"172"	"17"	"7"	"0"	"196"	"196"	"0"	"0"
"9988"	"4"	"9"	"20"	"2"	"380"	"13"	"9"	"10"	"32"	"27"	"11"	"1"	"14"	"11"	"19"	"0"	"5"	"1"	"5"	"0"	"4"	"1"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"13"	"17"	"0"	"202"	"202"	"1"	"0"
"9989"	"4"	"9"	"20"	"2"	"380"	"9"	"6"	"9"	"28"	"35"	"8"	"1"	"17"	"15"	"18"	"2"	"2"	"1"	"5"	"1"	"4"	"0"	"1"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"173"	"19"	"2"	"0"	"199"	"194"	"0"	"0"
"9990"	"4"	"9"	"20"	"2"	"380"	"22"	"5"	"12"	"39"	"25"	"12"	"1"	"19"	"11"	"11"	"1"	"2"	"2"	"16"	"2"	"3"	"1"	"2"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"16"	"5"	"0"	"219"	"219"	"1"	"0"
"9991"	"4"	"9"	"20"	"2"	"381"	"21"	"3"	"11"	"45"	"30"	"10"	"3"	"28"	"20"	"5"	"0"	"5"	"2"	"10"	"0"	"5"	"3"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"9"	"6"	"0"	"226"	"226"	"1"	"0"
"9992"	"4"	"9"	"20"	"2"	"380"	"22"	"7"	"7"	"29"	"36"	"11"	"0"	"14"	"13"	"13"	"0"	"1"	"1"	"5"	"0"	"0"	"0"	"1"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"10"	"5"	"0"	"186"	"186"	"1"	"0"
"9993"	"4"	"9"	"20"	"2"	"378"	"17"	"9"	"7"	"26"	"37"	"11"	"1"	"27"	"15"	"10"	"1"	"1"	"3"	"10"	"3"	"2"	"2"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"192"	"13"	"4"	"0"	"209"	"209"	"0"	"0"
"9994"	"4"	"9"	"20"	"2"	"380"	"16"	"3"	"8"	"25"	"28"	"7"	"2"	"16"	"7"	"15"	"0"	"1"	"1"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"16"	"13"	"0"	"167"	"167"	"1"	"0"
"9995"	"4"	"9"	"20"	"2"	"208"	"13"	"4"	"3"	"15"	"13"	"8"	"0"	"13"	"12"	"7"	"0"	"2"	"3"	"2"	"1"	"0"	"0"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"4"	"2"	"0"	"114"	"114"	"1"	"0"
"9996"	"4"	"9"	"20"	"2"	"207"	"18"	"11"	"1"	"23"	"8"	"5"	"1"	"10"	"8"	"9"	"0"	"2"	"1"	"6"	"0"	"2"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"6"	"2"	"0"	"118"	"118"	"1"	"0"
"9997"	"4"	"9"	"20"	"2"	"380"	"3"	"69"	"0"	"18"	"20"	"3"	"2"	"6"	"4"	"6"	"0"	"0"	"0"	"12"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"31"	"7"	"0"	"189"	"189"	"1"	"0"
