"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CRECER"	"URNG_MAIZ"	"FUERZA"	"VALOR"	"UNE"	"VIVA"	"PPT"	"HUGO"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"CREO"	"VICTORIA"	"PHG"	"MLP"	"SEMILLA"	"PODEMOS"	"AL_CAMBIO"	"AVANZA"	"PC"	"UCN"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10022"	"4"	"9"	"20"	"2"	"346"	"20"	"34"	"2"	"43"	"7"	"1"	"0"	"4"	"1"	"5"	"1"	"0"	"0"	"5"	"2"	"5"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"11"	"3"	"0"	"150"	"150"	"1"	"0"
"10023"	"4"	"9"	"20"	"2"	"380"	"32"	"42"	"2"	"40"	"9"	"8"	"3"	"4"	"1"	"9"	"1"	"4"	"0"	"8"	"0"	"6"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"11"	"7"	"0"	"193"	"193"	"1"	"0"
"10024"	"4"	"9"	"20"	"2"	"360"	"21"	"47"	"4"	"41"	"12"	"5"	"1"	"2"	"1"	"12"	"1"	"5"	"1"	"4"	"1"	"4"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"18"	"4"	"0"	"188"	"188"	"1"	"0"
"10025"	"4"	"9"	"20"	"2"	"380"	"19"	"62"	"0"	"27"	"19"	"6"	"0"	"1"	"2"	"13"	"0"	"3"	"0"	"11"	"1"	"4"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"17"	"7"	"0"	"198"	"198"	"1"	"0"
"10026"	"4"	"9"	"20"	"2"	"221"	"44"	"55"	"1"	"35"	"10"	"10"	"2"	"3"	"1"	"8"	"0"	"11"	"0"	"1"	"0"	"8"	"0"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"16"	"9"	"0"	"221"	"221"	"1"	"0"
"10027"	"4"	"9"	"20"	"2"	"380"	"15"	"116"	"3"	"25"	"10"	"3"	"2"	"0"	"1"	"6"	"0"	"9"	"0"	"1"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"17"	"5"	"0"	"223"	"223"	"1"	"0"
"10028"	"4"	"9"	"20"	"2"	"380"	"29"	"84"	"4"	"25"	"7"	"8"	"2"	"3"	"2"	"10"	"0"	"5"	"0"	"3"	"0"	"3"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"16"	"2"	"0"	"209"	"209"	"1"	"0"
"10029"	"4"	"9"	"20"	"2"	"380"	"24"	"77"	"2"	"32"	"7"	"4"	"3"	"5"	"3"	"9"	"2"	"7"	"0"	"2"	"0"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"22"	"3"	"0"	"211"	"211"	"1"	"0"
"10030"	"4"	"9"	"20"	"2"	"200"	"37"	"56"	"1"	"41"	"8"	"2"	"2"	"3"	"1"	"6"	"1"	"6"	"1"	"0"	"0"	"4"	"3"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"16"	"9"	"25"	"200"	"200"	"1"	"0"
"10031"	"4"	"9"	"20"	"2"	"380"	"25"	"64"	"2"	"36"	"6"	"4"	"3"	"1"	"1"	"7"	"0"	"6"	"0"	"7"	"2"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"29"	"7"	"0"	"208"	"208"	"1"	"0"
"10032"	"4"	"9"	"20"	"2"	"380"	"30"	"61"	"2"	"38"	"9"	"8"	"1"	"3"	"1"	"9"	"1"	"8"	"0"	"2"	"0"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"10"	"1"	"0"	"191"	"191"	"1"	"0"
"10033"	"4"	"9"	"20"	"2"	"380"	"29"	"49"	"2"	"38"	"14"	"4"	"0"	"1"	"1"	"8"	"1"	"4"	"1"	"2"	"2"	"4"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"9"	"0"	"0"	"174"	"174"	"1"	"0"
"10034"	"4"	"9"	"20"	"2"	"380"	"28"	"43"	"0"	"35"	"10"	"7"	"4"	"5"	"2"	"7"	"1"	"4"	"0"	"4"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"14"	"6"	"0"	"175"	"175"	"1"	"0"
"10035"	"4"	"9"	"20"	"2"	"380"	"30"	"50"	"5"	"39"	"21"	"3"	"1"	"3"	"1"	"8"	"3"	"5"	"0"	"0"	"1"	"6"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"10"	"3"	"0"	"193"	"193"	"1"	"0"
"10036"	"4"	"9"	"20"	"2"	"380"	"27"	"37"	"1"	"23"	"10"	"6"	"2"	"3"	"0"	"4"	"0"	"8"	"0"	"2"	"1"	"3"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"21"	"10"	"0"	"163"	"163"	"1"	"0"
"10037"	"4"	"9"	"20"	"2"	"361"	"22"	"68"	"2"	"31"	"8"	"8"	"2"	"1"	"1"	"9"	"0"	"9"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"6"	"4"	"0"	"177"	"177"	"1"	"0"
"10038"	"4"	"9"	"20"	"2"	"360"	"30"	"60"	"1"	"31"	"7"	"5"	"3"	"2"	"2"	"10"	"0"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"11"	"3"	"0"	"174"	"174"	"1"	"0"
"10039"	"4"	"9"	"20"	"2"	"380"	"8"	"14"	"9"	"31"	"22"	"6"	"1"	"6"	"10"	"16"	"0"	"6"	"4"	"7"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"22"	"8"	"0"	"176"	"176"	"1"	"0"
