"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VAMOS"	"FCN_NACION"	"UNIONISTA"	"TODOS"	"PAN"	"PC"	"MLP"	"VALOR"	"BIEN"	"PHG"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20362"	"4"	"22"	"1"	"2"	"374"	"2"	"42"	"4"	"35"	"10"	"2"	"1"	"34"	"10"	"24"	"2"	"2"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"18"	"13"	"0"	"215"	"215"	"1"	"0"
"20363"	"4"	"22"	"1"	"2"	"377"	"2"	"46"	"4"	"45"	"10"	"1"	"2"	"16"	"10"	"29"	"2"	"10"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"17"	"10"	"0"	"217"	"217"	"1"	"0"
"20364"	"4"	"22"	"1"	"2"	"380"	"2"	"48"	"1"	"46"	"8"	"2"	"4"	"14"	"8"	"20"	"1"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"21"	"9"	"1"	"194"	"194"	"1"	"0"
"20365"	"4"	"22"	"1"	"2"	"374"	"4"	"40"	"0"	"42"	"9"	"2"	"0"	"22"	"11"	"24"	"2"	"6"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"19"	"9"	"0"	"205"	"205"	"1"	"0"
"20366"	"4"	"22"	"1"	"2"	"380"	"5"	"43"	"4"	"37"	"13"	"4"	"5"	"34"	"7"	"27"	"2"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"21"	"9"	"0"	"225"	"225"	"1"	"0"
"20367"	"4"	"22"	"1"	"2"	"380"	"4"	"50"	"9"	"21"	"14"	"6"	"4"	"27"	"4"	"38"	"3"	"4"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"0"	"7"	"15"	"204"	"204"	"1"	"0"
"20368"	"4"	"22"	"1"	"2"	"380"	"4"	"27"	"4"	"24"	"17"	"0"	"1"	"25"	"4"	"26"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"12"	"6"	"0"	"162"	"162"	"1"	"0"
"20369"	"4"	"22"	"1"	"2"	"379"	"5"	"36"	"3"	"31"	"12"	"1"	"0"	"20"	"11"	"28"	"1"	"6"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"10"	"2"	"0"	"175"	"175"	"1"	"0"
"20370"	"4"	"22"	"1"	"2"	"376"	"1"	"51"	"5"	"19"	"21"	"3"	"3"	"34"	"5"	"32"	"1"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"9"	"6"	"0"	"202"	"202"	"1"	"0"
"20371"	"4"	"22"	"1"	"2"	"376"	"2"	"23"	"4"	"36"	"11"	"1"	"3"	"22"	"8"	"27"	"4"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"19"	"10"	"0"	"188"	"188"	"1"	"0"
"20372"	"4"	"22"	"1"	"2"	"375"	"6"	"32"	"5"	"22"	"13"	"2"	"2"	"28"	"5"	"35"	"3"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"14"	"6"	"1"	"189"	"189"	"1"	"0"
"20373"	"4"	"22"	"1"	"2"	"377"	"1"	"35"	"2"	"22"	"7"	"3"	"0"	"19"	"10"	"37"	"2"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"15"	"10"	"0"	"174"	"174"	"1"	"0"
