"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"WINAQ"	"VAMOS"	"MLP"	"UNE"	"PODEMOS"	"CREO"	"SEMILLA"	"VIVA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11344"	"4"	"11"	"8"	"2"	"380"	"48"	"91"	"14"	"4"	"7"	"30"	"29"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"4"	"0"	"247"	"247"	"1"	"0"
"11345"	"4"	"11"	"8"	"2"	"380"	"60"	"97"	"13"	"3"	"4"	"29"	"32"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"3"	"0"	"264"	"264"	"1"	"0"
"11346"	"4"	"11"	"8"	"2"	"380"	"58"	"98"	"8"	"7"	"2"	"21"	"26"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"4"	"0"	"251"	"251"	"1"	"0"
"11347"	"4"	"11"	"8"	"2"	"380"	"53"	"85"	"11"	"3"	"6"	"19"	"22"	"10"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"14"	"7"	"0"	"233"	"233"	"1"	"0"
"11348"	"4"	"11"	"8"	"2"	"290"	"50"	"84"	"7"	"1"	"0"	"23"	"36"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"3"	"1"	"0"	"212"	"212"	"1"	"0"
"11349"	"4"	"11"	"8"	"2"	"293"	"46"	"77"	"8"	"2"	"3"	"23"	"22"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"4"	"0"	"1"	"196"	"196"	"1"	"0"
"11350"	"4"	"11"	"8"	"2"	"380"	"76"	"91"	"8"	"1"	"3"	"6"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"22"	"7"	"0"	"224"	"224"	"1"	"0"
"11351"	"4"	"11"	"8"	"2"	"380"	"81"	"92"	"10"	"1"	"3"	"6"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"36"	"9"	"0"	"253"	"253"	"1"	"0"
"11352"	"4"	"11"	"8"	"2"	"376"	"57"	"111"	"3"	"2"	"3"	"8"	"9"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"47"	"14"	"0"	"264"	"264"	"1"	"0"
"11353"	"4"	"11"	"8"	"2"	"380"	"93"	"99"	"7"	"2"	"2"	"11"	"10"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"43"	"6"	"0"	"282"	"282"	"1"	"0"
"11354"	"4"	"11"	"8"	"2"	"380"	"81"	"101"	"6"	"2"	"3"	"5"	"10"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"21"	"8"	"0"	"245"	"245"	"1"	"0"
"11355"	"4"	"11"	"8"	"2"	"380"	"81"	"78"	"9"	"0"	"2"	"3"	"12"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"15"	"6"	"0"	"210"	"210"	"1"	"0"
"11356"	"4"	"11"	"8"	"2"	"214"	"47"	"60"	"1"	"1"	"4"	"5"	"11"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"8"	"3"	"0"	"148"	"148"	"1"	"0"
