"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"EG"	"VAMOS"	"VALOR"	"TODOS"	"SEMILLA"	"COCITRA"	"PC"	"BIEN"	"PODEMOS"	"FCN_NACION"	"PHG"	"MLP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15711"	"4"	"15"	"1"	"2"	"400"	"48"	"1"	"12"	"20"	"31"	"38"	"6"	"9"	"12"	"1"	"41"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"11"	"2"	"0"	"240"	"240"	"1"	"0"
"15712"	"4"	"15"	"1"	"2"	"400"	"32"	"5"	"11"	"17"	"22"	"42"	"10"	"14"	"15"	"2"	"28"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"1"	"2"	"0"	"212"	"212"	"1"	"0"
"15713"	"4"	"15"	"1"	"2"	"400"	"40"	"6"	"19"	"15"	"24"	"54"	"7"	"9"	"18"	"5"	"37"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"0"	"0"	"248"	"248"	"1"	"0"
"15714"	"4"	"15"	"1"	"2"	"400"	"32"	"3"	"8"	"20"	"23"	"53"	"12"	"6"	"19"	"7"	"37"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"4"	"0"	"242"	"242"	"1"	"0"
"15715"	"4"	"15"	"1"	"2"	"400"	"45"	"4"	"14"	"27"	"24"	"35"	"9"	"11"	"14"	"5"	"40"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"3"	"0"	"0"	"241"	"241"	"1"	"0"
"15716"	"4"	"15"	"1"	"2"	"400"	"48"	"4"	"23"	"22"	"39"	"41"	"13"	"4"	"11"	"3"	"22"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"1"	"1"	"247"	"247"	"1"	"0"
"15717"	"4"	"15"	"1"	"2"	"400"	"48"	"4"	"13"	"17"	"36"	"42"	"14"	"10"	"13"	"3"	"33"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"2"	"1"	"0"	"246"	"246"	"1"	"0"
"15718"	"4"	"15"	"1"	"2"	"400"	"55"	"6"	"16"	"28"	"30"	"42"	"9"	"8"	"13"	"5"	"34"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"5"	"3"	"0"	"258"	"258"	"1"	"0"
"15719"	"4"	"15"	"1"	"2"	"399"	"52"	"8"	"17"	"24"	"21"	"51"	"16"	"6"	"12"	"3"	"36"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"2"	"1"	"0"	"256"	"256"	"1"	"0"
"15720"	"4"	"15"	"1"	"2"	"400"	"47"	"1"	"16"	"17"	"22"	"46"	"13"	"8"	"22"	"1"	"39"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"5"	"0"	"0"	"244"	"244"	"1"	"0"
"15721"	"4"	"15"	"1"	"2"	"400"	"52"	"3"	"13"	"15"	"32"	"56"	"8"	"6"	"16"	"6"	"37"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"4"	"5"	"0"	"265"	"265"	"1"	"0"
"15722"	"4"	"15"	"1"	"2"	"400"	"46"	"3"	"18"	"17"	"27"	"31"	"6"	"22"	"12"	"0"	"44"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"3"	"0"	"250"	"250"	"1"	"0"
"15723"	"4"	"15"	"1"	"2"	"400"	"39"	"5"	"12"	"17"	"36"	"32"	"8"	"8"	"7"	"2"	"33"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"16"	"7"	"0"	"236"	"236"	"1"	"0"
"15724"	"4"	"15"	"1"	"2"	"400"	"37"	"3"	"11"	"20"	"28"	"38"	"5"	"11"	"8"	"5"	"31"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"4"	"3"	"0"	"215"	"215"	"1"	"0"
"15725"	"4"	"15"	"1"	"2"	"400"	"59"	"4"	"13"	"26"	"35"	"41"	"9"	"3"	"15"	"5"	"37"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"1"	"0"	"256"	"256"	"1"	"0"
"15726"	"4"	"15"	"1"	"2"	"400"	"50"	"0"	"9"	"23"	"34"	"49"	"16"	"8"	"10"	"7"	"36"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"4"	"1"	"0"	"252"	"252"	"1"	"0"
"15727"	"4"	"15"	"1"	"2"	"279"	"25"	"6"	"3"	"13"	"26"	"24"	"4"	"6"	"10"	"2"	"21"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"5"	"1"	"0"	"151"	"151"	"1"	"0"
"15728"	"4"	"15"	"1"	"2"	"277"	"26"	"2"	"5"	"5"	"22"	"23"	"7"	"4"	"7"	"2"	"20"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"126"	"2"	"1"	"0"	"129"	"129"	"0"	"0"
"15729"	"4"	"15"	"1"	"2"	"400"	"38"	"10"	"13"	"9"	"17"	"49"	"4"	"5"	"16"	"8"	"28"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"19"	"5"	"1"	"225"	"225"	"1"	"0"
"15730"	"4"	"15"	"1"	"2"	"400"	"55"	"2"	"10"	"13"	"36"	"41"	"0"	"2"	"12"	"4"	"38"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"12"	"6"	"5"	"238"	"238"	"1"	"0"
"15731"	"4"	"15"	"1"	"2"	"400"	"55"	"5"	"17"	"14"	"45"	"51"	"6"	"2"	"17"	"7"	"36"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"19"	"4"	"0"	"284"	"284"	"1"	"0"
"15732"	"4"	"15"	"1"	"2"	"400"	"61"	"5"	"9"	"14"	"47"	"29"	"6"	"4"	"12"	"2"	"39"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"23"	"9"	"0"	"267"	"267"	"1"	"0"
"15733"	"4"	"15"	"1"	"2"	"400"	"40"	"4"	"12"	"23"	"31"	"41"	"4"	"3"	"14"	"2"	"42"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"5"	"0"	"247"	"247"	"1"	"0"
"15734"	"4"	"15"	"1"	"2"	"400"	"50"	"5"	"16"	"13"	"24"	"35"	"6"	"2"	"5"	"0"	"37"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"18"	"4"	"0"	"221"	"221"	"1"	"0"
"15735"	"4"	"15"	"1"	"2"	"204"	"15"	"6"	"2"	"5"	"13"	"20"	"0"	"3"	"6"	"2"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"4"	"2"	"0"	"108"	"108"	"1"	"0"
"15736"	"4"	"15"	"1"	"2"	"203"	"16"	"2"	"5"	"4"	"22"	"14"	"4"	"1"	"3"	"3"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"4"	"3"	"0"	"97"	"97"	"1"	"0"
"15737"	"4"	"15"	"1"	"2"	"400"	"33"	"11"	"2"	"7"	"19"	"45"	"5"	"2"	"9"	"5"	"48"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"18"	"5"	"0"	"215"	"215"	"1"	"0"
"15738"	"4"	"15"	"1"	"2"	"400"	"49"	"6"	"6"	"16"	"24"	"47"	"3"	"5"	"12"	"2"	"35"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"26"	"4"	"0"	"240"	"240"	"1"	"0"
"15739"	"4"	"15"	"1"	"2"	"400"	"49"	"3"	"13"	"11"	"17"	"44"	"3"	"6"	"8"	"2"	"39"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"14"	"3"	"0"	"217"	"217"	"1"	"0"
"15740"	"4"	"15"	"1"	"2"	"330"	"33"	"7"	"5"	"16"	"18"	"28"	"7"	"4"	"12"	"3"	"40"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"5"	"0"	"189"	"189"	"1"	"0"
"15741"	"4"	"15"	"1"	"2"	"328"	"22"	"3"	"14"	"14"	"19"	"29"	"6"	"3"	"10"	"0"	"44"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"7"	"3"	"0"	"178"	"178"	"1"	"0"
"15742"	"4"	"15"	"1"	"2"	"376"	"28"	"1"	"8"	"4"	"71"	"5"	"21"	"5"	"36"	"2"	"25"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"28"	"15"	"0"	"276"	"276"	"1"	"0"
"15743"	"4"	"15"	"1"	"2"	"380"	"34"	"0"	"7"	"0"	"101"	"7"	"26"	"12"	"29"	"1"	"14"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"23"	"9"	"0"	"285"	"285"	"1"	"0"
"15744"	"4"	"15"	"1"	"2"	"376"	"42"	"3"	"6"	"1"	"86"	"6"	"32"	"5"	"35"	"2"	"26"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"26"	"13"	"0"	"303"	"303"	"1"	"0"
"15745"	"4"	"15"	"1"	"2"	"377"	"24"	"1"	"7"	"4"	"73"	"14"	"31"	"6"	"21"	"3"	"31"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"12"	"0"	"266"	"266"	"1"	"0"
"15746"	"4"	"15"	"1"	"2"	"299"	"32"	"6"	"12"	"2"	"51"	"7"	"16"	"7"	"13"	"1"	"6"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"14"	"9"	"0"	"196"	"196"	"1"	"0"
"15747"	"4"	"15"	"1"	"2"	"299"	"31"	"2"	"1"	"2"	"66"	"7"	"21"	"2"	"22"	"1"	"11"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"5"	"4"	"0"	"190"	"190"	"1"	"0"
"15748"	"4"	"15"	"1"	"2"	"380"	"37"	"0"	"11"	"4"	"32"	"9"	"2"	"0"	"10"	"0"	"49"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"33"	"10"	"0"	"208"	"208"	"1"	"0"
"15749"	"4"	"15"	"1"	"2"	"376"	"34"	"1"	"12"	"3"	"21"	"15"	"0"	"2"	"7"	"9"	"57"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"33"	"14"	"0"	"214"	"214"	"1"	"0"
"15750"	"4"	"15"	"1"	"2"	"380"	"33"	"0"	"14"	"4"	"25"	"7"	"1"	"2"	"18"	"0"	"66"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"45"	"19"	"0"	"255"	"255"	"1"	"0"
"15751"	"4"	"15"	"1"	"2"	"373"	"39"	"1"	"11"	"7"	"32"	"4"	"2"	"0"	"24"	"3"	"85"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"41"	"14"	"0"	"280"	"280"	"1"	"0"
"15752"	"4"	"15"	"1"	"2"	"380"	"26"	"4"	"10"	"5"	"24"	"7"	"2"	"2"	"13"	"3"	"82"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"9"	"0"	"212"	"212"	"1"	"0"
"15753"	"4"	"15"	"1"	"2"	"314"	"15"	"1"	"12"	"3"	"25"	"5"	"1"	"1"	"19"	"2"	"45"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"14"	"11"	"0"	"163"	"163"	"1"	"0"
"15754"	"4"	"15"	"1"	"1"	"315"	"22"	"0"	"8"	"4"	"19"	"3"	"0"	"0"	"16"	"0"	"58"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"13"	"7"	"0"	"156"	"156"	"1"	"0"
"15755"	"4"	"15"	"1"	"2"	"379"	"8"	"1"	"5"	"3"	"47"	"30"	"12"	"0"	"4"	"4"	"8"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"16"	"12"	"0"	"156"	"156"	"1"	"0"
"15756"	"4"	"15"	"1"	"2"	"380"	"14"	"1"	"1"	"2"	"49"	"24"	"13"	"0"	"11"	"0"	"6"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"20"	"6"	"0"	"156"	"156"	"1"	"0"
"15757"	"4"	"15"	"1"	"2"	"380"	"21"	"0"	"4"	"3"	"27"	"48"	"8"	"1"	"8"	"0"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"20"	"11"	"0"	"160"	"160"	"1"	"0"
"15758"	"4"	"15"	"1"	"2"	"301"	"12"	"1"	"1"	"5"	"37"	"21"	"11"	"1"	"7"	"1"	"1"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"5"	"4"	"0"	"119"	"119"	"1"	"0"
"15759"	"4"	"15"	"1"	"2"	"301"	"10"	"1"	"1"	"1"	"44"	"18"	"4"	"0"	"5"	"0"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"5"	"5"	"0"	"103"	"103"	"1"	"0"
"15760"	"4"	"15"	"1"	"2"	"380"	"13"	"3"	"3"	"3"	"43"	"15"	"5"	"2"	"4"	"0"	"8"	"3"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"19"	"8"	"0"	"163"	"163"	"1"	"0"
"15761"	"4"	"15"	"1"	"2"	"378"	"16"	"11"	"10"	"4"	"46"	"16"	"7"	"4"	"8"	"1"	"13"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"14"	"13"	"0"	"197"	"197"	"1"	"0"
"15762"	"4"	"15"	"1"	"2"	"380"	"26"	"5"	"3"	"1"	"45"	"14"	"9"	"1"	"9"	"2"	"9"	"0"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"39"	"10"	"0"	"216"	"216"	"1"	"0"
"15763"	"4"	"15"	"1"	"2"	"380"	"26"	"8"	"16"	"5"	"64"	"7"	"7"	"1"	"16"	"1"	"8"	"1"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"26"	"10"	"0"	"228"	"228"	"1"	"0"
"15764"	"4"	"15"	"1"	"2"	"376"	"11"	"11"	"5"	"2"	"65"	"24"	"6"	"1"	"11"	"1"	"9"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"12"	"4"	"0"	"185"	"185"	"1"	"0"
"15765"	"4"	"15"	"1"	"2"	"366"	"13"	"12"	"6"	"3"	"57"	"11"	"11"	"3"	"5"	"1"	"7"	"2"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"8"	"7"	"0"	"185"	"185"	"1"	"0"
"15766"	"4"	"15"	"1"	"1"	"364"	"16"	"7"	"2"	"1"	"68"	"13"	"8"	"1"	"12"	"0"	"4"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"2"	"7"	"0"	"175"	"175"	"1"	"0"
"15767"	"4"	"15"	"1"	"1"	"380"	"75"	"4"	"6"	"7"	"42"	"10"	"9"	"3"	"43"	"4"	"12"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"28"	"17"	"0"	"266"	"266"	"1"	"0"
"15768"	"4"	"15"	"1"	"1"	"380"	"82"	"2"	"5"	"4"	"49"	"16"	"7"	"2"	"40"	"3"	"13"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"32"	"7"	"0"	"266"	"266"	"1"	"0"
"15769"	"4"	"15"	"1"	"2"	"376"	"82"	"4"	"4"	"3"	"46"	"13"	"8"	"2"	"31"	"4"	"20"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"20"	"8"	"0"	"249"	"249"	"1"	"1"
"15770"	"4"	"15"	"1"	"2"	"359"	"75"	"4"	"6"	"5"	"44"	"9"	"4"	"0"	"34"	"6"	"14"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"10"	"4"	"0"	"219"	"219"	"1"	"0"
"15771"	"4"	"15"	"1"	"2"	"359"	"45"	"4"	"3"	"4"	"43"	"11"	"2"	"2"	"34"	"5"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"7"	"1"	"0"	"182"	"182"	"1"	"0"
