"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"EG"	"VAMOS"	"VALOR"	"TODOS"	"SEMILLA"	"COCITRA"	"PC"	"BIEN"	"PODEMOS"	"FCN_NACION"	"PHG"	"MLP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15699"	"4"	"15"	"1"	"2"	"400"	"51"	"3"	"17"	"18"	"34"	"37"	"9"	"12"	"17"	"2"	"42"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"12"	"2"	"0"	"273"	"273"	"1"	"0"
"15700"	"4"	"15"	"1"	"2"	"400"	"54"	"5"	"6"	"23"	"35"	"40"	"2"	"5"	"15"	"3"	"35"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"12"	"10"	"0"	"250"	"250"	"1"	"0"
"15701"	"4"	"15"	"1"	"2"	"400"	"43"	"4"	"13"	"27"	"39"	"36"	"11"	"7"	"20"	"6"	"35"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"5"	"0"	"264"	"264"	"1"	"0"
"15702"	"4"	"15"	"1"	"2"	"400"	"49"	"7"	"9"	"27"	"28"	"38"	"5"	"5"	"17"	"3"	"39"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"15"	"5"	"0"	"265"	"265"	"1"	"0"
"15703"	"4"	"15"	"1"	"2"	"400"	"45"	"4"	"18"	"22"	"23"	"51"	"7"	"13"	"13"	"5"	"36"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"0"	"0"	"259"	"259"	"1"	"0"
"15704"	"4"	"15"	"1"	"2"	"400"	"48"	"4"	"17"	"21"	"37"	"45"	"10"	"4"	"22"	"7"	"32"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"17"	"5"	"0"	"280"	"280"	"1"	"0"
"15705"	"4"	"15"	"1"	"2"	"376"	"54"	"5"	"16"	"26"	"39"	"55"	"8"	"12"	"14"	"2"	"37"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"2"	"0"	"295"	"295"	"1"	"0"
"15706"	"4"	"15"	"1"	"2"	"400"	"57"	"4"	"18"	"22"	"33"	"47"	"8"	"12"	"20"	"3"	"38"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"3"	"0"	"283"	"283"	"1"	"0"
"15707"	"4"	"15"	"1"	"2"	"400"	"50"	"5"	"16"	"29"	"33"	"41"	"12"	"7"	"16"	"3"	"32"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"3"	"0"	"268"	"268"	"1"	"0"
"15708"	"4"	"15"	"1"	"2"	"400"	"51"	"4"	"24"	"20"	"28"	"55"	"11"	"5"	"15"	"9"	"36"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"11"	"3"	"0"	"279"	"279"	"1"	"0"
"15709"	"4"	"15"	"1"	"2"	"400"	"36"	"2"	"18"	"14"	"32"	"55"	"18"	"11"	"19"	"5"	"37"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"16"	"6"	"0"	"278"	"278"	"1"	"0"
"15710"	"4"	"15"	"1"	"2"	"396"	"49"	"6"	"20"	"22"	"32"	"37"	"6"	"10"	"15"	"7"	"32"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"14"	"6"	"0"	"268"	"268"	"1"	"0"
