"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MORENA"	"UNE"	"CREO"	"BIEN"	"VAMOS"	"COMITÉ_CÍVICO_RENOVADOR"	"PHG"	"FUERZA"	"PAN"	"SEMILLA"	"VALOR"	"CAFESA"	"VIVA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6062"	"4"	"4"	"3"	"2"	"378"	"2"	"44"	"43"	"2"	"1"	"21"	"3"	"5"	"6"	"1"	"0"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"28"	"7"	"0"	"271"	"271"	"1"	"0"
"6063"	"4"	"4"	"3"	"2"	"380"	"1"	"41"	"39"	"4"	"9"	"32"	"3"	"9"	"7"	"2"	"0"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"0"	"0"	"223"	"223"	"1"	"0"
"6064"	"4"	"4"	"3"	"2"	"0"	"3"	"37"	"24"	"2"	"4"	"31"	"10"	"4"	"3"	"0"	"0"	"75"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"9"	"4"	"0"	"207"	"207"	"1"	"0"
"6065"	"4"	"4"	"3"	"2"	"376"	"2"	"38"	"42"	"7"	"2"	"34"	"4"	"2"	"4"	"0"	"0"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"20"	"2"	"0"	"218"	"218"	"1"	"0"
"6066"	"4"	"4"	"3"	"2"	"0"	"1"	"27"	"22"	"5"	"2"	"31"	"2"	"5"	"8"	"2"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"28"	"9"	"0"	"200"	"200"	"1"	"0"
"6067"	"4"	"4"	"3"	"2"	"0"	"3"	"33"	"37"	"2"	"3"	"26"	"5"	"5"	"8"	"2"	"0"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"18"	"2"	"0"	"0"	"194"	"0"	"0"
"6068"	"4"	"4"	"3"	"2"	"0"	"1"	"34"	"41"	"3"	"6"	"23"	"7"	"2"	"6"	"0"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"168"	"6"	"3"	"6"	"157"	"177"	"0"	"0"
"6069"	"4"	"4"	"3"	"2"	"272"	"4"	"30"	"40"	"3"	"5"	"19"	"11"	"3"	"5"	"0"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"4"	"1"	"0"	"166"	"166"	"1"	"0"
"6070"	"4"	"4"	"3"	"2"	"376"	"77"	"18"	"27"	"21"	"4"	"24"	"33"	"5"	"3"	"1"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"22"	"5"	"0"	"249"	"249"	"1"	"0"
"6071"	"4"	"4"	"3"	"2"	"380"	"68"	"20"	"27"	"15"	"12"	"25"	"41"	"3"	"7"	"1"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"17"	"8"	"0"	"251"	"251"	"1"	"0"
"6072"	"4"	"4"	"3"	"2"	"376"	"58"	"28"	"40"	"13"	"5"	"23"	"34"	"3"	"8"	"0"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"21"	"3"	"0"	"246"	"246"	"1"	"0"
"6073"	"4"	"4"	"3"	"2"	"274"	"54"	"20"	"51"	"18"	"11"	"19"	"33"	"4"	"7"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"30"	"8"	"0"	"263"	"263"	"1"	"0"
"6074"	"4"	"4"	"3"	"2"	"374"	"71"	"15"	"36"	"29"	"13"	"35"	"38"	"4"	"11"	"1"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"18"	"4"	"0"	"282"	"282"	"1"	"0"
"6075"	"4"	"4"	"3"	"2"	"376"	"68"	"16"	"31"	"25"	"2"	"17"	"28"	"4"	"5"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"13"	"7"	"0"	"224"	"224"	"1"	"0"
"6076"	"4"	"4"	"3"	"2"	"380"	"87"	"21"	"25"	"24"	"4"	"25"	"46"	"5"	"3"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"2"	"0"	"258"	"258"	"1"	"0"
"6077"	"4"	"4"	"3"	"2"	"376"	"81"	"10"	"35"	"20"	"6"	"20"	"32"	"2"	"2"	"3"	"8"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"18"	"4"	"0"	"245"	"245"	"1"	"0"
"6078"	"4"	"4"	"3"	"2"	"374"	"87"	"21"	"22"	"7"	"10"	"32"	"25"	"2"	"4"	"0"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"10"	"7"	"1"	"239"	"239"	"1"	"0"
"6079"	"4"	"4"	"3"	"2"	"374"	"93"	"20"	"22"	"19"	"11"	"11"	"32"	"3"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"4"	"0"	"235"	"235"	"1"	"0"
"6080"	"4"	"4"	"3"	"2"	"376"	"68"	"20"	"30"	"25"	"5"	"22"	"31"	"1"	"1"	"1"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"9"	"2"	"0"	"223"	"223"	"1"	"0"
"6081"	"4"	"4"	"3"	"2"	"197"	"34"	"17"	"24"	"9"	"2"	"13"	"30"	"5"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"0"	"0"	"0"	"137"	"137"	"1"	"0"
"6082"	"4"	"4"	"3"	"2"	"195"	"45"	"1"	"20"	"9"	"4"	"7"	"18"	"0"	"2"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"5"	"1"	"0"	"117"	"117"	"1"	"0"
"6083"	"4"	"4"	"3"	"2"	"600"	"10"	"19"	"21"	"6"	"9"	"54"	"20"	"2"	"5"	"2"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"10"	"3"	"0"	"180"	"180"	"1"	"0"
"6084"	"4"	"4"	"3"	"2"	"459"	"2"	"15"	"18"	"4"	"4"	"46"	"17"	"3"	"3"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"6"	"3"	"0"	"129"	"129"	"1"	"0"
"6085"	"4"	"4"	"3"	"2"	"458"	"3"	"11"	"17"	"1"	"3"	"27"	"6"	"2"	"3"	"0"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"6"	"1"	"0"	"89"	"89"	"1"	"0"
