"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UCN"	"DESARROLLO"	"BIEN"	"TODOS"	"SEMILLA"	"UNE"	"EG"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19631"	"4"	"20"	"7"	"2"	"248"	"3"	"36"	"65"	"16"	"4"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"2"	"5"	"0"	"140"	"140"	"1"	"0"
"19632"	"4"	"20"	"7"	"2"	"380"	"3"	"42"	"37"	"24"	"2"	"3"	"77"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"23"	"8"	"0"	"223"	"223"	"1"	"0"
"19633"	"4"	"20"	"7"	"2"	"380"	"3"	"68"	"43"	"25"	"5"	"2"	"42"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"13"	"7"	"0"	"210"	"210"	"1"	"0"
"19634"	"4"	"20"	"7"	"2"	"380"	"2"	"44"	"54"	"18"	"1"	"1"	"65"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"14"	"5"	"0"	"207"	"207"	"1"	"0"
"19635"	"4"	"20"	"7"	"2"	"384"	"0"	"61"	"37"	"40"	"4"	"1"	"52"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"21"	"3"	"0"	"223"	"223"	"1"	"0"
"19636"	"4"	"20"	"7"	"2"	"324"	"3"	"47"	"35"	"35"	"5"	"2"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"16"	"4"	"0"	"213"	"213"	"1"	"0"
"19637"	"4"	"20"	"7"	"2"	"324"	"0"	"51"	"27"	"24"	"3"	"4"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"14"	"8"	"0"	"178"	"178"	"1"	"0"
"19638"	"4"	"20"	"7"	"2"	"379"	"6"	"76"	"68"	"19"	"9"	"1"	"27"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"13"	"8"	"0"	"230"	"230"	"1"	"0"
"19639"	"4"	"20"	"7"	"2"	"381"	"16"	"69"	"69"	"23"	"13"	"0"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"11"	"0"	"244"	"244"	"1"	"0"
"19640"	"4"	"20"	"7"	"2"	"332"	"11"	"70"	"59"	"16"	"5"	"1"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"13"	"3"	"0"	"197"	"197"	"1"	"0"
"19641"	"4"	"20"	"7"	"2"	"364"	"5"	"66"	"54"	"30"	"9"	"1"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"12"	"2"	"0"	"205"	"205"	"1"	"0"
"19642"	"4"	"20"	"7"	"2"	"400"	"12"	"76"	"63"	"15"	"12"	"2"	"45"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"16"	"5"	"0"	"249"	"249"	"1"	"0"
"19643"	"4"	"20"	"7"	"2"	"398"	"13"	"71"	"68"	"14"	"14"	"3"	"44"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"5"	"10"	"0"	"252"	"252"	"1"	"0"
"19644"	"4"	"20"	"7"	"2"	"397"	"19"	"72"	"62"	"15"	"10"	"3"	"52"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"9"	"2"	"0"	"255"	"255"	"1"	"0"
"19645"	"4"	"20"	"7"	"2"	"600"	"6"	"53"	"80"	"24"	"12"	"4"	"27"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"10"	"3"	"0"	"226"	"226"	"1"	"0"
"19646"	"4"	"20"	"7"	"2"	"600"	"6"	"42"	"80"	"19"	"11"	"4"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"3"	"0"	"194"	"194"	"1"	"0"
"19647"	"4"	"20"	"7"	"2"	"524"	"7"	"41"	"75"	"23"	"17"	"2"	"29"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"13"	"6"	"0"	"219"	"219"	"1"	"0"
"19648"	"4"	"20"	"7"	"2"	"524"	"3"	"17"	"21"	"7"	"4"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"8"	"1"	"0"	"70"	"70"	"1"	"0"
