"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"FUERZA"	"EG"	"UNIONISTA"	"BIEN"	"VICTORIA"	"URNG_MAIZ"	"LIBRE"	"WINAQ"	"VIVA"	"PAN"	"SEMILLA"	"PPT"	"PHG"	"UCN"	"CONVERGENCIA"	"AVANZA"	"UNE"	"VALOR"	"UNIDOS"	"PODEMOS"	"CREO"	"PC"	"MLP"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3843"	"4"	"1"	"15"	"2"	"396"	"30"	"13"	"35"	"0"	"6"	"11"	"51"	"4"	"1"	"6"	"5"	"5"	"7"	"0"	"3"	"3"	"1"	"1"	"19"	"1"	"0"	"0"	"6"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"4"	"1"	"0"	"229"	"229"	"1"	"0"
"3844"	"4"	"1"	"15"	"1"	"400"	"37"	"11"	"19"	"3"	"6"	"20"	"40"	"1"	"5"	"5"	"14"	"6"	"2"	"1"	"0"	"1"	"0"	"2"	"26"	"2"	"1"	"1"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"219"	"9"	"2"	"0"	"238"	"230"	"0"	"0"
"3845"	"4"	"1"	"15"	"2"	"396"	"26"	"16"	"17"	"2"	"12"	"16"	"39"	"2"	"2"	"4"	"7"	"4"	"6"	"1"	"2"	"4"	"0"	"1"	"20"	"6"	"7"	"4"	"6"	"1"	"2"	"4"	"0"	"1"	"20"	"6"	"211"	"211"	"12"	"2"	"0"	"225"	"225"	"1"	"0"
"3846"	"4"	"1"	"15"	"1"	"395"	"17"	"12"	"15"	"3"	"13"	"18"	"35"	"1"	"3"	"7"	"8"	"10"	"4"	"1"	"5"	"1"	"0"	"0"	"27"	"4"	"8"	"10"	"4"	"1"	"5"	"1"	"0"	"0"	"27"	"4"	"201"	"201"	"13"	"3"	"0"	"217"	"217"	"1"	"0"
"3847"	"4"	"1"	"15"	"1"	"400"	"23"	"10"	"17"	"2"	"13"	"12"	"44"	"0"	"8"	"5"	"6"	"6"	"5"	"0"	"0"	"6"	"0"	"1"	"25"	"5"	"0"	"1"	"3"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"220"	"212"	"5"	"2"	"0"	"227"	"219"	"0"	"0"
"3848"	"4"	"1"	"15"	"1"	"400"	"38"	"11"	"20"	"4"	"16"	"11"	"59"	"2"	"4"	"6"	"4"	"6"	"4"	"1"	"6"	"2"	"0"	"4"	"21"	"6"	"0"	"0"	"2"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"1"	"0"	"251"	"251"	"1"	"0"
"3849"	"4"	"1"	"15"	"2"	"400"	"14"	"9"	"25"	"4"	"6"	"18"	"51"	"2"	"1"	"5"	"10"	"3"	"1"	"1"	"10"	"5"	"1"	"1"	"18"	"5"	"0"	"0"	"6"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"10"	"3"	"0"	"223"	"223"	"1"	"0"
"3850"	"4"	"1"	"15"	"1"	"396"	"25"	"11"	"18"	"3"	"13"	"19"	"49"	"0"	"4"	"3"	"9"	"3"	"0"	"2"	"7"	"3"	"1"	"5"	"17"	"4"	"0"	"0"	"3"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"12"	"0"	"0"	"227"	"227"	"1"	"0"
"3851"	"4"	"1"	"15"	"1"	"400"	"28"	"7"	"21"	"0"	"11"	"12"	"31"	"9"	"3"	"8"	"15"	"9"	"5"	"2"	"0"	"1"	"1"	"1"	"12"	"6"	"1"	"0"	"6"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"210"	"201"	"8"	"1"	"0"	"219"	"210"	"0"	"0"
"3852"	"4"	"1"	"15"	"1"	"397"	"16"	"9"	"21"	"3"	"6"	"14"	"47"	"4"	"3"	"5"	"16"	"6"	"4"	"0"	"3"	"1"	"0"	"6"	"18"	"1"	"1"	"1"	"3"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"12"	"2"	"1"	"217"	"217"	"1"	"0"
"3853"	"4"	"1"	"15"	"1"	"400"	"36"	"12"	"21"	"2"	"7"	"7"	"42"	"5"	"6"	"3"	"17"	"4"	"2"	"0"	"2"	"9"	"1"	"2"	"22"	"2"	"0"	"0"	"3"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"14"	"2"	"0"	"234"	"234"	"1"	"0"
"3854"	"4"	"1"	"15"	"1"	"397"	"2"	"4"	"15"	"2"	"9"	"19"	"46"	"2"	"2"	"3"	"11"	"4"	"3"	"1"	"0"	"2"	"0"	"16"	"3"	"0"	"0"	"3"	"0"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"196"	"165"	"11"	"1"	"0"	"208"	"177"	"0"	"0"
"3855"	"4"	"1"	"15"	"2"	"400"	"23"	"5"	"19"	"3"	"12"	"15"	"42"	"2"	"3"	"4"	"4"	"5"	"6"	"3"	"4"	"6"	"2"	"4"	"23"	"4"	"0"	"0"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"8"	"6"	"0"	"223"	"223"	"1"	"0"
