"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"FUERZA"	"EG"	"UNIONISTA"	"BIEN"	"VICTORIA"	"URNG_MAIZ"	"LIBRE"	"WINAQ"	"VIVA"	"PAN"	"SEMILLA"	"PPT"	"PHG"	"UCN"	"CONVERGENCIA"	"AVANZA"	"UNE"	"VALOR"	"UNIDOS"	"PODEMOS"	"CREO"	"PC"	"MLP"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3889"	"4"	"1"	"15"	"2"	"400"	"10"	"15"	"51"	"15"	"8"	"8"	"2"	"0"	"6"	"3"	"12"	"2"	"2"	"1"	"2"	"3"	"1"	"1"	"40"	"7"	"0"	"0"	"1"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"208"	"206"	"14"	"3"	"0"	"225"	"223"	"0"	"0"
"3890"	"4"	"1"	"15"	"1"	"401"	"12"	"24"	"42"	"10"	"16"	"4"	"0"	"1"	"5"	"5"	"14"	"3"	"4"	"0"	"0"	"1"	"2"	"3"	"37"	"3"	"1"	"0"	"2"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"213"	"208"	"5"	"1"	"0"	"219"	"214"	"0"	"0"
"3891"	"4"	"1"	"15"	"2"	"400"	"13"	"19"	"54"	"9"	"20"	"13"	"3"	"1"	"9"	"2"	"10"	"2"	"2"	"1"	"7"	"2"	"1"	"1"	"39"	"3"	"0"	"0"	"3"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"5"	"1"	"0"	"246"	"246"	"1"	"0"
"3892"	"4"	"1"	"15"	"2"	"400"	"15"	"25"	"74"	"15"	"21"	"3"	"4"	"2"	"6"	"4"	"8"	"3"	"6"	"0"	"13"	"3"	"0"	"3"	"32"	"5"	"0"	"3"	"2"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"281"	"284"	"7"	"2"	"0"	"290"	"293"	"0"	"0"
"3893"	"4"	"1"	"15"	"1"	"266"	"6"	"18"	"54"	"8"	"12"	"3"	"1"	"0"	"1"	"2"	"12"	"2"	"2"	"0"	"7"	"1"	"0"	"2"	"20"	"1"	"12"	"2"	"2"	"0"	"7"	"1"	"0"	"2"	"20"	"1"	"175"	"175"	"1"	"0"	"1"	"176"	"176"	"1"	"0"
"3894"	"4"	"1"	"15"	"1"	"265"	"7"	"19"	"24"	"4"	"6"	"5"	"4"	"2"	"2"	"2"	"9"	"2"	"0"	"0"	"5"	"1"	"0"	"1"	"28"	"0"	"9"	"2"	"0"	"0"	"5"	"1"	"0"	"1"	"28"	"0"	"140"	"140"	"3"	"1"	"0"	"144"	"144"	"1"	"0"
"3895"	"4"	"1"	"15"	"1"	"395"	"20"	"17"	"54"	"2"	"11"	"9"	"3"	"3"	"11"	"3"	"19"	"5"	"5"	"0"	"6"	"4"	"2"	"5"	"37"	"5"	"0"	"0"	"2"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"2"	"0"	"263"	"263"	"1"	"0"
"3896"	"4"	"1"	"15"	"1"	"396"	"16"	"24"	"67"	"6"	"5"	"1"	"1"	"1"	"8"	"0"	"22"	"7"	"1"	"0"	"5"	"1"	"1"	"4"	"33"	"3"	"0"	"0"	"3"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"7"	"0"	"262"	"258"	"0"	"4"
"3897"	"4"	"1"	"15"	"1"	"400"	"21"	"20"	"64"	"7"	"11"	"8"	"1"	"1"	"7"	"3"	"20"	"11"	"3"	"0"	"7"	"0"	"0"	"7"	"31"	"3"	"0"	"0"	"2"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"20"	"4"	"0"	"271"	"271"	"1"	"0"
"3898"	"4"	"1"	"15"	"1"	"400"	"35"	"22"	"56"	"6"	"10"	"3"	"2"	"4"	"9"	"6"	"13"	"2"	"3"	"0"	"2"	"2"	"2"	"1"	"26"	"3"	"1"	"0"	"3"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"13"	"1"	"0"	"249"	"249"	"1"	"0"
"3899"	"4"	"1"	"15"	"1"	"400"	"17"	"24"	"72"	"3"	"6"	"8"	"1"	"1"	"6"	"5"	"8"	"6"	"3"	"0"	"7"	"2"	"3"	"3"	"22"	"5"	"1"	"0"	"5"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"13"	"0"	"0"	"249"	"249"	"1"	"0"
"3900"	"4"	"1"	"15"	"1"	"396"	"30"	"21"	"59"	"4"	"8"	"3"	"2"	"0"	"7"	"4"	"23"	"7"	"2"	"1"	"8"	"5"	"0"	"4"	"33"	"4"	"0"	"1"	"3"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"227"	"247"	"9"	"3"	"0"	"239"	"259"	"0"	"0"
"3901"	"4"	"1"	"15"	"1"	"400"	"30"	"22"	"50"	"8"	"13"	"2"	"3"	"2"	"12"	"3"	"18"	"8"	"3"	"1"	"3"	"2"	"1"	"0"	"35"	"1"	"0"	"1"	"3"	"27"	"8"	"0"	"0"	"0"	"0"	"0"	"255"	"256"	"12"	"6"	"0"	"273"	"274"	"0"	"0"
"3902"	"4"	"1"	"15"	"1"	"417"	"12"	"21"	"61"	"4"	"9"	"3"	"3"	"0"	"7"	"1"	"27"	"9"	"6"	"0"	"3"	"2"	"0"	"3"	"25"	"4"	"1"	"0"	"2"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"15"	"4"	"0"	"244"	"244"	"1"	"0"
"3903"	"4"	"1"	"15"	"1"	"398"	"18"	"17"	"56"	"2"	"7"	"5"	"1"	"1"	"7"	"2"	"24"	"4"	"0"	"1"	"3"	"2"	"1"	"7"	"29"	"2"	"1"	"0"	"3"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"15"	"6"	"0"	"237"	"237"	"1"	"0"
"3904"	"4"	"1"	"15"	"1"	"399"	"19"	"17"	"56"	"5"	"7"	"7"	"2"	"4"	"4"	"1"	"12"	"7"	"1"	"0"	"4"	"3"	"0"	"6"	"23"	"5"	"0"	"1"	"3"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"7"	"2"	"0"	"215"	"215"	"1"	"0"
"3905"	"4"	"1"	"15"	"1"	"298"	"19"	"15"	"53"	"5"	"13"	"5"	"3"	"0"	"2"	"5"	"12"	"2"	"4"	"0"	"8"	"1"	"0"	"7"	"19"	"1"	"0"	"1"	"1"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"5"	"1"	"0"	"201"	"201"	"1"	"0"
"3906"	"4"	"1"	"15"	"1"	"297"	"10"	"22"	"43"	"5"	"11"	"4"	"4"	"0"	"6"	"3"	"17"	"4"	"4"	"0"	"9"	"1"	"1"	"4"	"23"	"0"	"0"	"0"	"3"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"4"	"4"	"0"	"203"	"203"	"1"	"0"
"3907"	"4"	"1"	"15"	"1"	"394"	"29"	"21"	"24"	"0"	"23"	"7"	"6"	"7"	"5"	"8"	"10"	"10"	"11"	"0"	"9"	"3"	"0"	"4"	"27"	"12"	"0"	"1"	"3"	"32"	"6"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"0"	"0"	"270"	"270"	"1"	"0"
"3908"	"4"	"1"	"15"	"1"	"400"	"35"	"28"	"16"	"0"	"17"	"4"	"1"	"6"	"4"	"6"	"8"	"6"	"10"	"0"	"11"	"3"	"1"	"1"	"17"	"11"	"0"	"0"	"5"	"34"	"4"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"21"	"2"	"0"	"251"	"251"	"1"	"0"
"3909"	"4"	"1"	"15"	"1"	"400"	"26"	"23"	"35"	"2"	"22"	"6"	"2"	"6"	"3"	"4"	"10"	"8"	"6"	"0"	"8"	"5"	"1"	"4"	"25"	"10"	"1"	"0"	"3"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"2"	"0"	"249"	"249"	"1"	"0"
"3910"	"4"	"1"	"15"	"2"	"400"	"27"	"25"	"24"	"2"	"28"	"7"	"4"	"3"	"4"	"8"	"9"	"13"	"10"	"1"	"9"	"1"	"0"	"2"	"10"	"13"	"2"	"0"	"4"	"23"	"10"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"27"	"3"	"27"	"266"	"269"	"0"	"0"
"3911"	"4"	"1"	"15"	"1"	"400"	"33"	"40"	"21"	"3"	"22"	"6"	"4"	"1"	"6"	"11"	"17"	"9"	"8"	"0"	"8"	"1"	"2"	"5"	"15"	"6"	"0"	"1"	"8"	"35"	"6"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"11"	"1"	"1"	"280"	"280"	"1"	"0"
"3912"	"4"	"1"	"15"	"2"	"400"	"46"	"18"	"14"	"2"	"29"	"8"	"7"	"0"	"6"	"6"	"18"	"6"	"7"	"0"	"6"	"2"	"1"	"5"	"22"	"8"	"2"	"2"	"4"	"24"	"8"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"6"	"1"	"267"	"267"	"1"	"0"
"3913"	"4"	"1"	"15"	"1"	"400"	"34"	"35"	"23"	"3"	"23"	"3"	"1"	"1"	"3"	"5"	"12"	"5"	"4"	"3"	"9"	"6"	"0"	"6"	"20"	"6"	"1"	"2"	"4"	"22"	"10"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"13"	"1"	"0"	"255"	"255"	"1"	"0"
"3914"	"4"	"1"	"15"	"1"	"400"	"42"	"22"	"31"	"4"	"37"	"5"	"6"	"1"	"6"	"5"	"12"	"2"	"5"	"0"	"13"	"1"	"2"	"3"	"18"	"4"	"0"	"0"	"4"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"3"	"0"	"0"	"257"	"257"	"1"	"0"
"3915"	"4"	"1"	"15"	"1"	"245"	"34"	"28"	"30"	"0"	"13"	"4"	"4"	"0"	"2"	"3"	"14"	"3"	"4"	"0"	"0"	"1"	"1"	"3"	"20"	"5"	"1"	"3"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"231"	"183"	"11"	"3"	"0"	"245"	"197"	"0"	"0"
"3916"	"4"	"1"	"15"	"2"	"400"	"39"	"34"	"18"	"2"	"27"	"10"	"1"	"3"	"5"	"6"	"16"	"8"	"7"	"0"	"7"	"2"	"1"	"5"	"13"	"6"	"0"	"1"	"6"	"33"	"2"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"4"	"3"	"1"	"259"	"259"	"1"	"0"
"3917"	"4"	"1"	"15"	"1"	"400"	"44"	"26"	"27"	"2"	"27"	"7"	"3"	"0"	"3"	"8"	"11"	"8"	"5"	"0"	"8"	"0"	"0"	"5"	"17"	"9"	"11"	"8"	"5"	"0"	"8"	"0"	"0"	"5"	"17"	"9"	"240"	"240"	"11"	"5"	"0"	"256"	"256"	"1"	"0"
"3918"	"4"	"1"	"15"	"1"	"400"	"33"	"22"	"28"	"2"	"31"	"6"	"2"	"0"	"4"	"7"	"17"	"7"	"10"	"0"	"9"	"2"	"0"	"5"	"19"	"0"	"17"	"7"	"10"	"0"	"9"	"2"	"0"	"5"	"19"	"0"	"242"	"242"	"12"	"1"	"0"	"255"	"255"	"1"	"0"
"3919"	"4"	"1"	"15"	"1"	"404"	"31"	"26"	"16"	"2"	"30"	"5"	"5"	"4"	"3"	"8"	"14"	"9"	"12"	"1"	"9"	"1"	"1"	"6"	"16"	"9"	"14"	"9"	"12"	"1"	"9"	"1"	"1"	"6"	"16"	"9"	"250"	"250"	"10"	"1"	"0"	"261"	"261"	"1"	"0"
"3920"	"4"	"1"	"15"	"2"	"395"	"33"	"29"	"22"	"2"	"33"	"1"	"3"	"3"	"5"	"10"	"20"	"12"	"13"	"1"	"6"	"1"	"2"	"5"	"15"	"7"	"0"	"1"	"5"	"41"	"4"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"6"	"0"	"289"	"289"	"1"	"0"
"3921"	"4"	"1"	"15"	"1"	"400"	"30"	"30"	"27"	"4"	"37"	"8"	"1"	"2"	"7"	"5"	"15"	"6"	"7"	"0"	"11"	"2"	"0"	"4"	"23"	"5"	"15"	"6"	"7"	"0"	"11"	"2"	"0"	"4"	"23"	"5"	"265"	"265"	"16"	"1"	"0"	"282"	"282"	"1"	"0"
"3922"	"4"	"1"	"15"	"2"	"396"	"25"	"36"	"27"	"1"	"23"	"7"	"2"	"4"	"7"	"6"	"12"	"9"	"5"	"0"	"13"	"2"	"0"	"4"	"26"	"11"	"0"	"1"	"3"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"4"	"0"	"277"	"277"	"1"	"0"
"3923"	"4"	"1"	"15"	"2"	"395"	"32"	"35"	"26"	"1"	"25"	"7"	"4"	"1"	"2"	"6"	"12"	"6"	"7"	"0"	"11"	"3"	"1"	"3"	"18"	"4"	"1"	"0"	"0"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"13"	"0"	"0"	"256"	"256"	"1"	"0"
"3924"	"4"	"1"	"15"	"1"	"400"	"36"	"22"	"21"	"2"	"33"	"4"	"3"	"1"	"3"	"6"	"9"	"8"	"14"	"0"	"8"	"4"	"1"	"3"	"21"	"4"	"9"	"8"	"14"	"0"	"8"	"4"	"1"	"3"	"21"	"4"	"243"	"243"	"12"	"2"	"0"	"257"	"257"	"1"	"0"
"3925"	"4"	"1"	"15"	"1"	"400"	"38"	"25"	"14"	"3"	"21"	"4"	"1"	"4"	"3"	"1"	"23"	"4"	"8"	"0"	"10"	"3"	"0"	"6"	"15"	"13"	"0"	"1"	"2"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"10"	"3"	"0"	"244"	"244"	"1"	"0"
"3926"	"4"	"1"	"15"	"1"	"402"	"43"	"24"	"16"	"3"	"22"	"7"	"2"	"0"	"6"	"8"	"11"	"9"	"7"	"0"	"7"	"0"	"0"	"4"	"23"	"9"	"0"	"1"	"1"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"6"	"0"	"0"	"240"	"240"	"1"	"0"
"3927"	"4"	"1"	"15"	"1"	"402"	"40"	"32"	"29"	"0"	"29"	"2"	"3"	"0"	"3"	"8"	"11"	"11"	"4"	"1"	"5"	"2"	"1"	"6"	"23"	"3"	"1"	"0"	"5"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"13"	"1"	"0"	"273"	"273"	"1"	"0"
"3928"	"4"	"1"	"15"	"2"	"400"	"42"	"21"	"27"	"3"	"46"	"3"	"3"	"1"	"4"	"8"	"10"	"10"	"11"	"0"	"4"	"2"	"0"	"9"	"19"	"10"	"2"	"2"	"4"	"30"	"8"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"4"	"0"	"2"	"283"	"283"	"1"	"0"
"3929"	"4"	"1"	"15"	"1"	"357"	"33"	"22"	"27"	"2"	"34"	"4"	"1"	"3"	"4"	"6"	"8"	"4"	"11"	"0"	"11"	"1"	"1"	"3"	"21"	"3"	"1"	"0"	"8"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"248"	"4"	"1"	"0"	"251"	"253"	"0"	"0"
"3930"	"4"	"1"	"15"	"2"	"199"	"20"	"17"	"22"	"1"	"19"	"3"	"3"	"0"	"5"	"6"	"8"	"2"	"5"	"0"	"14"	"0"	"1"	"3"	"23"	"6"	"0"	"0"	"2"	"25"	"5"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"8"	"1"	"0"	"199"	"199"	"1"	"0"
"3931"	"4"	"1"	"15"	"2"	"397"	"17"	"25"	"48"	"3"	"5"	"6"	"5"	"3"	"5"	"5"	"9"	"9"	"8"	"0"	"5"	"4"	"2"	"1"	"27"	"3"	"0"	"2"	"4"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"10"	"4"	"0"	"236"	"236"	"1"	"0"
"3932"	"4"	"1"	"15"	"2"	"410"	"24"	"33"	"48"	"1"	"4"	"4"	"6"	"4"	"3"	"7"	"3"	"3"	"3"	"2"	"3"	"4"	"1"	"2"	"21"	"4"	"0"	"2"	"3"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"9"	"1"	"0"	"215"	"215"	"1"	"0"
"3933"	"4"	"1"	"15"	"1"	"401"	"26"	"34"	"44"	"3"	"10"	"3"	"4"	"2"	"3"	"6"	"15"	"9"	"2"	"1"	"9"	"5"	"1"	"0"	"19"	"5"	"0"	"0"	"3"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"2"	"5"	"8"	"231"	"231"	"1"	"0"
"3934"	"4"	"1"	"15"	"2"	"400"	"27"	"33"	"67"	"0"	"7"	"6"	"5"	"0"	"5"	"5"	"9"	"11"	"3"	"0"	"10"	"7"	"1"	"3"	"24"	"5"	"0"	"0"	"2"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"16"	"6"	"1"	"266"	"265"	"0"	"0"
"3935"	"4"	"1"	"15"	"1"	"399"	"31"	"27"	"49"	"1"	"6"	"8"	"4"	"4"	"2"	"9"	"5"	"10"	"5"	"2"	"8"	"5"	"1"	"1"	"22"	"6"	"0"	"1"	"0"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"18"	"2"	"1"	"244"	"254"	"0"	"2"
"3936"	"4"	"1"	"15"	"2"	"397"	"31"	"23"	"73"	"3"	"12"	"4"	"1"	"1"	"3"	"9"	"8"	"7"	"7"	"2"	"6"	"8"	"0"	"2"	"14"	"6"	"1"	"0"	"7"	"23"	"6"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"11"	"2"	"2"	"270"	"270"	"1"	"2"
"3937"	"4"	"1"	"15"	"2"	"400"	"31"	"24"	"59"	"1"	"10"	"6"	"2"	"3"	"2"	"9"	"8"	"7"	"2"	"1"	"6"	"3"	"0"	"2"	"22"	"10"	"0"	"1"	"3"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"18"	"0"	"0"	"246"	"246"	"1"	"0"
"3938"	"4"	"1"	"15"	"1"	"396"	"25"	"29"	"47"	"0"	"13"	"2"	"2"	"4"	"4"	"5"	"9"	"4"	"8"	"1"	"4"	"4"	"2"	"2"	"26"	"6"	"1"	"0"	"2"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"240"	"227"	"11"	"2"	"0"	"240"	"240"	"0"	"0"
"3939"	"4"	"1"	"15"	"2"	"400"	"29"	"22"	"66"	"0"	"10"	"5"	"6"	"1"	"4"	"3"	"10"	"5"	"6"	"1"	"10"	"5"	"0"	"1"	"15"	"6"	"2"	"0"	"6"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"3"	"0"	"241"	"241"	"1"	"0"
"3940"	"4"	"1"	"15"	"2"	"385"	"23"	"32"	"60"	"0"	"10"	"5"	"4"	"0"	"4"	"2"	"10"	"10"	"11"	"1"	"7"	"5"	"0"	"0"	"22"	"3"	"0"	"0"	"1"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"0"	"0"	"239"	"239"	"1"	"0"
"3941"	"4"	"1"	"15"	"2"	"394"	"36"	"28"	"54"	"2"	"5"	"5"	"5"	"0"	"1"	"5"	"13"	"4"	"4"	"0"	"3"	"5"	"0"	"2"	"23"	"5"	"0"	"0"	"2"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"15"	"3"	"18"	"237"	"237"	"1"	"0"
"3942"	"4"	"1"	"15"	"2"	"397"	"22"	"17"	"63"	"0"	"8"	"4"	"5"	"2"	"2"	"7"	"8"	"5"	"8"	"1"	"11"	"5"	"0"	"0"	"19"	"0"	"0"	"1"	"3"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"8"	"2"	"0"	"224"	"224"	"1"	"1"
"3943"	"4"	"1"	"15"	"2"	"400"	"40"	"27"	"58"	"1"	"10"	"2"	"3"	"3"	"2"	"8"	"8"	"5"	"6"	"2"	"9"	"1"	"0"	"1"	"19"	"3"	"0"	"0"	"3"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"22"	"1"	"0"	"253"	"251"	"0"	"2"
"3944"	"4"	"1"	"15"	"1"	"401"	"25"	"24"	"53"	"0"	"8"	"4"	"3"	"2"	"3"	"5"	"10"	"7"	"5"	"1"	"8"	"2"	"2"	"0"	"33"	"5"	"10"	"7"	"5"	"1"	"8"	"2"	"2"	"0"	"33"	"5"	"224"	"224"	"10"	"1"	"0"	"235"	"235"	"1"	"0"
"3945"	"4"	"1"	"15"	"2"	"401"	"24"	"22"	"71"	"2"	"13"	"9"	"3"	"2"	"1"	"7"	"7"	"5"	"2"	"8"	"5"	"0"	"2"	"15"	"2"	"6"	"1"	"2"	"6"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"230"	"234"	"8"	"5"	"0"	"243"	"247"	"0"	"0"
"3946"	"4"	"1"	"15"	"2"	"396"	"25"	"28"	"65"	"2"	"9"	"7"	"4"	"2"	"2"	"4"	"11"	"4"	"9"	"1"	"10"	"5"	"0"	"1"	"14"	"9"	"1"	"0"	"1"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"0"	"0"	"250"	"250"	"1"	"0"
"3947"	"4"	"1"	"15"	"2"	"400"	"22"	"28"	"67"	"2"	"12"	"7"	"3"	"2"	"2"	"1"	"12"	"5"	"7"	"0"	"5"	"4"	"1"	"0"	"23"	"4"	"1"	"0"	"4"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"4"	"0"	"247"	"247"	"1"	"0"
"3948"	"4"	"1"	"15"	"1"	"401"	"26"	"18"	"64"	"0"	"9"	"2"	"1"	"1"	"3"	"3"	"8"	"5"	"5"	"2"	"8"	"4"	"0"	"2"	"26"	"7"	"8"	"5"	"5"	"2"	"8"	"4"	"0"	"2"	"26"	"7"	"226"	"226"	"8"	"1"	"0"	"235"	"235"	"1"	"0"
"3949"	"4"	"1"	"15"	"1"	"400"	"19"	"14"	"56"	"2"	"7"	"2"	"5"	"3"	"3"	"5"	"10"	"12"	"7"	"0"	"5"	"6"	"1"	"6"	"20"	"5"	"0"	"2"	"3"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"10"	"4"	"0"	"225"	"225"	"1"	"0"
"3950"	"4"	"1"	"15"	"1"	"401"	"29"	"25"	"50"	"1"	"6"	"4"	"0"	"1"	"2"	"3"	"7"	"1"	"7"	"1"	"6"	"4"	"0"	"2"	"16"	"3"	"0"	"0"	"3"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"135"	"192"	"12"	"2"	"0"	"206"	"206"	"0"	"0"
"3951"	"4"	"1"	"15"	"1"	"397"	"18"	"20"	"51"	"1"	"9"	"6"	"1"	"0"	"0"	"8"	"12"	"6"	"6"	"0"	"3"	"2"	"1"	"1"	"18"	"5"	"1"	"1"	"4"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"12"	"2"	"0"	"213"	"213"	"1"	"0"
"3952"	"4"	"1"	"15"	"1"	"395"	"22"	"27"	"44"	"1"	"13"	"7"	"5"	"2"	"1"	"6"	"8"	"7"	"5"	"2"	"8"	"5"	"0"	"4"	"27"	"5"	"0"	"0"	"3"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"2"	"0"	"235"	"235"	"1"	"0"
"3953"	"4"	"1"	"15"	"2"	"393"	"33"	"23"	"65"	"2"	"17"	"4"	"5"	"0"	"0"	"6"	"6"	"3"	"6"	"0"	"17"	"2"	"0"	"4"	"15"	"8"	"0"	"1"	"2"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"3"	"1"	"252"	"252"	"1"	"0"
"3954"	"4"	"1"	"15"	"2"	"400"	"36"	"26"	"77"	"1"	"19"	"3"	"4"	"1"	"2"	"4"	"14"	"3"	"8"	"2"	"14"	"5"	"2"	"4"	"17"	"5"	"1"	"1"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"289"	"259"	"8"	"1"	"0"	"298"	"268"	"0"	"0"
"3955"	"4"	"1"	"15"	"1"	"251"	"0"	"25"	"35"	"2"	"7"	"3"	"4"	"0"	"1"	"5"	"3"	"3"	"1"	"10"	"4"	"3"	"1"	"0"	"17"	"2"	"3"	"3"	"1"	"10"	"4"	"3"	"1"	"0"	"17"	"2"	"148"	"148"	"3"	"2"	"0"	"153"	"153"	"1"	"0"
"3956"	"4"	"1"	"15"	"1"	"248"	"11"	"17"	"31"	"0"	"5"	"3"	"1"	"2"	"0"	"5"	"4"	"2"	"3"	"2"	"4"	"1"	"0"	"1"	"8"	"1"	"0"	"0"	"2"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"6"	"3"	"0"	"125"	"125"	"1"	"0"
"3957"	"4"	"1"	"15"	"1"	"400"	"30"	"25"	"23"	"4"	"23"	"4"	"1"	"3"	"9"	"11"	"17"	"10"	"5"	"1"	"6"	"10"	"0"	"7"	"29"	"5"	"0"	"0"	"3"	"22"	"22"	"0"	"0"	"0"	"0"	"0"	"254"	"270"	"0"	"3"	"19"	"257"	"273"	"0"	"0"
"3958"	"4"	"1"	"15"	"1"	"396"	"38"	"30"	"22"	"5"	"22"	"2"	"4"	"4"	"6"	"3"	"16"	"13"	"7"	"1"	"7"	"3"	"0"	"10"	"20"	"9"	"0"	"0"	"6"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"13"	"1"	"0"	"264"	"264"	"1"	"0"
"3959"	"4"	"1"	"15"	"1"	"400"	"33"	"36"	"21"	"6"	"18"	"7"	"9"	"4"	"9"	"4"	"17"	"11"	"4"	"1"	"4"	"3"	"0"	"3"	"25"	"8"	"0"	"2"	"11"	"30"	"4"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"7"	"3"	"0"	"280"	"280"	"1"	"0"
"3960"	"4"	"1"	"15"	"1"	"397"	"33"	"30"	"23"	"5"	"23"	"1"	"2"	"7"	"5"	"3"	"12"	"8"	"9"	"1"	"6"	"4"	"0"	"8"	"23"	"5"	"0"	"1"	"5"	"29"	"9"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"0"	"0"	"263"	"263"	"1"	"0"
"3961"	"4"	"1"	"15"	"1"	"400"	"37"	"28"	"26"	"5"	"20"	"6"	"3"	"5"	"7"	"3"	"15"	"11"	"4"	"0"	"6"	"5"	"2"	"6"	"14"	"8"	"0"	"0"	"3"	"34"	"6"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"1"	"0"	"262"	"262"	"1"	"0"
"3962"	"4"	"1"	"15"	"1"	"399"	"22"	"44"	"20"	"6"	"15"	"5"	"4"	"6"	"6"	"12"	"15"	"9"	"11"	"0"	"6"	"4"	"1"	"3"	"18"	"9"	"2"	"0"	"4"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"8"	"1"	"0"	"262"	"262"	"1"	"0"
"3963"	"4"	"1"	"15"	"1"	"400"	"21"	"34"	"13"	"2"	"15"	"7"	"4"	"2"	"5"	"10"	"16"	"13"	"11"	"2"	"6"	"2"	"1"	"14"	"27"	"7"	"0"	"0"	"7"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"3"	"0"	"268"	"268"	"1"	"0"
