"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"FUERZA"	"UNE"	"SEMILLA"	"PC"	"MLP"	"TODOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8030"	"4"	"7"	"4"	"2"	"380"	"47"	"69"	"16"	"50"	"22"	"44"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"8"	"0"	"279"	"279"	"1"	"0"
"8031"	"4"	"7"	"4"	"2"	"377"	"43"	"61"	"13"	"94"	"7"	"35"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"9"	"5"	"0"	"284"	"284"	"1"	"0"
"8032"	"4"	"7"	"4"	"2"	"376"	"38"	"71"	"16"	"101"	"2"	"31"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"3"	"0"	"281"	"281"	"1"	"0"
"8033"	"4"	"7"	"4"	"2"	"376"	"41"	"55"	"14"	"57"	"12"	"87"	"5"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"5"	"3"	"0"	"296"	"296"	"1"	"0"
"8034"	"4"	"7"	"4"	"2"	"376"	"50"	"46"	"11"	"112"	"13"	"26"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"7"	"0"	"287"	"287"	"1"	"0"
"8035"	"4"	"7"	"4"	"2"	"380"	"63"	"60"	"2"	"62"	"19"	"48"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"6"	"0"	"289"	"288"	"0"	"1"
"8036"	"4"	"7"	"4"	"2"	"376"	"55"	"90"	"1"	"45"	"10"	"62"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"13"	"0"	"293"	"293"	"1"	"0"
"8037"	"4"	"7"	"4"	"2"	"376"	"48"	"66"	"2"	"57"	"13"	"53"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"6"	"0"	"266"	"266"	"1"	"0"
"8038"	"4"	"7"	"4"	"2"	"374"	"21"	"65"	"6"	"78"	"17"	"65"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"11"	"7"	"0"	"289"	"289"	"1"	"0"
"8039"	"4"	"7"	"4"	"2"	"376"	"46"	"62"	"7"	"47"	"15"	"54"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"1"	"1"	"0"	"250"	"250"	"1"	"0"
"8040"	"4"	"7"	"4"	"2"	"374"	"48"	"63"	"7"	"48"	"16"	"57"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"5"	"0"	"260"	"260"	"1"	"0"
"8041"	"4"	"7"	"4"	"2"	"374"	"35"	"46"	"10"	"69"	"14"	"52"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"7"	"3"	"0"	"258"	"258"	"1"	"0"
"8042"	"4"	"7"	"4"	"2"	"376"	"33"	"58"	"14"	"63"	"18"	"59"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"1"	"1"	"0"	"264"	"264"	"1"	"0"
"8043"	"4"	"7"	"4"	"2"	"183"	"18"	"43"	"12"	"37"	"8"	"22"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"0"	"1"	"0"	"153"	"153"	"1"	"0"
"8044"	"4"	"7"	"4"	"2"	"190"	"15"	"30"	"8"	"32"	"9"	"40"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"1"	"0"	"0"	"143"	"143"	"1"	"0"
"8045"	"4"	"7"	"4"	"2"	"310"	"32"	"25"	"8"	"16"	"13"	"45"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"7"	"8"	"0"	"158"	"158"	"1"	"0"
"8046"	"4"	"7"	"4"	"2"	"309"	"22"	"23"	"7"	"19"	"7"	"21"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"2"	"5"	"0"	"109"	"109"	"1"	"2"
