"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"BIEN"	"FUERZA"	"PPT"	"WINAQ_URNG"	"PC"	"VALOR"	"MLP"	"UCN"	"FCN_NACION"	"EG"	"UNIDOS"	"SEMILLA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11831"	"4"	"12"	"6"	"2"	"228"	"14"	"13"	"36"	"5"	"0"	"1"	"1"	"5"	"15"	"0"	"0"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"12"	"8"	"0"	"121"	"121"	"1"	"0"
"11832"	"4"	"12"	"6"	"2"	"380"	"31"	"3"	"20"	"12"	"3"	"1"	"3"	"3"	"7"	"2"	"2"	"74"	"1"	"4"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"31"	"18"	"0"	"241"	"241"	"1"	"0"
"11833"	"4"	"12"	"6"	"2"	"380"	"36"	"3"	"13"	"9"	"2"	"2"	"1"	"9"	"5"	"0"	"4"	"35"	"3"	"3"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"23"	"19"	"0"	"200"	"200"	"1"	"0"
"11834"	"4"	"12"	"6"	"2"	"239"	"19"	"4"	"6"	"6"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"25"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"86"	"83"	"7"	"20"	"0"	"113"	"110"	"0"	"0"
"11835"	"4"	"12"	"6"	"2"	"238"	"13"	"2"	"5"	"5"	"0"	"1"	"2"	"4"	"1"	"0"	"0"	"16"	"1"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"6"	"8"	"0"	"84"	"84"	"1"	"0"
"11836"	"4"	"12"	"6"	"2"	"380"	"46"	"20"	"30"	"8"	"0"	"4"	"11"	"1"	"49"	"0"	"1"	"9"	"3"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"30"	"11"	"0"	"243"	"243"	"1"	"0"
"11837"	"4"	"12"	"6"	"2"	"380"	"56"	"13"	"29"	"12"	"2"	"2"	"11"	"1"	"22"	"1"	"2"	"10"	"5"	"5"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"0"	"0"	"0"	"0"	"200"	"0"	"0"
"11838"	"4"	"12"	"6"	"2"	"295"	"30"	"4"	"24"	"13"	"1"	"2"	"4"	"1"	"30"	"0"	"0"	"11"	"0"	"5"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"11"	"11"	"0"	"162"	"162"	"1"	"0"
"11839"	"4"	"12"	"6"	"2"	"295"	"23"	"8"	"24"	"4"	"0"	"2"	"0"	"0"	"25"	"2"	"2"	"0"	"2"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"105"	"12"	"13"	"0"	"138"	"130"	"0"	"0"
"11840"	"4"	"12"	"6"	"2"	"0"	"40"	"2"	"104"	"4"	"0"	"3"	"1"	"2"	"3"	"0"	"0"	"39"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"31"	"16"	"0"	"253"	"253"	"1"	"0"
