"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"VIVA"	"CONVERGENCIA"	"VAMOS"	"URNG_MAIZ"	"LIBRE"	"PC"	"TODOS"	"JPU"	"MLP"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15417"	"4"	"14"	"15"	"2"	"380"	"79"	"10"	"20"	"6"	"4"	"8"	"1"	"31"	"3"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"15"	"9"	"0"	"195"	"195"	"1"	"0"
"15418"	"4"	"14"	"15"	"2"	"380"	"95"	"16"	"25"	"4"	"2"	"3"	"3"	"20"	"3"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"12"	"7"	"0"	"202"	"202"	"1"	"0"
"15419"	"4"	"14"	"15"	"2"	"390"	"72"	"11"	"22"	"7"	"2"	"6"	"0"	"35"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"10"	"12"	"1"	"180"	"180"	"1"	"0"
"15420"	"4"	"14"	"15"	"2"	"380"	"74"	"14"	"23"	"6"	"1"	"8"	"1"	"27"	"1"	"13"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"11"	"10"	"0"	"197"	"197"	"1"	"0"
"15421"	"4"	"14"	"15"	"2"	"380"	"71"	"12"	"25"	"3"	"1"	"7"	"1"	"38"	"1"	"21"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"12"	"2"	"0"	"198"	"198"	"1"	"0"
"15422"	"4"	"14"	"15"	"2"	"380"	"119"	"15"	"18"	"5"	"3"	"6"	"0"	"13"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"18"	"10"	"0"	"217"	"217"	"1"	"0"
"15423"	"4"	"14"	"15"	"2"	"380"	"85"	"8"	"15"	"2"	"2"	"5"	"2"	"28"	"2"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"12"	"10"	"0"	"181"	"181"	"1"	"0"
"15424"	"4"	"14"	"15"	"2"	"245"	"89"	"9"	"19"	"0"	"1"	"1"	"0"	"21"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"0"	"1"	"0"	"144"	"144"	"1"	"0"
"15425"	"4"	"14"	"15"	"2"	"242"	"50"	"7"	"18"	"0"	"2"	"4"	"2"	"28"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"7"	"3"	"0"	"130"	"130"	"1"	"0"
"15426"	"4"	"14"	"15"	"2"	"483"	"94"	"0"	"28"	"3"	"6"	"2"	"0"	"16"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"7"	"12"	"0"	"173"	"173"	"1"	"0"
"15427"	"4"	"14"	"15"	"2"	"486"	"25"	"0"	"9"	"1"	"2"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"44"	"44"	"2"	"4"	"0"	"50"	"50"	"1"	"0"
