"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"VIVA"	"CONVERGENCIA"	"VAMOS"	"URNG_MAIZ"	"LIBRE"	"PC"	"TODOS"	"JPU"	"MLP"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15368"	"4"	"14"	"15"	"1"	"400"	"123"	"0"	"18"	"5"	"4"	"7"	"0"	"96"	"0"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"7"	"0"	"283"	"283"	"1"	"0"
"15369"	"4"	"14"	"15"	"2"	"400"	"130"	"0"	"11"	"4"	"3"	"4"	"0"	"94"	"2"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"14"	"15"	"0"	"289"	"289"	"1"	"0"
"15370"	"4"	"14"	"15"	"2"	"400"	"142"	"0"	"17"	"4"	"5"	"1"	"0"	"66"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"12"	"16"	"0"	"268"	"268"	"1"	"0"
"15371"	"4"	"14"	"15"	"1"	"400"	"130"	"2"	"30"	"4"	"2"	"1"	"0"	"39"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"4"	"0"	"222"	"222"	"1"	"0"
"15372"	"4"	"14"	"15"	"1"	"400"	"114"	"1"	"22"	"3"	"6"	"4"	"0"	"46"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"2"	"4"	"0"	"210"	"210"	"1"	"0"
"15373"	"4"	"14"	"15"	"2"	"400"	"121"	"1"	"23"	"1"	"9"	"0"	"0"	"37"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"4"	"3"	"0"	"205"	"205"	"1"	"0"
"15374"	"4"	"14"	"15"	"2"	"400"	"135"	"1"	"37"	"4"	"13"	"3"	"0"	"44"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"6"	"3"	"0"	"250"	"250"	"1"	"0"
"15375"	"4"	"14"	"15"	"2"	"400"	"130"	"0"	"23"	"1"	"11"	"3"	"0"	"45"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"3"	"7"	"0"	"228"	"228"	"1"	"0"
"15376"	"4"	"14"	"15"	"2"	"400"	"123"	"2"	"19"	"3"	"6"	"0"	"0"	"34"	"1"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"6"	"4"	"0"	"207"	"207"	"1"	"0"
"15377"	"4"	"14"	"15"	"2"	"400"	"115"	"0"	"32"	"1"	"9"	"2"	"0"	"50"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"3"	"0"	"224"	"224"	"1"	"0"
"15378"	"4"	"14"	"15"	"2"	"400"	"132"	"0"	"27"	"2"	"10"	"7"	"0"	"58"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"1"	"5"	"0"	"252"	"252"	"1"	"0"
"15379"	"4"	"14"	"15"	"1"	"399"	"154"	"0"	"43"	"4"	"6"	"1"	"0"	"48"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"2"	"0"	"269"	"269"	"1"	"0"
"15380"	"4"	"14"	"15"	"2"	"400"	"143"	"0"	"47"	"3"	"2"	"2"	"0"	"75"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"3"	"3"	"0"	"288"	"288"	"1"	"0"
"15381"	"4"	"14"	"15"	"2"	"380"	"131"	"0"	"25"	"1"	"7"	"3"	"0"	"64"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"3"	"5"	"0"	"246"	"246"	"1"	"0"
"15382"	"4"	"14"	"15"	"2"	"380"	"144"	"1"	"18"	"3"	"11"	"2"	"0"	"66"	"0"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"12"	"9"	"0"	"276"	"276"	"1"	"0"
"15383"	"4"	"14"	"15"	"2"	"380"	"142"	"2"	"19"	"4"	"13"	"1"	"9"	"55"	"1"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"9"	"0"	"277"	"277"	"1"	"0"
"15384"	"4"	"14"	"15"	"2"	"327"	"82"	"2"	"14"	"2"	"8"	"1"	"0"	"62"	"1"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"9"	"6"	"0"	"199"	"199"	"1"	"0"
"15385"	"4"	"14"	"15"	"1"	"327"	"90"	"0"	"9"	"2"	"5"	"1"	"0"	"80"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"3"	"5"	"0"	"202"	"202"	"1"	"0"
