"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"FCN_NACION"	"BIEN"	"UNIONISTA"	"PHG"	"VIVA"	"PC"	"LIBRE"	"CREO"	"EG"	"URNG_MAIZ"	"VICTORIA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12597"	"4"	"12"	"20"	"2"	"380"	"52"	"32"	"15"	"3"	"11"	"10"	"3"	"28"	"0"	"19"	"3"	"11"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"30"	"9"	"0"	"236"	"236"	"1"	"0"
"12598"	"4"	"12"	"20"	"2"	"380"	"46"	"31"	"7"	"3"	"7"	"9"	"2"	"34"	"2"	"15"	"1"	"14"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"21"	"8"	"0"	"219"	"219"	"1"	"0"
"12599"	"4"	"12"	"20"	"2"	"375"	"37"	"44"	"4"	"7"	"14"	"8"	"1"	"29"	"0"	"25"	"7"	"16"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"19"	"9"	"0"	"230"	"230"	"1"	"0"
"12600"	"4"	"12"	"20"	"2"	"380"	"52"	"32"	"4"	"7"	"17"	"12"	"2"	"31"	"1"	"29"	"11"	"12"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"9"	"0"	"253"	"253"	"1"	"0"
"12601"	"4"	"12"	"20"	"2"	"380"	"48"	"32"	"3"	"3"	"13"	"5"	"3"	"43"	"1"	"26"	"6"	"10"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"214"	"17"	"13"	"1"	"245"	"244"	"0"	"0"
"12602"	"4"	"12"	"20"	"2"	"380"	"45"	"35"	"5"	"2"	"5"	"6"	"1"	"49"	"1"	"28"	"3"	"11"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"19"	"16"	"0"	"241"	"241"	"1"	"0"
"12603"	"4"	"12"	"20"	"2"	"376"	"47"	"34"	"3"	"3"	"17"	"9"	"2"	"30"	"0"	"27"	"1"	"12"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"12"	"5"	"0"	"213"	"213"	"1"	"0"
"12604"	"4"	"12"	"20"	"2"	"374"	"44"	"28"	"5"	"6"	"17"	"7"	"0"	"22"	"0"	"27"	"2"	"14"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"22"	"6"	"0"	"213"	"213"	"1"	"0"
"12605"	"4"	"12"	"20"	"2"	"380"	"46"	"34"	"2"	"1"	"13"	"8"	"2"	"31"	"0"	"21"	"9"	"11"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"8"	"8"	"0"	"209"	"209"	"1"	"0"
"12606"	"4"	"12"	"20"	"2"	"375"	"37"	"28"	"3"	"7"	"15"	"6"	"0"	"26"	"0"	"44"	"6"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"19"	"4"	"0"	"220"	"217"	"0"	"3"
"12607"	"4"	"12"	"20"	"2"	"376"	"48"	"35"	"1"	"3"	"16"	"10"	"3"	"20"	"0"	"30"	"6"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"21"	"9"	"0"	"224"	"224"	"1"	"0"
"12608"	"4"	"12"	"20"	"2"	"380"	"36"	"19"	"7"	"4"	"16"	"9"	"3"	"33"	"0"	"26"	"4"	"8"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"12"	"5"	"0"	"201"	"201"	"1"	"0"
"12609"	"4"	"12"	"20"	"2"	"211"	"31"	"26"	"5"	"0"	"7"	"6"	"2"	"31"	"0"	"19"	"3"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"2"	"0"	"0"	"150"	"150"	"1"	"0"
"12610"	"4"	"12"	"20"	"2"	"211"	"29"	"11"	"3"	"1"	"8"	"7"	"0"	"18"	"0"	"17"	"4"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"4"	"0"	"0"	"121"	"121"	"1"	"0"
"12611"	"4"	"12"	"20"	"2"	"263"	"73"	"12"	"1"	"5"	"2"	"12"	"2"	"1"	"0"	"20"	"42"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"12"	"8"	"0"	"193"	"193"	"1"	"0"
"12612"	"4"	"12"	"20"	"2"	"262"	"58"	"10"	"1"	"5"	"2"	"9"	"0"	"2"	"0"	"12"	"38"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"9"	"2"	"0"	"150"	"150"	"1"	"0"
"12613"	"4"	"12"	"20"	"2"	"514"	"25"	"9"	"1"	"0"	"3"	"2"	"1"	"4"	"0"	"8"	"11"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"5"	"3"	"0"	"89"	"89"	"1"	"0"
"12614"	"4"	"12"	"20"	"2"	"514"	"20"	"4"	"3"	"1"	"4"	"1"	"0"	"4"	"1"	"10"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"63"	"63"	"1"	"3"	"0"	"67"	"67"	"1"	"0"
