"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PC"	"FCN_NACION"	"BIEN"	"VALOR"	"PAN"	"UNIONISTA"	"VIVA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20794"	"4"	"22"	"12"	"2"	"376"	"160"	"4"	"73"	"24"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"20"	"2"	"0"	"287"	"287"	"1"	"0"
"20795"	"4"	"22"	"12"	"2"	"379"	"174"	"4"	"52"	"24"	"4"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"12"	"7"	"0"	"28"	"284"	"0"	"0"
"20796"	"4"	"22"	"12"	"2"	"379"	"159"	"7"	"61"	"24"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"12"	"4"	"0"	"272"	"272"	"1"	"0"
"20797"	"4"	"22"	"12"	"2"	"286"	"126"	"1"	"38"	"21"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"4"	"0"	"0"	"197"	"197"	"1"	"0"
"20798"	"4"	"22"	"12"	"2"	"286"	"126"	"5"	"51"	"15"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"2"	"10"	"0"	"212"	"212"	"1"	"0"
"20799"	"4"	"22"	"12"	"2"	"380"	"110"	"7"	"69"	"34"	"6"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"15"	"4"	"0"	"253"	"253"	"1"	"1"
"20800"	"4"	"22"	"12"	"2"	"378"	"124"	"5"	"78"	"20"	"5"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"15"	"4"	"0"	"262"	"262"	"1"	"0"
"20801"	"4"	"22"	"12"	"2"	"378"	"118"	"5"	"88"	"28"	"7"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"8"	"2"	"0"	"261"	"261"	"1"	"0"
"20802"	"4"	"22"	"12"	"2"	"372"	"102"	"5"	"83"	"33"	"4"	"6"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"17"	"8"	"0"	"267"	"267"	"1"	"0"
"20803"	"4"	"22"	"12"	"2"	"372"	"135"	"5"	"79"	"37"	"3"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"1"	"2"	"3"	"265"	"268"	"0"	"0"
"20804"	"4"	"22"	"12"	"2"	"383"	"135"	"10"	"84"	"24"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"9"	"0"	"287"	"287"	"1"	"0"
"20805"	"4"	"22"	"12"	"2"	"377"	"127"	"5"	"100"	"19"	"8"	"3"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"22"	"9"	"0"	"301"	"301"	"1"	"0"
"20806"	"4"	"22"	"12"	"2"	"380"	"115"	"5"	"101"	"28"	"5"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"12"	"9"	"0"	"281"	"281"	"1"	"0"
"20807"	"4"	"22"	"12"	"2"	"242"	"72"	"3"	"52"	"16"	"2"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"11"	"3"	"0"	"166"	"166"	"1"	"0"
"20808"	"4"	"22"	"12"	"2"	"242"	"77"	"3"	"57"	"24"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"2"	"1"	"0"	"171"	"171"	"1"	"0"
"20809"	"4"	"22"	"12"	"2"	"608"	"92"	"14"	"76"	"29"	"2"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"8"	"4"	"0"	"238"	"238"	"1"	"0"
"20810"	"4"	"22"	"12"	"2"	"531"	"77"	"7"	"59"	"22"	"7"	"4"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"7"	"4"	"0"	"193"	"193"	"1"	"0"
"20811"	"4"	"22"	"12"	"2"	"527"	"34"	"8"	"26"	"8"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"3"	"4"	"0"	"88"	"88"	"1"	"0"
