"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"MLP"	"PC"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19038"	"4"	"19"	"5"	"2"	"400"	"151"	"21"	"70"	"4"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"0"	"0"	"280"	"280"	"1"	"0"
"19039"	"4"	"19"	"5"	"2"	"401"	"158"	"25"	"68"	"6"	"2"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"1"	"0"	"295"	"295"	"1"	"0"
"19040"	"4"	"19"	"5"	"2"	"400"	"151"	"26"	"63"	"7"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"1"	"0"	"291"	"291"	"1"	"3"
"19041"	"4"	"19"	"5"	"2"	"400"	"139"	"24"	"59"	"8"	"5"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"18"	"1"	"0"	"284"	"284"	"1"	"0"
"19042"	"4"	"19"	"5"	"2"	"400"	"143"	"28"	"74"	"5"	"3"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"4"	"2"	"0"	"285"	"285"	"1"	"0"
"19043"	"4"	"19"	"5"	"2"	"332"	"127"	"27"	"56"	"4"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"3"	"1"	"0"	"248"	"248"	"1"	"0"
"19044"	"4"	"19"	"5"	"2"	"331"	"148"	"17"	"65"	"3"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"6"	"0"	"0"	"257"	"257"	"1"	"0"
"19045"	"4"	"19"	"5"	"2"	"400"	"114"	"40"	"75"	"4"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"18"	"3"	"0"	"278"	"278"	"1"	"0"
"19046"	"4"	"19"	"5"	"2"	"400"	"130"	"31"	"68"	"12"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"22"	"9"	"0"	"293"	"293"	"1"	"0"
"19047"	"4"	"19"	"5"	"2"	"394"	"132"	"29"	"64"	"5"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"20"	"3"	"1"	"272"	"272"	"1"	"0"
"19048"	"4"	"19"	"5"	"2"	"390"	"134"	"45"	"82"	"2"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"13"	"1"	"0"	"290"	"290"	"1"	"0"
"19049"	"4"	"19"	"5"	"2"	"380"	"91"	"125"	"60"	"10"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"2"	"5"	"8"	"310"	"310"	"1"	"0"
"19050"	"4"	"19"	"5"	"2"	"285"	"55"	"81"	"39"	"8"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"15"	"2"	"0"	"214"	"214"	"1"	"0"
"19051"	"4"	"19"	"5"	"2"	"285"	"69"	"91"	"53"	"3"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"0"	"0"	"238"	"238"	"1"	"0"
"19052"	"4"	"19"	"5"	"2"	"567"	"132"	"27"	"53"	"11"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"5"	"0"	"257"	"257"	"1"	"0"
"19053"	"4"	"19"	"5"	"2"	"563"	"120"	"20"	"56"	"7"	"1"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"16"	"3"	"0"	"254"	"254"	"1"	"0"
