"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"TODOS"	"UNIONISTA"	"VALOR"	"UNE"	"VAMOS"	"PAN"	"LIBRE"	"FCN_NACION"	"UCN"	"VICTORIA"	"SEMILLA"	"PPT"	"PC"	"AVANZA"	"EG"	"VIVA"	"WINAQ_URNG"	"CREO"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4592"	"4"	"1"	"17"	"2"	"264"	"11"	"6"	"16"	"51"	"9"	"8"	"3"	"8"	"3"	"8"	"1"	"24"	"1"	"0"	"4"	"6"	"10"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"8"	"0"	"0"	"202"	"202"	"1"	"0"
"4593"	"4"	"1"	"17"	"1"	"373"	"3"	"9"	"104"	"37"	"29"	"5"	"26"	"4"	"3"	"6"	"1"	"3"	"0"	"1"	"2"	"0"	"7"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"16"	"5"	"0"	"278"	"278"	"1"	"0"
"4594"	"4"	"1"	"17"	"1"	"373"	"7"	"9"	"102"	"18"	"28"	"1"	"24"	"8"	"4"	"2"	"0"	"1"	"1"	"1"	"1"	"3"	"5"	"2"	"15"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"5"	"2"	"15"	"0"	"233"	"232"	"6"	"4"	"130"	"243"	"242"	"0"	"0"
"4595"	"4"	"1"	"17"	"1"	"373"	"15"	"4"	"104"	"28"	"31"	"3"	"19"	"2"	"0"	"10"	"2"	"5"	"0"	"1"	"2"	"0"	"6"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"2"	"0"	"272"	"272"	"1"	"0"
"4596"	"4"	"1"	"17"	"1"	"376"	"6"	"8"	"111"	"32"	"16"	"2"	"19"	"0"	"3"	"4"	"3"	"5"	"0"	"3"	"2"	"2"	"5"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"17"	"1"	"0"	"259"	"259"	"1"	"0"
"4597"	"4"	"1"	"17"	"1"	"373"	"4"	"5"	"128"	"33"	"22"	"4"	"28"	"3"	"1"	"6"	"0"	"6"	"1"	"4"	"2"	"0"	"4"	"5"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"1"	"0"	"289"	"289"	"1"	"0"
"4598"	"4"	"1"	"17"	"1"	"374"	"8"	"11"	"123"	"30"	"19"	"1"	"21"	"2"	"1"	"6"	"0"	"6"	"0"	"2"	"1"	"1"	"4"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"5"	"1"	"0"	"266"	"266"	"1"	"0"
"4599"	"4"	"1"	"17"	"1"	"375"	"7"	"8"	"119"	"23"	"18"	"2"	"16"	"5"	"0"	"3"	"0"	"6"	"0"	"4"	"3"	"2"	"5"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"0"	"126"	"249"	"249"	"1"	"0"
"4600"	"4"	"1"	"17"	"1"	"376"	"16"	"9"	"108"	"28"	"20"	"5"	"14"	"1"	"1"	"10"	"0"	"7"	"0"	"1"	"3"	"1"	"7"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"14"	"0"	"0"	"260"	"260"	"1"	"0"
"4601"	"4"	"1"	"17"	"1"	"380"	"11"	"6"	"104"	"26"	"24"	"2"	"16"	"3"	"3"	"5"	"3"	"3"	"1"	"3"	"2"	"2"	"8"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"8"	"3"	"0"	"251"	"251"	"1"	"0"
"4602"	"4"	"1"	"17"	"1"	"376"	"8"	"7"	"127"	"30"	"17"	"4"	"22"	"5"	"2"	"8"	"1"	"7"	"1"	"5"	"0"	"4"	"5"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"6"	"1"	"0"	"273"	"273"	"1"	"0"
"4603"	"4"	"1"	"17"	"1"	"373"	"7"	"9"	"106"	"36"	"16"	"0"	"23"	"3"	"1"	"3"	"1"	"5"	"1"	"1"	"1"	"2"	"9"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"18"	"3"	"0"	"270"	"270"	"1"	"0"
