"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"VAMOS"	"UCN"	"UNE"	"URNG_MAIZ"	"TODOS"	"VIVA"	"WINAQ"	"FCN_NACION"	"SEMILLA"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"PHG"	"UNIDOS"	"COMITÉ_CÍVICO_EL_CAMPESINO"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15652"	"4"	"14"	"20"	"2"	"380"	"8"	"7"	"0"	"37"	"75"	"1"	"11"	"9"	"3"	"0"	"7"	"4"	"8"	"4"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"18"	"8"	"0"	"207"	"207"	"1"	"0"
"15653"	"4"	"14"	"20"	"2"	"376"	"10"	"8"	"0"	"14"	"73"	"1"	"11"	"7"	"4"	"4"	"8"	"3"	"13"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"12"	"4"	"3"	"186"	"186"	"1"	"0"
"15654"	"4"	"14"	"20"	"2"	"380"	"10"	"6"	"2"	"29"	"61"	"2"	"13"	"6"	"4"	"4"	"5"	"1"	"8"	"2"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"18"	"6"	"0"	"190"	"190"	"1"	"0"
"15655"	"4"	"14"	"20"	"2"	"204"	"6"	"5"	"0"	"9"	"28"	"3"	"3"	"4"	"2"	"4"	"2"	"1"	"4"	"1"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"2"	"1"	"0"	"84"	"84"	"1"	"0"
"15656"	"4"	"14"	"20"	"2"	"203"	"5"	"7"	"0"	"11"	"37"	"1"	"5"	"2"	"4"	"1"	"3"	"0"	"13"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"3"	"0"	"0"	"99"	"99"	"1"	"0"
"15657"	"4"	"14"	"20"	"2"	"380"	"3"	"0"	"23"	"49"	"65"	"1"	"1"	"2"	"4"	"18"	"1"	"2"	"17"	"2"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"15"	"6"	"0"	"215"	"215"	"1"	"0"
"15658"	"4"	"14"	"20"	"2"	"380"	"1"	"0"	"19"	"37"	"71"	"0"	"5"	"1"	"4"	"13"	"1"	"2"	"14"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"0"	"5"	"11"	"178"	"178"	"1"	"0"
"15659"	"4"	"14"	"20"	"2"	"248"	"3"	"0"	"9"	"20"	"38"	"1"	"0"	"2"	"2"	"6"	"1"	"1"	"8"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"12"	"5"	"0"	"112"	"112"	"1"	"0"
"15660"	"4"	"14"	"20"	"2"	"247"	"1"	"3"	"6"	"19"	"38"	"0"	"4"	"0"	"4"	"8"	"0"	"1"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"4"	"1"	"0"	"98"	"98"	"1"	"0"
"15661"	"4"	"14"	"20"	"2"	"380"	"2"	"8"	"3"	"35"	"75"	"2"	"2"	"3"	"4"	"11"	"25"	"4"	"16"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"11"	"8"	"0"	"220"	"220"	"1"	"0"
"15662"	"4"	"14"	"20"	"2"	"376"	"5"	"6"	"2"	"20"	"151"	"1"	"1"	"1"	"2"	"11"	"16"	"0"	"12"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"12"	"4"	"0"	"249"	"249"	"1"	"0"
"15663"	"4"	"14"	"20"	"2"	"380"	"5"	"10"	"0"	"29"	"58"	"3"	"2"	"1"	"5"	"13"	"14"	"3"	"22"	"2"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"15"	"6"	"0"	"201"	"201"	"1"	"0"
"15664"	"4"	"14"	"20"	"2"	"380"	"7"	"8"	"1"	"26"	"57"	"1"	"7"	"2"	"3"	"11"	"26"	"3"	"25"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"21"	"7"	"0"	"210"	"210"	"1"	"0"
"15665"	"4"	"14"	"20"	"2"	"380"	"1"	"11"	"2"	"29"	"54"	"2"	"2"	"1"	"5"	"13"	"14"	"2"	"26"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"17"	"6"	"0"	"198"	"198"	"1"	"0"
"15666"	"4"	"14"	"20"	"2"	"380"	"4"	"7"	"1"	"34"	"50"	"2"	"3"	"5"	"1"	"15"	"15"	"1"	"24"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"15"	"8"	"0"	"199"	"199"	"1"	"0"
"15667"	"4"	"14"	"20"	"2"	"380"	"3"	"7"	"3"	"39"	"33"	"6"	"2"	"0"	"4"	"7"	"16"	"2"	"30"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"15"	"10"	"0"	"188"	"188"	"1"	"0"
"15668"	"4"	"14"	"20"	"2"	"380"	"4"	"9"	"2"	"30"	"37"	"1"	"4"	"3"	"4"	"11"	"9"	"2"	"22"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"19"	"3"	"0"	"170"	"170"	"1"	"0"
"15669"	"4"	"14"	"20"	"2"	"211"	"2"	"9"	"0"	"13"	"32"	"1"	"3"	"0"	"2"	"7"	"8"	"0"	"13"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"2"	"4"	"0"	"100"	"100"	"1"	"0"
"15670"	"4"	"14"	"20"	"2"	"208"	"3"	"3"	"0"	"12"	"56"	"1"	"0"	"0"	"0"	"3"	"3"	"1"	"13"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"0"	"4"	"0"	"102"	"102"	"1"	"0"
"15671"	"4"	"14"	"20"	"2"	"380"	"4"	"4"	"2"	"48"	"32"	"5"	"2"	"3"	"3"	"9"	"3"	"2"	"13"	"1"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"16"	"10"	"0"	"172"	"172"	"1"	"0"
"15672"	"4"	"14"	"20"	"2"	"380"	"2"	"11"	"1"	"52"	"26"	"3"	"1"	"5"	"2"	"7"	"7"	"1"	"28"	"2"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"27"	"6"	"0"	"200"	"200"	"1"	"0"
"15673"	"4"	"14"	"20"	"2"	"380"	"4"	"10"	"2"	"38"	"35"	"2"	"0"	"4"	"0"	"7"	"1"	"0"	"8"	"0"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"13"	"9"	"0"	"158"	"158"	"1"	"0"
"15674"	"4"	"14"	"20"	"2"	"380"	"4"	"28"	"1"	"37"	"21"	"1"	"1"	"6"	"0"	"3"	"7"	"1"	"6"	"0"	"1"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"7"	"10"	"0"	"161"	"161"	"1"	"0"
"15675"	"4"	"14"	"20"	"2"	"380"	"5"	"9"	"2"	"34"	"31"	"2"	"2"	"6"	"0"	"6"	"4"	"0"	"12"	"2"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"31"	"8"	"39"	"174"	"174"	"1"	"0"
"15676"	"4"	"14"	"20"	"2"	"380"	"6"	"10"	"2"	"43"	"26"	"1"	"0"	"5"	"1"	"3"	"2"	"2"	"16"	"0"	"1"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"19"	"13"	"0"	"195"	"195"	"1"	"0"
"15677"	"4"	"14"	"20"	"2"	"380"	"0"	"10"	"3"	"45"	"17"	"2"	"1"	"3"	"0"	"3"	"2"	"0"	"18"	"0"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"11"	"12"	"0"	"161"	"161"	"1"	"0"
"15678"	"4"	"14"	"20"	"2"	"200"	"3"	"9"	"2"	"20"	"11"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"10"	"1"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"6"	"2"	"0"	"91"	"91"	"1"	"0"
"15679"	"4"	"14"	"20"	"2"	"200"	"4"	"9"	"0"	"20"	"9"	"1"	"2"	"1"	"1"	"2"	"3"	"0"	"10"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"1"	"7"	"0"	"84"	"84"	"1"	"0"
"15680"	"4"	"14"	"20"	"2"	"600"	"0"	"1"	"1"	"9"	"35"	"0"	"1"	"2"	"3"	"6"	"0"	"0"	"12"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"75"	"10"	"5"	"0"	"90"	"90"	"1"	"0"
"15681"	"4"	"14"	"20"	"2"	"455"	"1"	"3"	"2"	"10"	"13"	"1"	"1"	"0"	"3"	"5"	"0"	"0"	"8"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"54"	"4"	"1"	"0"	"59"	"59"	"1"	"0"
"15682"	"4"	"14"	"20"	"2"	"454"	"2"	"3"	"2"	"4"	"7"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"5"	"2"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"42"	"42"	"7"	"2"	"0"	"51"	"51"	"1"	"0"
