"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"COCIEES"	"CCA"	"COCIEP"	"BIEN"	"PODEMOS"	"MLP"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15816"	"4"	"15"	"2"	"2"	"380"	"1"	"0"	"0"	"15"	"157"	"56"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"10"	"4"	"0"	"249"	"249"	"1"	"0"
"15817"	"4"	"15"	"2"	"2"	"248"	"1"	"0"	"0"	"11"	"105"	"38"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"1"	"0"	"0"	"159"	"159"	"1"	"0"
"15818"	"4"	"15"	"2"	"2"	"247"	"1"	"0"	"0"	"9"	"88"	"60"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"3"	"2"	"0"	"166"	"166"	"1"	"0"
"15819"	"4"	"15"	"2"	"2"	"232"	"7"	"2"	"0"	"55"	"18"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"36"	"2"	"0"	"174"	"174"	"1"	"0"
"15820"	"4"	"15"	"2"	"2"	"231"	"10"	"1"	"0"	"48"	"47"	"42"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"37"	"3"	"0"	"189"	"189"	"1"	"0"
"15821"	"4"	"15"	"2"	"2"	"400"	"6"	"4"	"0"	"188"	"17"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"29"	"2"	"0"	"252"	"252"	"1"	"0"
"15822"	"4"	"15"	"2"	"2"	"239"	"6"	"0"	"0"	"131"	"12"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"24"	"1"	"0"	"180"	"180"	"1"	"0"
"15823"	"4"	"15"	"2"	"2"	"239"	"3"	"1"	"0"	"96"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"10"	"1"	"0"	"131"	"131"	"1"	"0"
"15824"	"4"	"15"	"2"	"2"	"400"	"3"	"1"	"0"	"17"	"143"	"102"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"19"	"6"	"0"	"295"	"295"	"1"	"0"
"15825"	"4"	"15"	"2"	"2"	"400"	"1"	"1"	"1"	"19"	"169"	"103"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"18"	"7"	"0"	"322"	"322"	"1"	"0"
"15826"	"4"	"15"	"2"	"2"	"400"	"2"	"0"	"0"	"69"	"112"	"82"	"3"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"5"	"0"	"300"	"300"	"1"	"0"
"15827"	"4"	"15"	"2"	"2"	"400"	"3"	"0"	"2"	"118"	"109"	"45"	"3"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"20"	"1"	"0"	"309"	"309"	"1"	"0"
"15828"	"4"	"15"	"2"	"2"	"380"	"0"	"1"	"0"	"43"	"121"	"91"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"0"	"0"	"268"	"268"	"1"	"0"
"15829"	"4"	"15"	"2"	"2"	"228"	"1"	"0"	"0"	"23"	"68"	"43"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"6"	"0"	"0"	"142"	"142"	"1"	"0"
"15830"	"4"	"15"	"2"	"2"	"227"	"1"	"0"	"0"	"23"	"71"	"44"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"1"	"0"	"0"	"142"	"142"	"1"	"0"
"15831"	"4"	"15"	"2"	"2"	"337"	"5"	"1"	"0"	"61"	"31"	"18"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"21"	"0"	"0"	"140"	"140"	"1"	"0"
"15832"	"4"	"15"	"2"	"2"	"337"	"3"	"1"	"2"	"61"	"25"	"10"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"4"	"1"	"0"	"111"	"111"	"1"	"0"
