"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UNE"	"FUERZA"	"VALOR"	"CONVERGENCIA"	"PHG"	"FCN_NACION"	"VAMOS"	"PC"	"EG"	"VIVA"	"PPT"	"SEMILLA"	"BIEN"	"CREO"	"UCN"	"PODEMOS"	"VICTORIA"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8842"	"4"	"8"	"5"	"2"	"400"	"73"	"26"	"4"	"2"	"14"	"9"	"7"	"10"	"1"	"4"	"5"	"2"	"4"	"29"	"18"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"13"	"4"	"0"	"236"	"236"	"1"	"0"
"8843"	"4"	"8"	"5"	"2"	"400"	"87"	"27"	"1"	"5"	"6"	"5"	"5"	"15"	"6"	"2"	"2"	"1"	"3"	"39"	"20"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"5"	"0"	"248"	"248"	"1"	"0"
"8844"	"4"	"8"	"5"	"2"	"400"	"86"	"22"	"3"	"7"	"11"	"8"	"5"	"12"	"6"	"4"	"1"	"4"	"11"	"26"	"13"	"3"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"5"	"0"	"253"	"253"	"1"	"0"
"8845"	"4"	"8"	"5"	"2"	"400"	"81"	"26"	"1"	"9"	"11"	"10"	"4"	"12"	"8"	"3"	"2"	"2"	"8"	"34"	"17"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"12"	"8"	"20"	"239"	"259"	"0"	"0"
"8846"	"4"	"8"	"5"	"2"	"402"	"77"	"21"	"7"	"7"	"10"	"15"	"7"	"7"	"6"	"7"	"4"	"4"	"8"	"27"	"7"	"3"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"1"	"0"	"244"	"244"	"1"	"0"
"8847"	"4"	"8"	"5"	"2"	"400"	"60"	"25"	"6"	"4"	"20"	"6"	"7"	"12"	"4"	"3"	"2"	"0"	"6"	"24"	"13"	"2"	"13"	"3"	"0"	"0"	"2"	"0"	"6"	"24"	"13"	"2"	"13"	"3"	"0"	"0"	"210"	"210"	"15"	"6"	"0"	"231"	"231"	"1"	"0"
"8848"	"4"	"8"	"5"	"2"	"381"	"67"	"24"	"1"	"4"	"15"	"6"	"3"	"18"	"10"	"3"	"3"	"2"	"7"	"23"	"7"	"1"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"5"	"6"	"1"	"223"	"222"	"0"	"0"
"8849"	"4"	"8"	"5"	"2"	"317"	"54"	"27"	"4"	"6"	"12"	"7"	"1"	"11"	"10"	"3"	"0"	"3"	"5"	"23"	"13"	"0"	"9"	"0"	"0"	"0"	"0"	"3"	"5"	"23"	"13"	"0"	"9"	"0"	"0"	"0"	"188"	"188"	"3"	"2"	"0"	"193"	"193"	"1"	"0"
"8850"	"4"	"8"	"5"	"2"	"316"	"67"	"19"	"5"	"1"	"8"	"2"	"2"	"18"	"4"	"3"	"1"	"0"	"5"	"20"	"13"	"1"	"6"	"0"	"0"	"0"	"1"	"0"	"5"	"20"	"13"	"1"	"6"	"0"	"0"	"0"	"175"	"175"	"1"	"2"	"0"	"178"	"178"	"1"	"0"
"8851"	"4"	"8"	"5"	"2"	"400"	"67"	"18"	"3"	"6"	"8"	"6"	"6"	"8"	"5"	"6"	"1"	"6"	"4"	"24"	"14"	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"15"	"11"	"0"	"225"	"225"	"1"	"0"
"8852"	"4"	"8"	"5"	"2"	"381"	"65"	"23"	"2"	"1"	"5"	"7"	"4"	"8"	"1"	"6"	"1"	"2"	"9"	"30"	"6"	"1"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"15"	"0"	"233"	"233"	"1"	"0"
"8853"	"4"	"8"	"5"	"2"	"400"	"32"	"24"	"2"	"1"	"13"	"4"	"7"	"10"	"3"	"2"	"3"	"7"	"1"	"23"	"7"	"0"	"50"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"18"	"20"	"0"	"229"	"229"	"1"	"0"
"8854"	"4"	"8"	"5"	"2"	"384"	"34"	"22"	"3"	"2"	"10"	"3"	"13"	"30"	"3"	"1"	"3"	"10"	"5"	"12"	"2"	"1"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"17"	"5"	"174"	"210"	"210"	"1"	"0"
"8855"	"4"	"8"	"5"	"2"	"400"	"71"	"14"	"7"	"2"	"8"	"3"	"8"	"11"	"2"	"0"	"0"	"7"	"7"	"14"	"0"	"2"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"12"	"16"	"3"	"199"	"199"	"1"	"0"
"8856"	"4"	"8"	"5"	"2"	"400"	"55"	"16"	"7"	"6"	"12"	"3"	"11"	"11"	"3"	"3"	"0"	"13"	"2"	"8"	"10"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"20"	"15"	"0"	"207"	"207"	"1"	"0"
"8857"	"4"	"8"	"5"	"2"	"400"	"46"	"19"	"9"	"2"	"15"	"3"	"14"	"18"	"3"	"1"	"2"	"11"	"9"	"14"	"3"	"2"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"9"	"13"	"189"	"211"	"211"	"1"	"0"
"8858"	"4"	"8"	"5"	"2"	"400"	"41"	"12"	"1"	"3"	"11"	"5"	"7"	"21"	"4"	"1"	"1"	"7"	"8"	"24"	"6"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"15"	"13"	"208"	"192"	"192"	"1"	"0"
"8859"	"4"	"8"	"5"	"2"	"400"	"35"	"8"	"3"	"3"	"15"	"5"	"6"	"62"	"4"	"4"	"0"	"5"	"12"	"24"	"8"	"4"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"13"	"7"	"0"	"234"	"234"	"1"	"0"
"8860"	"4"	"8"	"5"	"2"	"400"	"29"	"15"	"2"	"0"	"16"	"4"	"4"	"41"	"4"	"5"	"0"	"4"	"3"	"20"	"2"	"1"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"14"	"13"	"0"	"200"	"200"	"1"	"0"
"8861"	"4"	"8"	"5"	"2"	"400"	"54"	"17"	"4"	"0"	"6"	"5"	"7"	"13"	"5"	"4"	"1"	"5"	"6"	"14"	"4"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"9"	"9"	"0"	"184"	"184"	"1"	"0"
"8862"	"4"	"8"	"5"	"2"	"400"	"58"	"14"	"6"	"0"	"5"	"9"	"8"	"19"	"6"	"9"	"2"	"2"	"7"	"32"	"11"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"12"	"9"	"178"	"222"	"222"	"1"	"0"
"8863"	"4"	"8"	"5"	"2"	"400"	"59"	"18"	"4"	"2"	"11"	"8"	"4"	"14"	"4"	"2"	"0"	"6"	"11"	"25"	"10"	"0"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"13"	"6"	"0"	"224"	"224"	"1"	"0"
"8864"	"4"	"8"	"5"	"2"	"400"	"65"	"22"	"2"	"1"	"12"	"5"	"6"	"8"	"3"	"2"	"2"	"5"	"11"	"26"	"14"	"2"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"14"	"13"	"0"	"235"	"235"	"1"	"0"
"8865"	"4"	"8"	"5"	"2"	"400"	"59"	"16"	"3"	"3"	"9"	"4"	"8"	"10"	"7"	"5"	"4"	"6"	"2"	"21"	"3"	"2"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"21"	"12"	"0"	"208"	"208"	"1"	"0"
"8866"	"4"	"8"	"5"	"2"	"319"	"59"	"19"	"2"	"0"	"14"	"3"	"6"	"8"	"3"	"4"	"0"	"5"	"4"	"31"	"5"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"7"	"5"	"0"	"186"	"186"	"1"	"0"
"8867"	"4"	"8"	"5"	"2"	"319"	"37"	"14"	"9"	"2"	"8"	"1"	"8"	"9"	"5"	"3"	"1"	"6"	"8"	"24"	"5"	"1"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"3"	"9"	"0"	"167"	"167"	"1"	"0"
"8868"	"4"	"8"	"5"	"2"	"400"	"58"	"21"	"3"	"2"	"4"	"4"	"2"	"5"	"3"	"1"	"8"	"4"	"2"	"28"	"6"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"23"	"8"	"202"	"198"	"198"	"1"	"0"
"8869"	"4"	"8"	"5"	"2"	"402"	"46"	"31"	"3"	"2"	"6"	"2"	"7"	"14"	"0"	"2"	"9"	"3"	"5"	"20"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"15"	"14"	"0"	"196"	"196"	"1"	"0"
"8870"	"4"	"8"	"5"	"2"	"400"	"69"	"17"	"1"	"3"	"9"	"5"	"7"	"10"	"6"	"1"	"0"	"4"	"2"	"25"	"2"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"27"	"3"	"0"	"206"	"206"	"1"	"0"
"8871"	"4"	"8"	"5"	"2"	"400"	"38"	"50"	"5"	"5"	"5"	"2"	"5"	"9"	"4"	"2"	"4"	"1"	"12"	"17"	"8"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"21"	"10"	"0"	"202"	"202"	"1"	"0"
"8872"	"4"	"8"	"5"	"2"	"400"	"53"	"30"	"4"	"1"	"5"	"3"	"4"	"8"	"4"	"3"	"3"	"1"	"1"	"28"	"3"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"12"	"7"	"223"	"177"	"177"	"1"	"0"
"8873"	"4"	"8"	"5"	"2"	"400"	"47"	"22"	"3"	"2"	"5"	"6"	"4"	"8"	"2"	"0"	"12"	"3"	"3"	"18"	"4"	"4"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"10"	"6"	"0"	"176"	"176"	"1"	"0"
"8874"	"4"	"8"	"5"	"2"	"240"	"23"	"9"	"4"	"1"	"6"	"4"	"2"	"6"	"4"	"2"	"9"	"2"	"0"	"17"	"4"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"10"	"13"	"0"	"124"	"124"	"1"	"0"
"8875"	"4"	"8"	"5"	"2"	"239"	"33"	"13"	"1"	"3"	"8"	"1"	"0"	"5"	"4"	"0"	"4"	"2"	"3"	"20"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"4"	"8"	"0"	"113"	"113"	"1"	"0"
"8876"	"4"	"8"	"5"	"2"	"400"	"42"	"21"	"4"	"1"	"26"	"3"	"4"	"0"	"8"	"0"	"4"	"3"	"9"	"27"	"2"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"22"	"16"	"0"	"209"	"209"	"1"	"0"
"8877"	"4"	"8"	"5"	"2"	"400"	"54"	"13"	"7"	"1"	"20"	"5"	"6"	"2"	"4"	"0"	"2"	"1"	"8"	"19"	"2"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"15"	"25"	"0"	"210"	"210"	"1"	"0"
"8878"	"4"	"8"	"5"	"2"	"400"	"56"	"14"	"3"	"1"	"32"	"4"	"8"	"2"	"1"	"1"	"6"	"0"	"8"	"14"	"4"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"23"	"8"	"0"	"208"	"208"	"1"	"0"
"8879"	"4"	"8"	"5"	"2"	"400"	"53"	"15"	"6"	"3"	"40"	"3"	"10"	"4"	"3"	"1"	"3"	"0"	"5"	"20"	"3"	"3"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"22"	"10"	"182"	"218"	"218"	"1"	"0"
"8880"	"4"	"8"	"5"	"2"	"400"	"40"	"14"	"4"	"2"	"69"	"9"	"9"	"7"	"9"	"6"	"4"	"3"	"2"	"17"	"3"	"1"	"10"	"1"	"0"	"0"	"4"	"3"	"2"	"17"	"3"	"1"	"10"	"1"	"0"	"0"	"210"	"210"	"12"	"12"	"0"	"234"	"234"	"1"	"0"
"8881"	"4"	"8"	"5"	"2"	"400"	"38"	"8"	"5"	"1"	"32"	"3"	"5"	"4"	"2"	"2"	"3"	"2"	"5"	"14"	"5"	"1"	"27"	"1"	"0"	"0"	"3"	"2"	"5"	"14"	"5"	"1"	"27"	"1"	"0"	"0"	"158"	"158"	"11"	"14"	"0"	"183"	"183"	"1"	"0"
"8882"	"4"	"8"	"5"	"2"	"333"	"44"	"11"	"2"	"0"	"31"	"6"	"3"	"2"	"0"	"2"	"3"	"3"	"5"	"12"	"1"	"0"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"13"	"7"	"0"	"162"	"162"	"1"	"0"
"8883"	"4"	"8"	"5"	"2"	"328"	"37"	"10"	"10"	"3"	"23"	"5"	"7"	"3"	"1"	"2"	"5"	"0"	"5"	"10"	"0"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"10"	"184"	"0"	"328"	"328"	"1"	"0"
"8884"	"4"	"8"	"5"	"2"	"380"	"30"	"37"	"1"	"2"	"5"	"3"	"5"	"21"	"8"	"2"	"8"	"1"	"4"	"6"	"0"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"17"	"6"	"0"	"194"	"194"	"1"	"0"
"8885"	"4"	"8"	"5"	"2"	"381"	"18"	"27"	"2"	"1"	"10"	"9"	"4"	"14"	"8"	"3"	"14"	"4"	"2"	"7"	"1"	"3"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"163"	"19"	"13"	"0"	"198"	"195"	"0"	"0"
"8886"	"4"	"8"	"5"	"2"	"380"	"17"	"21"	"0"	"5"	"5"	"6"	"3"	"61"	"8"	"2"	"6"	"3"	"2"	"6"	"0"	"3"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"0"	"16"	"22"	"200"	"200"	"1"	"0"
"8887"	"4"	"8"	"5"	"2"	"380"	"26"	"28"	"0"	"4"	"3"	"9"	"6"	"40"	"8"	"0"	"6"	"1"	"2"	"10"	"1"	"2"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"25"	"15"	"0"	"223"	"223"	"1"	"0"
"8888"	"4"	"8"	"5"	"2"	"380"	"21"	"24"	"2"	"1"	"3"	"11"	"4"	"78"	"0"	"1"	"4"	"4"	"1"	"7"	"2"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"31"	"9"	"0"	"241"	"241"	"1"	"0"
"8889"	"4"	"8"	"5"	"2"	"380"	"24"	"21"	"2"	"1"	"4"	"6"	"5"	"89"	"4"	"0"	"2"	"1"	"3"	"8"	"3"	"2"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"18"	"17"	"0"	"233"	"233"	"1"	"0"
"8890"	"4"	"8"	"5"	"2"	"380"	"35"	"16"	"2"	"2"	"5"	"7"	"7"	"53"	"11"	"1"	"5"	"3"	"0"	"9"	"1"	"0"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"15"	"13"	"0"	"218"	"218"	"1"	"0"
"8891"	"4"	"8"	"5"	"2"	"381"	"19"	"18"	"0"	"3"	"5"	"7"	"3"	"37"	"3"	"1"	"6"	"2"	"0"	"10"	"1"	"0"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"7"	"7"	"0"	"147"	"147"	"1"	"0"
"8892"	"4"	"8"	"5"	"2"	"367"	"23"	"22"	"0"	"0"	"12"	"2"	"3"	"25"	"9"	"0"	"3"	"0"	"1"	"2"	"3"	"1"	"37"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"10"	"20"	"0"	"175"	"175"	"1"	"0"
"8893"	"4"	"8"	"5"	"2"	"381"	"30"	"29"	"0"	"1"	"4"	"5"	"3"	"26"	"3"	"3"	"7"	"4"	"1"	"7"	"0"	"0"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"10"	"17"	"0"	"186"	"186"	"1"	"0"
"8894"	"4"	"8"	"5"	"2"	"381"	"24"	"32"	"0"	"1"	"4"	"5"	"5"	"26"	"9"	"0"	"7"	"4"	"0"	"4"	"3"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"11"	"16"	"0"	"195"	"195"	"1"	"0"
"8895"	"4"	"8"	"5"	"2"	"382"	"23"	"22"	"0"	"2"	"10"	"5"	"6"	"30"	"15"	"0"	"8"	"0"	"3"	"5"	"1"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"20"	"9"	"0"	"202"	"202"	"1"	"0"
"8896"	"4"	"8"	"5"	"2"	"383"	"24"	"23"	"2"	"4"	"4"	"6"	"8"	"27"	"7"	"0"	"4"	"1"	"0"	"6"	"0"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"14"	"13"	"0"	"183"	"183"	"1"	"0"
"8897"	"4"	"8"	"5"	"2"	"376"	"17"	"21"	"1"	"1"	"8"	"4"	"8"	"24"	"9"	"1"	"5"	"1"	"0"	"8"	"2"	"2"	"39"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"12"	"11"	"0"	"176"	"176"	"1"	"0"
"8898"	"4"	"8"	"5"	"2"	"364"	"28"	"29"	"1"	"1"	"4"	"12"	"4"	"41"	"6"	"1"	"5"	"1"	"2"	"11"	"0"	"0"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"7"	"5"	"0"	"181"	"181"	"1"	"0"
"8899"	"4"	"8"	"5"	"2"	"380"	"22"	"45"	"0"	"5"	"6"	"1"	"1"	"24"	"5"	"8"	"2"	"10"	"6"	"9"	"5"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"26"	"30"	"0"	"224"	"224"	"1"	"0"
"8900"	"4"	"8"	"5"	"2"	"381"	"31"	"30"	"1"	"3"	"9"	"3"	"4"	"24"	"1"	"12"	"1"	"8"	"4"	"8"	"10"	"9"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"23"	"6"	"0"	"203"	"203"	"1"	"0"
"8901"	"4"	"8"	"5"	"2"	"212"	"12"	"18"	"1"	"3"	"3"	"1"	"2"	"8"	"3"	"5"	"0"	"4"	"3"	"4"	"3"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"7"	"5"	"0"	"93"	"93"	"1"	"0"
"8902"	"4"	"8"	"5"	"2"	"211"	"17"	"7"	"1"	"3"	"3"	"1"	"3"	"6"	"4"	"0"	"1"	"10"	"4"	"0"	"4"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"6"	"4"	"0"	"87"	"87"	"1"	"0"
"8903"	"4"	"8"	"5"	"2"	"380"	"38"	"15"	"0"	"3"	"55"	"1"	"7"	"7"	"4"	"5"	"0"	"1"	"1"	"14"	"2"	"1"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"26"	"9"	"0"	"211"	"211"	"1"	"0"
"8904"	"4"	"8"	"5"	"2"	"380"	"58"	"21"	"0"	"2"	"41"	"4"	"6"	"4"	"3"	"4"	"1"	"3"	"3"	"12"	"1"	"5"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"14"	"16"	"165"	"215"	"215"	"1"	"0"
