"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UNE"	"FUERZA"	"VALOR"	"CONVERGENCIA"	"PHG"	"FCN_NACION"	"VAMOS"	"PC"	"EG"	"VIVA"	"PPT"	"SEMILLA"	"BIEN"	"CREO"	"UCN"	"PODEMOS"	"VICTORIA"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8832"	"4"	"8"	"5"	"2"	"400"	"59"	"20"	"4"	"4"	"10"	"10"	"5"	"8"	"9"	"2"	"2"	"2"	"12"	"37"	"17"	"1"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"12"	"10"	"0"	"246"	"246"	"1"	"0"
"8833"	"4"	"8"	"5"	"2"	"400"	"89"	"30"	"4"	"2"	"17"	"7"	"4"	"11"	"6"	"2"	"1"	"0"	"13"	"30"	"11"	"1"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"18"	"7"	"0"	"272"	"272"	"1"	"0"
"8834"	"4"	"8"	"5"	"2"	"400"	"104"	"33"	"3"	"2"	"12"	"6"	"3"	"7"	"5"	"3"	"1"	"1"	"12"	"35"	"13"	"1"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"16"	"9"	"0"	"282"	"282"	"1"	"0"
"8835"	"4"	"8"	"5"	"2"	"398"	"74"	"23"	"2"	"9"	"17"	"10"	"5"	"13"	"6"	"4"	"6"	"7"	"13"	"32"	"8"	"1"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"19"	"14"	"0"	"278"	"278"	"1"	"0"
"8836"	"4"	"8"	"5"	"2"	"395"	"87"	"23"	"2"	"6"	"16"	"8"	"8"	"9"	"6"	"3"	"7"	"7"	"5"	"34"	"16"	"4"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"12"	"9"	"0"	"277"	"277"	"1"	"0"
"8837"	"4"	"8"	"5"	"2"	"400"	"77"	"17"	"3"	"2"	"16"	"7"	"9"	"17"	"6"	"3"	"1"	"4"	"13"	"25"	"12"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"8"	"0"	"247"	"247"	"1"	"0"
"8838"	"4"	"8"	"5"	"2"	"400"	"78"	"18"	"2"	"1"	"32"	"9"	"3"	"15"	"7"	"3"	"3"	"6"	"5"	"26"	"12"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"13"	"0"	"260"	"260"	"1"	"0"
"8839"	"4"	"8"	"5"	"2"	"402"	"62"	"33"	"1"	"2"	"41"	"10"	"4"	"9"	"8"	"5"	"5"	"0"	"3"	"29"	"6"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"9"	"0"	"251"	"251"	"1"	"0"
"8840"	"4"	"8"	"5"	"2"	"400"	"64"	"25"	"9"	"1"	"26"	"4"	"5"	"17"	"8"	"4"	"1"	"6"	"8"	"19"	"10"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"12"	"9"	"0"	"242"	"242"	"1"	"0"
"8841"	"4"	"8"	"5"	"2"	"400"	"72"	"27"	"1"	"3"	"12"	"6"	"4"	"15"	"4"	"2"	"3"	"2"	"1"	"34"	"15"	"3"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"9"	"1"	"0"	"234"	"234"	"1"	"0"
