"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UCN"	"UNE"	"FUERZA"	"VAMOS"	"UNIONISTA"	"VALOR"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10379"	"4"	"10"	"3"	"2"	"206"	"49"	"54"	"42"	"9"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"2"	"0"	"0"	"161"	"161"	"1"	"0"
"10380"	"4"	"10"	"3"	"2"	"400"	"63"	"78"	"136"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"13"	"3"	"0"	"297"	"297"	"1"	"0"
"10381"	"4"	"10"	"3"	"2"	"396"	"76"	"82"	"149"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"14"	"4"	"0"	"335"	"335"	"1"	"0"
"10382"	"4"	"10"	"3"	"2"	"400"	"82"	"73"	"160"	"6"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"12"	"2"	"0"	"343"	"343"	"1"	"0"
"10383"	"4"	"10"	"3"	"2"	"400"	"84"	"70"	"148"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"18"	"1"	"0"	"330"	"330"	"1"	"0"
"10384"	"4"	"10"	"3"	"2"	"396"	"75"	"63"	"169"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"14"	"6"	"0"	"338"	"338"	"1"	"0"
"10385"	"4"	"10"	"3"	"2"	"396"	"103"	"59"	"145"	"11"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"10"	"7"	"0"	"340"	"340"	"1"	"0"
"10386"	"4"	"10"	"3"	"2"	"393"	"72"	"81"	"125"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"13"	"4"	"0"	"305"	"305"	"1"	"0"
"10387"	"4"	"10"	"3"	"2"	"400"	"73"	"72"	"127"	"4"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"4"	"1"	"0"	"287"	"287"	"1"	"1"
"10388"	"4"	"10"	"3"	"2"	"400"	"73"	"77"	"140"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"1"	"4"	"11"	"302"	"302"	"1"	"1"
"10389"	"4"	"10"	"3"	"2"	"392"	"86"	"73"	"141"	"13"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"0"	"0"	"318"	"318"	"1"	"1"
"10390"	"4"	"10"	"3"	"2"	"390"	"98"	"83"	"129"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"3"	"0"	"0"	"320"	"320"	"1"	"0"
"10391"	"4"	"10"	"3"	"2"	"456"	"51"	"76"	"72"	"12"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"13"	"4"	"0"	"236"	"236"	"1"	"0"
"10392"	"4"	"10"	"3"	"2"	"457"	"36"	"55"	"46"	"7"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"11"	"6"	"0"	"165"	"165"	"1"	"0"
