"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"FUERZA"	"VIVA"	"UNE"	"URNG_MAIZ"	"VAMOS"	"FCN_NACION"	"CREO"	"LIBRE"	"UNIONISTA"	"SEMILLA"	"VICTORIA"	"PAN"	"AVANZA"	"UCN"	"DIGNIDAD"	"MLP"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3739"	"4"	"1"	"14"	"2"	"377"	"1"	"107"	"4"	"2"	"22"	"8"	"1"	"23"	"4"	"4"	"1"	"5"	"1"	"32"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"2"	"6"	"8"	"227"	"227"	"1"	"0"
"3740"	"4"	"1"	"14"	"2"	"380"	"2"	"118"	"3"	"5"	"24"	"8"	"1"	"19"	"0"	"0"	"3"	"0"	"4"	"25"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"11"	"6"	"17"	"232"	"232"	"1"	"0"
"3741"	"4"	"1"	"14"	"2"	"380"	"1"	"67"	"8"	"5"	"19"	"6"	"2"	"19"	"3"	"2"	"2"	"2"	"1"	"27"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"21"	"11"	"0"	"200"	"200"	"1"	"0"
"3742"	"4"	"1"	"14"	"2"	"227"	"2"	"54"	"7"	"2"	"13"	"2"	"1"	"11"	"4"	"1"	"0"	"4"	"2"	"12"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"4"	"1"	"0"	"124"	"124"	"1"	"0"
"3743"	"4"	"1"	"14"	"2"	"227"	"1"	"66"	"5"	"2"	"13"	"1"	"0"	"8"	"1"	"1"	"0"	"7"	"3"	"14"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"1"	"0"	"0"	"128"	"128"	"1"	"0"
"3744"	"4"	"1"	"14"	"2"	"380"	"1"	"89"	"23"	"2"	"53"	"1"	"2"	"24"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"30"	"16"	"0"	"245"	"245"	"1"	"0"
"3745"	"4"	"1"	"14"	"2"	"380"	"1"	"93"	"25"	"2"	"61"	"1"	"1"	"23"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"30"	"10"	"0"	"254"	"254"	"1"	"0"
"3746"	"4"	"1"	"14"	"2"	"380"	"2"	"96"	"9"	"1"	"48"	"2"	"0"	"10"	"5"	"2"	"2"	"6"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"186"	"22"	"16"	"0"	"226"	"224"	"0"	"0"
"3747"	"4"	"1"	"14"	"2"	"320"	"0"	"81"	"13"	"0"	"45"	"0"	"1"	"22"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"23"	"12"	"0"	"210"	"210"	"1"	"0"
"3748"	"4"	"1"	"14"	"2"	"320"	"2"	"62"	"15"	"1"	"27"	"2"	"4"	"12"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"18"	"7"	"0"	"157"	"157"	"1"	"0"
"3749"	"4"	"1"	"14"	"1"	"600"	"5"	"98"	"13"	"7"	"25"	"8"	"5"	"7"	"8"	"5"	"2"	"18"	"9"	"3"	"2"	"2"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"7"	"0"	"249"	"254"	"0"	"0"
"3750"	"4"	"1"	"14"	"1"	"600"	"2"	"97"	"11"	"6"	"34"	"5"	"6"	"6"	"8"	"5"	"5"	"22"	"7"	"14"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"4"	"0"	"250"	"250"	"1"	"0"
"3751"	"4"	"1"	"14"	"1"	"600"	"3"	"96"	"12"	"7"	"43"	"6"	"4"	"5"	"14"	"3"	"2"	"18"	"66"	"8"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"291"	"10"	"3"	"0"	"298"	"304"	"0"	"0"
"3752"	"4"	"1"	"14"	"1"	"600"	"7"	"104"	"12"	"5"	"29"	"6"	"9"	"5"	"18"	"1"	"3"	"28"	"10"	"6"	"1"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"3"	"0"	"278"	"278"	"1"	"0"
"3753"	"4"	"1"	"14"	"1"	"600"	"6"	"95"	"12"	"4"	"27"	"9"	"8"	"5"	"10"	"3"	"0"	"36"	"10"	"6"	"0"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"3"	"0"	"258"	"258"	"1"	"0"
"3754"	"4"	"1"	"14"	"1"	"600"	"3"	"98"	"4"	"3"	"24"	"4"	"8"	"6"	"10"	"5"	"2"	"24"	"8"	"4"	"1"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"13"	"1"	"0"	"233"	"233"	"1"	"0"
"3755"	"4"	"1"	"14"	"1"	"464"	"1"	"46"	"9"	"1"	"17"	"1"	"6"	"4"	"5"	"1"	"1"	"11"	"3"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"1"	"11"	"3"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"116"	"116"	"8"	"0"	"0"	"124"	"124"	"1"	"0"
"3756"	"4"	"1"	"14"	"1"	"464"	"1"	"26"	"2"	"3"	"6"	"1"	"0"	"5"	"5"	"0"	"1"	"17"	"4"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"17"	"4"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"76"	"76"	"1"	"1"	"0"	"78"	"78"	"1"	"0"
