"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"COMITE_CIVICO_EL_CAMINO"	"TRIGO"	"EG"	"CONVERGENCIA"	"BIEN"	"PPT"	"CREO"	"COMITE_CIVICO_NUEVO_AMANECER"	"PHG"	"PC"	"FUERZA"	"PODEMOS"	"VALOR"	"AVANZA"	"MLP"	"FCN_NACION"	"TODOS"	"UNE"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5518"	"4"	"3"	"6"	"2"	"398"	"54"	"63"	"13"	"9"	"19"	"12"	"11"	"11"	"8"	"9"	"1"	"6"	"0"	"3"	"7"	"2"	"9"	"12"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"6"	"4"	"0"	"289"	"289"	"1"	"0"
"5519"	"4"	"3"	"6"	"2"	"400"	"32"	"71"	"11"	"16"	"14"	"5"	"14"	"10"	"13"	"5"	"2"	"3"	"5"	"0"	"6"	"3"	"9"	"16"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"5"	"129"	"271"	"271"	"1"	"0"
"5520"	"4"	"3"	"6"	"2"	"400"	"50"	"56"	"11"	"13"	"23"	"10"	"16"	"12"	"7"	"6"	"1"	"6"	"7"	"1"	"1"	"4"	"7"	"15"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"5"	"4"	"0"	"284"	"284"	"1"	"0"
"5521"	"4"	"3"	"6"	"2"	"400"	"55"	"50"	"16"	"11"	"14"	"10"	"18"	"13"	"6"	"10"	"2"	"5"	"4"	"1"	"6"	"2"	"8"	"16"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"4"	"0"	"280"	"280"	"1"	"1"
"5522"	"4"	"3"	"6"	"2"	"400"	"49"	"51"	"21"	"6"	"21"	"8"	"11"	"10"	"0"	"8"	"7"	"7"	"8"	"1"	"5"	"4"	"18"	"16"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"272"	"9"	"2"	"0"	"286"	"283"	"0"	"0"
"5523"	"4"	"3"	"6"	"2"	"400"	"40"	"52"	"11"	"10"	"14"	"9"	"16"	"18"	"5"	"7"	"2"	"1"	"2"	"1"	"8"	"2"	"17"	"13"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"2"	"0"	"263"	"263"	"1"	"0"
"5524"	"4"	"3"	"6"	"2"	"400"	"48"	"54"	"24"	"6"	"17"	"10"	"11"	"14"	"5"	"7"	"7"	"1"	"6"	"1"	"3"	"2"	"13"	"11"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"11"	"5"	"0"	"277"	"277"	"1"	"0"
"5525"	"4"	"3"	"6"	"2"	"396"	"39"	"55"	"7"	"9"	"22"	"7"	"22"	"13"	"3"	"10"	"4"	"0"	"6"	"1"	"3"	"2"	"10"	"8"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"2"	"139"	"257"	"257"	"1"	"0"
"5526"	"4"	"3"	"6"	"2"	"400"	"42"	"55"	"14"	"14"	"19"	"8"	"14"	"4"	"8"	"6"	"6"	"2"	"2"	"3"	"5"	"5"	"12"	"14"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"7"	"5"	"0"	"262"	"262"	"1"	"0"
"5527"	"4"	"3"	"6"	"2"	"400"	"38"	"44"	"8"	"9"	"15"	"8"	"12"	"8"	"7"	"8"	"7"	"8"	"3"	"2"	"6"	"3"	"15"	"15"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"9"	"4"	"0"	"252"	"252"	"1"	"0"
"5528"	"4"	"3"	"6"	"2"	"400"	"50"	"40"	"8"	"10"	"9"	"6"	"17"	"7"	"5"	"4"	"7"	"6"	"8"	"1"	"6"	"3"	"19"	"13"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"5"	"2"	"0"	"249"	"249"	"1"	"0"
"5529"	"4"	"3"	"6"	"2"	"396"	"31"	"41"	"12"	"11"	"12"	"9"	"10"	"2"	"7"	"9"	"7"	"2"	"4"	"3"	"5"	"2"	"10"	"18"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"8"	"6"	"0"	"224"	"224"	"1"	"0"
"5530"	"4"	"3"	"6"	"2"	"396"	"33"	"48"	"12"	"10"	"9"	"5"	"16"	"17"	"9"	"6"	"6"	"9"	"4"	"1"	"4"	"1"	"11"	"14"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"7"	"1"	"0"	"242"	"242"	"1"	"0"
"5531"	"4"	"3"	"6"	"2"	"400"	"49"	"48"	"12"	"15"	"10"	"6"	"14"	"7"	"10"	"7"	"2"	"6"	"3"	"3"	"3"	"3"	"5"	"13"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"7"	"1"	"0"	"238"	"238"	"1"	"0"
"5532"	"4"	"3"	"6"	"2"	"296"	"59"	"59"	"21"	"16"	"23"	"7"	"16"	"20"	"5"	"9"	"2"	"4"	"5"	"4"	"5"	"2"	"11"	"11"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"2"	"3"	"0"	"296"	"296"	"1"	"0"
"5533"	"4"	"3"	"6"	"2"	"400"	"58"	"60"	"8"	"19"	"22"	"7"	"18"	"14"	"12"	"7"	"3"	"6"	"3"	"2"	"2"	"4"	"7"	"17"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"4"	"0"	"0"	"296"	"296"	"1"	"0"
"5534"	"4"	"3"	"6"	"2"	"371"	"50"	"58"	"23"	"9"	"18"	"3"	"22"	"23"	"4"	"4"	"2"	"3"	"3"	"3"	"1"	"3"	"9"	"20"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"2"	"0"	"277"	"277"	"1"	"0"
"5535"	"4"	"3"	"6"	"2"	"371"	"33"	"52"	"11"	"11"	"18"	"7"	"10"	"13"	"7"	"5"	"6"	"8"	"1"	"3"	"5"	"0"	"6"	"16"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"4"	"2"	"0"	"232"	"232"	"1"	"0"
"5536"	"4"	"3"	"6"	"2"	"376"	"5"	"78"	"5"	"10"	"0"	"5"	"6"	"1"	"1"	"100"	"1"	"1"	"0"	"3"	"2"	"1"	"1"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"19"	"9"	"0"	"272"	"272"	"1"	"0"
"5537"	"4"	"3"	"6"	"2"	"376"	"3"	"90"	"13"	"2"	"0"	"16"	"5"	"2"	"0"	"97"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"9"	"7"	"0"	"260"	"260"	"1"	"0"
"5538"	"4"	"3"	"6"	"2"	"376"	"5"	"37"	"41"	"8"	"3"	"39"	"6"	"19"	"1"	"25"	"4"	"5"	"0"	"4"	"6"	"0"	"6"	"25"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"15"	"7"	"0"	"269"	"269"	"1"	"0"
"5539"	"4"	"3"	"6"	"2"	"334"	"5"	"69"	"38"	"1"	"1"	"12"	"3"	"4"	"0"	"35"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"4"	"5"	"0"	"189"	"189"	"1"	"0"
"5540"	"4"	"3"	"6"	"2"	"333"	"5"	"40"	"25"	"7"	"4"	"23"	"0"	"5"	"2"	"71"	"0"	"2"	"0"	"1"	"3"	"0"	"3"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"7"	"2"	"0"	"212"	"212"	"1"	"0"
"5541"	"4"	"3"	"6"	"2"	"376"	"2"	"25"	"21"	"4"	"1"	"6"	"26"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"14"	"6"	"0"	"171"	"171"	"1"	"0"
"5542"	"4"	"3"	"6"	"2"	"376"	"0"	"26"	"20"	"5"	"2"	"2"	"20"	"11"	"0"	"2"	"0"	"2"	"0"	"1"	"1"	"3"	"3"	"32"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"20"	"6"	"0"	"162"	"161"	"0"	"1"
"5543"	"4"	"3"	"6"	"2"	"380"	"1"	"66"	"15"	"1"	"1"	"1"	"2"	"8"	"0"	"2"	"2"	"2"	"0"	"4"	"2"	"2"	"3"	"44"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"24"	"9"	"0"	"201"	"201"	"1"	"0"
"5544"	"4"	"3"	"6"	"2"	"376"	"2"	"37"	"18"	"3"	"3"	"2"	"13"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"69"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"15"	"10"	"0"	"189"	"189"	"1"	"0"
"5545"	"4"	"3"	"6"	"2"	"373"	"2"	"34"	"39"	"9"	"4"	"7"	"26"	"5"	"0"	"4"	"0"	"1"	"2"	"0"	"1"	"9"	"0"	"45"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"15"	"4"	"0"	"219"	"219"	"1"	"0"
"5546"	"4"	"3"	"6"	"2"	"380"	"0"	"53"	"42"	"3"	"8"	"8"	"47"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"37"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"11"	"7"	"0"	"228"	"228"	"1"	"0"
"5547"	"4"	"3"	"6"	"2"	"376"	"4"	"41"	"12"	"1"	"8"	"2"	"40"	"3"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"49"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"23"	"13"	"0"	"209"	"209"	"1"	"0"
"5548"	"4"	"3"	"6"	"2"	"376"	"2"	"72"	"0"	"2"	"3"	"2"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"5"	"31"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"158"	"8"	"4"	"0"	"191"	"170"	"0"	"0"
"5549"	"4"	"3"	"6"	"2"	"380"	"2"	"41"	"25"	"0"	"3"	"4"	"20"	"6"	"0"	"7"	"0"	"1"	"1"	"5"	"0"	"2"	"1"	"38"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"20"	"6"	"0"	"186"	"186"	"1"	"0"
"5550"	"4"	"3"	"6"	"2"	"305"	"2"	"23"	"21"	"5"	"4"	"0"	"10"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"4"	"2"	"1"	"26"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"9"	"4"	"0"	"123"	"123"	"1"	"0"
"5551"	"4"	"3"	"6"	"2"	"304"	"3"	"38"	"29"	"5"	"6"	"1"	"21"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"4"	"1"	"39"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"2"	"6"	"0"	"171"	"171"	"1"	"0"
"5552"	"4"	"3"	"6"	"2"	"380"	"2"	"42"	"66"	"2"	"3"	"0"	"8"	"10"	"2"	"15"	"1"	"2"	"0"	"1"	"1"	"2"	"1"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"17"	"6"	"0"	"198"	"198"	"1"	"0"
"5553"	"4"	"3"	"6"	"2"	"380"	"4"	"47"	"56"	"4"	"11"	"5"	"17"	"5"	"1"	"3"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"12"	"7"	"0"	"213"	"213"	"1"	"0"
"5554"	"4"	"3"	"6"	"2"	"380"	"5"	"126"	"36"	"5"	"6"	"4"	"31"	"5"	"3"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"4"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"0"	"5"	"15"	"260"	"260"	"1"	"0"
"5555"	"4"	"3"	"6"	"2"	"380"	"4"	"124"	"47"	"3"	"4"	"2"	"17"	"6"	"2"	"1"	"2"	"0"	"1"	"7"	"3"	"1"	"5"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"13"	"7"	"0"	"265"	"265"	"1"	"0"
"5556"	"4"	"3"	"6"	"2"	"380"	"4"	"54"	"52"	"2"	"4"	"3"	"9"	"18"	"1"	"3"	"0"	"4"	"1"	"3"	"0"	"1"	"3"	"26"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"7"	"6"	"0"	"209"	"209"	"1"	"0"
"5557"	"4"	"3"	"6"	"2"	"376"	"6"	"32"	"32"	"3"	"8"	"2"	"5"	"29"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"3"	"4"	"48"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"9"	"5"	"0"	"199"	"199"	"1"	"0"
"5558"	"4"	"3"	"6"	"2"	"376"	"8"	"49"	"30"	"1"	"11"	"0"	"8"	"31"	"0"	"8"	"2"	"2"	"2"	"2"	"3"	"9"	"5"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"13"	"5"	"18"	"211"	"211"	"1"	"0"
"5559"	"4"	"3"	"6"	"2"	"212"	"4"	"41"	"49"	"8"	"11"	"4"	"13"	"20"	"1"	"9"	"0"	"0"	"1"	"6"	"2"	"7"	"0"	"13"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"3"	"0"	"212"	"212"	"1"	"0"
"5560"	"4"	"3"	"6"	"2"	"380"	"3"	"52"	"47"	"4"	"6"	"2"	"16"	"14"	"1"	"11"	"0"	"1"	"0"	"6"	"0"	"2"	"2"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"10"	"5"	"0"	"208"	"208"	"1"	"0"
"5561"	"4"	"3"	"6"	"2"	"376"	"4"	"46"	"38"	"1"	"8"	"3"	"14"	"12"	"1"	"8"	"1"	"1"	"0"	"2"	"4"	"2"	"4"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"4"	"2"	"0"	"179"	"179"	"1"	"0"
