"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"COMITE_CIVICO_EL_CAMINO"	"TRIGO"	"EG"	"CONVERGENCIA"	"BIEN"	"PPT"	"CREO"	"COMITE_CIVICO_NUEVO_AMANECER"	"PHG"	"PC"	"FUERZA"	"PODEMOS"	"VALOR"	"AVANZA"	"MLP"	"FCN_NACION"	"TODOS"	"UNE"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5490"	"4"	"3"	"6"	"2"	"400"	"37"	"59"	"17"	"9"	"25"	"6"	"26"	"8"	"6"	"10"	"6"	"2"	"6"	"0"	"5"	"8"	"6"	"15"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"12"	"4"	"0"	"292"	"292"	"1"	"0"
"5491"	"4"	"3"	"6"	"2"	"400"	"38"	"54"	"20"	"14"	"11"	"3"	"19"	"11"	"3"	"8"	"5"	"1"	"3"	"4"	"2"	"3"	"10"	"12"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"16"	"8"	"0"	"262"	"262"	"1"	"0"
"5492"	"4"	"3"	"6"	"2"	"400"	"16"	"66"	"22"	"7"	"19"	"3"	"18"	"10"	"6"	"4"	"3"	"2"	"4"	"2"	"8"	"3"	"12"	"18"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"8"	"4"	"0"	"254"	"254"	"1"	"0"
"5493"	"4"	"3"	"6"	"2"	"398"	"21"	"74"	"14"	"6"	"20"	"2"	"20"	"15"	"1"	"11"	"0"	"3"	"0"	"5"	"5"	"7"	"5"	"25"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"12"	"6"	"0"	"263"	"263"	"1"	"0"
"5494"	"4"	"3"	"6"	"2"	"400"	"14"	"67"	"9"	"9"	"12"	"2"	"27"	"5"	"2"	"6"	"2"	"4"	"1"	"2"	"7"	"6"	"6"	"15"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"7"	"3"	"0"	"214"	"214"	"1"	"0"
"5495"	"4"	"3"	"6"	"2"	"402"	"14"	"43"	"13"	"9"	"36"	"8"	"15"	"15"	"2"	"33"	"5"	"7"	"2"	"1"	"5"	"5"	"9"	"19"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"2"	"0"	"271"	"271"	"1"	"0"
"5496"	"4"	"3"	"6"	"2"	"400"	"26"	"40"	"12"	"6"	"17"	"11"	"12"	"21"	"4"	"21"	"1"	"4"	"2"	"0"	"2"	"4"	"8"	"19"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"20"	"4"	"0"	"250"	"250"	"1"	"0"
"5497"	"4"	"3"	"6"	"2"	"400"	"39"	"35"	"23"	"23"	"12"	"7"	"11"	"51"	"7"	"9"	"0"	"4"	"3"	"0"	"2"	"2"	"6"	"17"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"10"	"2"	"0"	"280"	"280"	"1"	"0"
"5498"	"4"	"3"	"6"	"2"	"0"	"23"	"48"	"25"	"9"	"11"	"4"	"17"	"35"	"7"	"6"	"3"	"4"	"10"	"1"	"4"	"2"	"11"	"14"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"7"	"130"	"270"	"270"	"1"	"0"
"5499"	"4"	"3"	"6"	"2"	"400"	"38"	"46"	"14"	"11"	"11"	"4"	"13"	"13"	"7"	"7"	"1"	"5"	"4"	"2"	"6"	"10"	"8"	"16"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"6"	"0"	"258"	"258"	"1"	"0"
"5500"	"4"	"3"	"6"	"2"	"400"	"22"	"61"	"29"	"8"	"15"	"11"	"19"	"25"	"1"	"3"	"1"	"6"	"2"	"1"	"2"	"7"	"11"	"8"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"12"	"2"	"0"	"259"	"259"	"1"	"0"
"5501"	"4"	"3"	"6"	"2"	"400"	"33"	"42"	"43"	"8"	"11"	"1"	"16"	"11"	"3"	"8"	"1"	"4"	"1"	"5"	"3"	"7"	"4"	"18"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"17"	"6"	"0"	"270"	"270"	"1"	"0"
"5502"	"4"	"3"	"6"	"2"	"400"	"23"	"46"	"42"	"8"	"10"	"1"	"8"	"13"	"6"	"2"	"7"	"1"	"3"	"1"	"2"	"2"	"6"	"14"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"0"	"0"	"219"	"219"	"1"	"0"
"5503"	"4"	"3"	"6"	"2"	"400"	"38"	"57"	"9"	"18"	"16"	"6"	"16"	"18"	"13"	"3"	"2"	"9"	"1"	"2"	"9"	"6"	"14"	"17"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"12"	"6"	"0"	"282"	"282"	"1"	"0"
"5504"	"4"	"3"	"6"	"2"	"400"	"19"	"93"	"19"	"0"	"13"	"3"	"9"	"12"	"2"	"4"	"0"	"3"	"1"	"1"	"4"	"1"	"7"	"24"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"15"	"8"	"0"	"248"	"248"	"1"	"0"
"5505"	"4"	"3"	"6"	"2"	"400"	"29"	"57"	"9"	"16"	"10"	"5"	"27"	"23"	"3"	"6"	"4"	"3"	"2"	"5"	"2"	"1"	"8"	"18"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"16"	"4"	"0"	"260"	"260"	"1"	"0"
"5506"	"4"	"3"	"6"	"2"	"400"	"23"	"53"	"22"	"13"	"26"	"7"	"29"	"15"	"0"	"7"	"1"	"6"	"2"	"2"	"2"	"7"	"12"	"15"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"15"	"4"	"0"	"278"	"278"	"1"	"0"
"5507"	"4"	"3"	"6"	"2"	"400"	"13"	"42"	"41"	"11"	"17"	"3"	"38"	"13"	"4"	"6"	"2"	"1"	"3"	"1"	"4"	"5"	"9"	"25"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"15"	"8"	"126"	"273"	"273"	"1"	"1"
"5508"	"4"	"3"	"6"	"2"	"400"	"12"	"45"	"40"	"15"	"5"	"1"	"22"	"12"	"3"	"7"	"0"	"4"	"1"	"3"	"3"	"7"	"12"	"25"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"16"	"0"	"0"	"244"	"244"	"1"	"0"
"5509"	"4"	"3"	"6"	"2"	"400"	"5"	"74"	"14"	"7"	"15"	"5"	"17"	"14"	"2"	"3"	"2"	"1"	"3"	"3"	"4"	"10"	"3"	"22"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"16"	"9"	"0"	"237"	"237"	"1"	"0"
"5510"	"4"	"3"	"6"	"2"	"400"	"24"	"44"	"31"	"7"	"15"	"3"	"19"	"12"	"6"	"9"	"2"	"4"	"2"	"1"	"1"	"5"	"8"	"14"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"2"	"0"	"225"	"225"	"1"	"0"
"5511"	"4"	"3"	"6"	"2"	"400"	"36"	"48"	"14"	"9"	"13"	"5"	"16"	"17"	"8"	"6"	"4"	"4"	"4"	"1"	"5"	"3"	"5"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"4"	"0"	"0"	"218"	"218"	"1"	"0"
"5512"	"4"	"3"	"6"	"2"	"400"	"32"	"42"	"14"	"12"	"10"	"6"	"14"	"20"	"3"	"9"	"3"	"2"	"4"	"2"	"1"	"2"	"10"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"5"	"1"	"0"	"213"	"213"	"1"	"0"
"5513"	"4"	"3"	"6"	"2"	"400"	"40"	"52"	"18"	"12"	"22"	"5"	"13"	"11"	"7"	"9"	"3"	"4"	"6"	"4"	"5"	"1"	"8"	"9"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"5"	"0"	"257"	"257"	"1"	"0"
"5514"	"4"	"3"	"6"	"2"	"400"	"46"	"57"	"22"	"9"	"15"	"7"	"16"	"17"	"4"	"9"	"3"	"8"	"2"	"2"	"5"	"1"	"9"	"5"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"2"	"0"	"270"	"270"	"1"	"0"
"5515"	"4"	"3"	"6"	"2"	"400"	"33"	"41"	"14"	"9"	"29"	"6"	"20"	"11"	"11"	"5"	"8"	"11"	"5"	"1"	"7"	"4"	"9"	"14"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"4"	"0"	"273"	"273"	"1"	"0"
"5516"	"4"	"3"	"6"	"2"	"398"	"51"	"42"	"13"	"11"	"16"	"8"	"10"	"6"	"3"	"8"	"2"	"3"	"4"	"2"	"2"	"3"	"10"	"17"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"8"	"6"	"0"	"243"	"243"	"1"	"0"
"5517"	"4"	"3"	"6"	"2"	"398"	"37"	"49"	"14"	"17"	"20"	"6"	"14"	"8"	"6"	"7"	"3"	"3"	"4"	"2"	"7"	"2"	"11"	"13"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"0"	"0"	"250"	"250"	"1"	"0"
