"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"VICTORIA"	"UCN"	"FCN_NACION"	"MLP"	"BIEN"	"SEMILLA"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18732"	"4"	"18"	"5"	"2"	"209"	"2"	"45"	"36"	"41"	"6"	"1"	"5"	"24"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"3"	"1"	"0"	"168"	"168"	"1"	"0"
"18733"	"4"	"18"	"5"	"2"	"208"	"5"	"30"	"26"	"18"	"5"	"0"	"2"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"4"	"1"	"0"	"117"	"117"	"1"	"0"
"18734"	"4"	"18"	"5"	"2"	"380"	"6"	"50"	"25"	"49"	"2"	"3"	"12"	"20"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"6"	"0"	"193"	"193"	"1"	"0"
"18735"	"4"	"18"	"5"	"2"	"380"	"5"	"51"	"23"	"40"	"7"	"4"	"14"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"13"	"4"	"0"	"177"	"177"	"1"	"0"
"18736"	"4"	"18"	"5"	"2"	"375"	"8"	"73"	"16"	"55"	"3"	"1"	"11"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"17"	"9"	"0"	"208"	"208"	"1"	"0"
"18737"	"4"	"18"	"5"	"2"	"380"	"9"	"58"	"21"	"50"	"2"	"0"	"8"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"14"	"3"	"0"	"182"	"182"	"1"	"0"
"18738"	"4"	"18"	"5"	"2"	"246"	"3"	"19"	"13"	"27"	"1"	"0"	"10"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"78"	"13"	"6"	"0"	"97"	"97"	"1"	"0"
"18739"	"4"	"18"	"5"	"2"	"245"	"5"	"33"	"24"	"48"	"2"	"0"	"11"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"3"	"1"	"0"	"141"	"141"	"1"	"0"
"18740"	"4"	"18"	"5"	"2"	"376"	"5"	"126"	"15"	"50"	"1"	"1"	"0"	"10"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"4"	"4"	"11"	"223"	"223"	"1"	"0"
"18741"	"4"	"18"	"5"	"2"	"375"	"8"	"62"	"10"	"58"	"10"	"2"	"3"	"11"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"12"	"5"	"0"	"192"	"192"	"1"	"0"
"18742"	"4"	"18"	"5"	"2"	"375"	"3"	"80"	"14"	"64"	"3"	"2"	"1"	"18"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"4"	"4"	"0"	"204"	"204"	"1"	"0"
"18743"	"4"	"18"	"5"	"2"	"380"	"2"	"106"	"12"	"38"	"4"	"2"	"0"	"6"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"9"	"3"	"0"	"189"	"189"	"1"	"0"
"18744"	"4"	"18"	"5"	"2"	"380"	"3"	"118"	"18"	"40"	"6"	"1"	"0"	"7"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"13"	"9"	"0"	"222"	"222"	"1"	"0"
"18745"	"4"	"18"	"5"	"2"	"363"	"7"	"65"	"20"	"41"	"6"	"1"	"2"	"16"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"10"	"5"	"0"	"180"	"180"	"1"	"0"
"18746"	"4"	"18"	"5"	"2"	"364"	"3"	"100"	"17"	"61"	"1"	"0"	"1"	"17"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"3"	"6"	"0"	"223"	"223"	"1"	"0"
"18747"	"4"	"18"	"5"	"2"	"380"	"2"	"93"	"16"	"33"	"3"	"2"	"12"	"34"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"13"	"6"	"0"	"220"	"220"	"1"	"0"
"18748"	"4"	"18"	"5"	"2"	"374"	"6"	"103"	"14"	"24"	"5"	"0"	"25"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"12"	"6"	"0"	"227"	"227"	"1"	"0"
"18749"	"4"	"18"	"5"	"2"	"376"	"8"	"107"	"18"	"41"	"2"	"0"	"11"	"30"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"10"	"2"	"0"	"232"	"232"	"1"	"0"
"18750"	"4"	"18"	"5"	"2"	"380"	"3"	"112"	"19"	"38"	"2"	"2"	"10"	"19"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"7"	"9"	"0"	"229"	"229"	"1"	"0"
"18751"	"4"	"18"	"5"	"2"	"380"	"5"	"139"	"13"	"17"	"1"	"1"	"9"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"5"	"2"	"0"	"209"	"209"	"1"	"0"
"18752"	"4"	"18"	"5"	"2"	"380"	"6"	"121"	"20"	"38"	"1"	"1"	"8"	"34"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"8"	"5"	"137"	"243"	"243"	"1"	"0"
"18753"	"4"	"18"	"5"	"2"	"380"	"6"	"115"	"15"	"19"	"5"	"1"	"4"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"16"	"1"	"0"	"198"	"198"	"1"	"0"
"18754"	"4"	"18"	"5"	"2"	"192"	"2"	"57"	"10"	"9"	"2"	"2"	"3"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"3"	"0"	"0"	"105"	"105"	"1"	"0"
"18755"	"4"	"18"	"5"	"2"	"189"	"4"	"67"	"7"	"11"	"1"	"0"	"4"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"3"	"4"	"3"	"112"	"112"	"1"	"0"
"18756"	"4"	"18"	"5"	"2"	"380"	"26"	"50"	"27"	"21"	"6"	"3"	"8"	"32"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"9"	"8"	"0"	"198"	"198"	"1"	"0"
"18757"	"4"	"18"	"5"	"2"	"376"	"28"	"45"	"31"	"22"	"7"	"2"	"5"	"55"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"22"	"7"	"2"	"226"	"226"	"1"	"0"
"18758"	"4"	"18"	"5"	"2"	"380"	"23"	"41"	"24"	"18"	"13"	"2"	"8"	"77"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"11"	"5"	"0"	"227"	"227"	"1"	"0"
"18759"	"4"	"18"	"5"	"2"	"380"	"16"	"47"	"26"	"15"	"8"	"2"	"5"	"66"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"11"	"3"	"0"	"200"	"200"	"1"	"0"
