"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"VICTORIA"	"UCN"	"FCN_NACION"	"MLP"	"BIEN"	"SEMILLA"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18788"	"4"	"18"	"5"	"2"	"400"	"14"	"101"	"31"	"43"	"4"	"1"	"7"	"37"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"3"	"0"	"0"	"253"	"253"	"1"	"0"
"18789"	"4"	"18"	"5"	"2"	"335"	"17"	"70"	"26"	"49"	"7"	"3"	"10"	"36"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"1"	"0"	"0"	"232"	"232"	"1"	"0"
"18790"	"4"	"18"	"5"	"2"	"331"	"4"	"66"	"19"	"38"	"7"	"1"	"13"	"28"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"1"	"3"	"0"	"190"	"190"	"1"	"0"
"18791"	"4"	"18"	"5"	"2"	"596"	"14"	"34"	"16"	"44"	"5"	"3"	"10"	"17"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"8"	"4"	"0"	"159"	"159"	"1"	"0"
"18792"	"4"	"18"	"5"	"2"	"600"	"15"	"41"	"15"	"43"	"13"	"2"	"6"	"23"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"8"	"6"	"0"	"177"	"177"	"1"	"0"
"18793"	"4"	"18"	"5"	"2"	"596"	"17"	"36"	"18"	"36"	"12"	"3"	"5"	"18"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"7"	"4"	"0"	"161"	"161"	"1"	"0"
"18794"	"4"	"18"	"5"	"2"	"596"	"11"	"59"	"16"	"40"	"4"	"1"	"7"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"10"	"4"	"0"	"176"	"176"	"1"	"0"
"18795"	"4"	"18"	"5"	"2"	"596"	"10"	"50"	"24"	"40"	"9"	"3"	"3"	"18"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"7"	"3"	"0"	"171"	"171"	"1"	"0"
"18796"	"4"	"18"	"5"	"2"	"600"	"13"	"54"	"21"	"29"	"12"	"3"	"7"	"18"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"7"	"1"	"0"	"168"	"168"	"1"	"0"
"18797"	"4"	"18"	"5"	"2"	"525"	"8"	"27"	"11"	"12"	"4"	"1"	"4"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"8"	"3"	"0"	"88"	"88"	"1"	"0"
"18798"	"4"	"18"	"5"	"2"	"525"	"3"	"11"	"4"	"8"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"33"	"33"	"2"	"2"	"0"	"37"	"37"	"1"	"0"
