"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"FCN_NACION"	"UNE"	"PC"	"VIVA"	"TODOS"	"PPT"	"VICTORIA"	"MLP"	"UCN"	"VAMOS"	"BIEN"	"VALOR"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16376"	"4"	"16"	"2"	"2"	"400"	"23"	"29"	"10"	"49"	"7"	"116"	"3"	"5"	"6"	"5"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"11"	"2"	"0"	"275"	"275"	"1"	"0"
"16377"	"4"	"16"	"2"	"2"	"329"	"19"	"17"	"19"	"45"	"9"	"99"	"1"	"2"	"2"	"2"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"3"	"0"	"0"	"225"	"225"	"1"	"0"
"16378"	"4"	"16"	"2"	"2"	"329"	"18"	"42"	"13"	"51"	"2"	"87"	"1"	"0"	"4"	"3"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"5"	"3"	"0"	"239"	"239"	"1"	"0"
"16379"	"4"	"16"	"2"	"2"	"396"	"42"	"31"	"32"	"46"	"6"	"106"	"1"	"1"	"8"	"0"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"17"	"10"	"0"	"308"	"308"	"1"	"0"
"16380"	"4"	"16"	"2"	"2"	"400"	"70"	"21"	"37"	"50"	"35"	"88"	"0"	"1"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"23"	"7"	"1"	"343"	"343"	"1"	"0"
"16381"	"4"	"16"	"2"	"2"	"380"	"44"	"46"	"30"	"50"	"16"	"98"	"1"	"0"	"7"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"28"	"1"	"0"	"327"	"327"	"1"	"0"
"16382"	"4"	"16"	"2"	"2"	"396"	"25"	"35"	"23"	"53"	"4"	"110"	"2"	"1"	"11"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"31"	"5"	"0"	"305"	"305"	"1"	"0"
"16383"	"4"	"16"	"2"	"2"	"400"	"16"	"41"	"18"	"55"	"5"	"163"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"21"	"14"	"0"	"341"	"341"	"1"	"2"
"16384"	"4"	"16"	"2"	"2"	"396"	"27"	"35"	"26"	"53"	"4"	"117"	"0"	"3"	"3"	"4"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"18"	"12"	"0"	"309"	"309"	"1"	"0"
"16385"	"4"	"16"	"2"	"2"	"380"	"33"	"35"	"18"	"56"	"10"	"118"	"0"	"2"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"10"	"0"	"3"	"287"	"287"	"1"	"0"
