"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"UNE"	"FCN_NACION"	"UCN"	"VICTORIA"	"TODOS"	"UNIDOS"	"BIEN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17479"	"4"	"16"	"17"	"2"	"400"	"56"	"68"	"21"	"28"	"15"	"46"	"6"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"30"	"9"	"0"	"282"	"282"	"1"	"1"
"17480"	"4"	"16"	"17"	"2"	"396"	"54"	"77"	"29"	"20"	"10"	"35"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"46"	"111"	"0"	"396"	"396"	"1"	"0"
"17481"	"4"	"16"	"17"	"2"	"395"	"53"	"69"	"34"	"25"	"4"	"27"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"35"	"14"	"0"	"279"	"279"	"1"	"0"
"17482"	"4"	"16"	"17"	"2"	"400"	"74"	"58"	"25"	"22"	"13"	"18"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"18"	"7"	"0"	"250"	"250"	"1"	"0"
"17483"	"4"	"16"	"17"	"2"	"0"	"44"	"67"	"30"	"23"	"9"	"35"	"10"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"16"	"4"	"0"	"240"	"240"	"1"	"0"
"17484"	"4"	"16"	"17"	"2"	"0"	"72"	"55"	"29"	"21"	"4"	"35"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"26"	"4"	"0"	"257"	"257"	"1"	"0"
"17485"	"4"	"16"	"17"	"2"	"400"	"34"	"69"	"30"	"22"	"10"	"42"	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"225"	"26"	"7"	"0"	"258"	"258"	"0"	"0"
"17486"	"4"	"16"	"17"	"2"	"371"	"47"	"61"	"25"	"22"	"6"	"17"	"9"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"22"	"4"	"0"	"217"	"217"	"1"	"0"
"17487"	"4"	"16"	"17"	"2"	"370"	"57"	"71"	"12"	"16"	"9"	"34"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"11"	"7"	"1"	"225"	"225"	"1"	"0"
"17488"	"4"	"16"	"17"	"2"	"380"	"26"	"53"	"43"	"24"	"5"	"27"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"29"	"8"	"0"	"223"	"223"	"1"	"0"
