"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"UNE"	"VAMOS"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"VIVA"	"BIEN"	"LIBRE"	"AVANZA"	"CREO"	"UCN"	"PODEMOS"	"VALOR"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8770"	"4"	"8"	"3"	"2"	"304"	"56"	"10"	"24"	"2"	"1"	"7"	"7"	"0"	"3"	"2"	"1"	"0"	"1"	"15"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"7"	"6"	"0"	"145"	"145"	"1"	"0"
"8771"	"4"	"8"	"3"	"2"	"303"	"56"	"15"	"31"	"3"	"2"	"3"	"9"	"1"	"2"	"2"	"1"	"0"	"1"	"18"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"9"	"6"	"0"	"166"	"166"	"1"	"0"
"8772"	"4"	"8"	"3"	"2"	"380"	"65"	"9"	"46"	"5"	"3"	"20"	"5"	"29"	"4"	"1"	"6"	"2"	"5"	"36"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"19"	"13"	"0"	"279"	"279"	"1"	"0"
"8773"	"4"	"8"	"3"	"2"	"380"	"55"	"7"	"34"	"2"	"3"	"25"	"3"	"20"	"3"	"4"	"13"	"3"	"5"	"32"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"24"	"9"	"0"	"254"	"254"	"1"	"0"
"8774"	"4"	"8"	"3"	"2"	"376"	"76"	"10"	"42"	"4"	"2"	"22"	"8"	"17"	"2"	"1"	"4"	"2"	"5"	"26"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"25"	"14"	"0"	"270"	"270"	"1"	"0"
"8775"	"4"	"8"	"3"	"2"	"376"	"54"	"17"	"40"	"3"	"3"	"23"	"6"	"19"	"0"	"2"	"10"	"1"	"4"	"39"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"14"	"6"	"0"	"255"	"255"	"1"	"0"
"8776"	"4"	"8"	"3"	"2"	"315"	"45"	"7"	"30"	"1"	"3"	"19"	"4"	"17"	"0"	"4"	"4"	"2"	"1"	"32"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"9"	"10"	"0"	"195"	"195"	"1"	"0"
"8777"	"4"	"8"	"3"	"2"	"314"	"46"	"8"	"35"	"3"	"5"	"20"	"5"	"20"	"0"	"3"	"2"	"2"	"4"	"35"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"7"	"4"	"0"	"208"	"208"	"1"	"0"
"8778"	"4"	"8"	"3"	"2"	"377"	"26"	"13"	"47"	"1"	"3"	"5"	"4"	"0"	"5"	"5"	"0"	"5"	"0"	"67"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"31"	"15"	"0"	"238"	"238"	"1"	"0"
"8779"	"4"	"8"	"3"	"2"	"380"	"30"	"17"	"54"	"1"	"3"	"14"	"7"	"1"	"4"	"3"	"5"	"1"	"1"	"63"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"24"	"18"	"0"	"256"	"256"	"1"	"0"
"8780"	"4"	"8"	"3"	"2"	"380"	"23"	"18"	"55"	"3"	"4"	"9"	"5"	"5"	"1"	"2"	"1"	"5"	"1"	"71"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"17"	"18"	"0"	"244"	"244"	"1"	"0"
"8781"	"4"	"8"	"3"	"2"	"375"	"24"	"14"	"51"	"1"	"0"	"7"	"12"	"3"	"1"	"1"	"3"	"5"	"0"	"87"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"25"	"14"	"0"	"255"	"255"	"1"	"0"
"8782"	"4"	"8"	"3"	"2"	"293"	"22"	"16"	"41"	"0"	"4"	"7"	"3"	"4"	"1"	"1"	"5"	"4"	"1"	"62"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"9"	"10"	"0"	"195"	"195"	"1"	"0"
"8783"	"4"	"8"	"3"	"2"	"292"	"26"	"8"	"45"	"1"	"1"	"4"	"4"	"2"	"1"	"2"	"6"	"3"	"2"	"79"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"9"	"3"	"0"	"201"	"201"	"1"	"0"
"8784"	"4"	"8"	"3"	"2"	"375"	"38"	"13"	"37"	"3"	"2"	"10"	"18"	"12"	"3"	"4"	"7"	"9"	"1"	"37"	"8"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"14"	"16"	"0"	"242"	"242"	"1"	"0"
"8785"	"4"	"8"	"3"	"2"	"368"	"33"	"12"	"39"	"4"	"2"	"12"	"20"	"13"	"0"	"4"	"6"	"11"	"2"	"50"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"16"	"10"	"0"	"255"	"255"	"1"	"0"
"8786"	"4"	"8"	"3"	"2"	"315"	"35"	"6"	"31"	"1"	"3"	"7"	"18"	"6"	"5"	"2"	"9"	"11"	"1"	"33"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"18"	"7"	"0"	"204"	"204"	"1"	"0"
"8787"	"4"	"8"	"3"	"2"	"314"	"20"	"2"	"25"	"1"	"1"	"13"	"11"	"5"	"2"	"3"	"7"	"2"	"0"	"23"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"12"	"3"	"0"	"141"	"141"	"1"	"0"
"8788"	"4"	"8"	"3"	"2"	"596"	"16"	"5"	"31"	"3"	"5"	"16"	"10"	"3"	"3"	"4"	"2"	"2"	"5"	"18"	"4"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"8"	"3"	"0"	"159"	"159"	"1"	"0"
"8789"	"4"	"8"	"3"	"2"	"517"	"22"	"2"	"18"	"4"	"6"	"9"	"11"	"0"	"6"	"3"	"1"	"2"	"0"	"11"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"6"	"2"	"0"	"129"	"129"	"1"	"0"
"8790"	"4"	"8"	"3"	"2"	"516"	"18"	"2"	"22"	"5"	"3"	"5"	"3"	"2"	"2"	"5"	"3"	"2"	"1"	"6"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"3"	"5"	"0"	"111"	"111"	"1"	"0"
