"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"UCN"	"UNIONISTA"	"PHG"	"PAN"	"AVANZA"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7752"	"4"	"6"	"11"	"2"	"400"	"158"	"32"	"37"	"6"	"79"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"1"	"2"	"0"	"316"	"316"	"1"	"0"
"7753"	"4"	"6"	"11"	"2"	"203"	"69"	"18"	"25"	"2"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"1"	"1"	"0"	"166"	"166"	"1"	"0"
"7754"	"4"	"6"	"11"	"2"	"202"	"64"	"14"	"24"	"6"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"2"	"0"	"0"	"153"	"153"	"1"	"0"
"7755"	"4"	"6"	"11"	"2"	"400"	"118"	"49"	"45"	"10"	"51"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"18"	"0"	"0"	"293"	"293"	"1"	"0"
"7756"	"4"	"6"	"11"	"2"	"400"	"140"	"55"	"43"	"6"	"64"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"10"	"5"	"0"	"326"	"326"	"1"	"0"
"7757"	"4"	"6"	"11"	"2"	"400"	"128"	"71"	"50"	"10"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"10"	"1"	"0"	"340"	"340"	"1"	"0"
"7758"	"4"	"6"	"11"	"2"	"400"	"128"	"67"	"52"	"13"	"71"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"8"	"4"	"0"	"348"	"348"	"1"	"0"
"7759"	"4"	"6"	"11"	"2"	"400"	"151"	"74"	"34"	"10"	"54"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"16"	"4"	"0"	"345"	"345"	"1"	"0"
"7760"	"4"	"6"	"11"	"2"	"400"	"129"	"53"	"44"	"3"	"55"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"4"	"2"	"0"	"296"	"296"	"1"	"0"
"7761"	"4"	"6"	"11"	"2"	"400"	"132"	"47"	"40"	"5"	"65"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"16"	"2"	"0"	"309"	"309"	"1"	"0"
"7762"	"4"	"6"	"11"	"2"	"400"	"111"	"52"	"32"	"11"	"64"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"8"	"11"	"0"	"292"	"292"	"1"	"0"
"7763"	"4"	"6"	"11"	"2"	"351"	"112"	"47"	"35"	"10"	"42"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"2"	"0"	"263"	"263"	"1"	"0"
"7764"	"4"	"6"	"11"	"2"	"350"	"99"	"44"	"41"	"5"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"2"	"0"	"0"	"253"	"253"	"1"	"0"
"7765"	"4"	"6"	"11"	"2"	"514"	"73"	"27"	"30"	"4"	"86"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"5"	"0"	"231"	"231"	"1"	"0"
"7766"	"4"	"6"	"11"	"2"	"514"	"53"	"21"	"22"	"4"	"64"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"6"	"2"	"0"	"173"	"173"	"1"	"0"
